"target","output","question"
"Jeff","(Answer with only the word or phrase from the text that is the answer, nothing else.)","Who did Fred give the football to? "
"Bill","Who is the person who is in the cellar?  Who is the person who is in the","Who did Mary give the milk to? "
"Jeff","2  Okay, the answer to this question is in the text. Let me check the context","Who did Fred give the milk to? "
"milk","1. A wallet 2. A letter 3. A book 4. A wallet","What did Mary give to Fred? "
"Fred","1. Maggie 2. Maggie's sister 3. Maggie's mother 4. Maggie","Who received the milk? "
"apple","1. A. A new dress 2. A new hat 3. A new hat","What did Mary give to Jeff? "
"apple","I'm not sure, but I think it's the apple. The answer is the apple.","What did Mary give to Jeff? "
"apple","Answer: The apple. The answer is the apple.  Okay, let's try to figure out","What did Fred give to Bill? "
"Jeff","1. Baard 2. Arne 3. Jeff 4. Eli Answer","Who gave the milk to Fred? "
"Fred","2. What is the name of the person who is going to Portugal? 3. What","Who gave the apple to Mary? "
"Jeff","Answer: The football was received by the provost.  Okay, the answer is in the text","Who received the football? "
"Jeff","2. What is the name of the person who is described as ""the only one who could","Who did Mary give the football to? "
"milk","I need to answer this question based on the text provided. The answer should be in a sentence","What did Mary give to Bill? "
"Bill","(Answer with only the name of a person in the text, or ""Not mentioned"" if","Who did Mary give the milk to? "
"milk","2  Okay, the user is asking what Mary gave to Bill. Let's look through the","What did Mary give to Bill? "
"apple","Answer: Fred gave the football to Mary.  Okay, the answer is in the text. The","What did Fred give to Mary? "
"Mary","Answer: The football was passed to Jamie.  Okay, the answer is in the text. The","Who received the football? "
"apple","Answer: The apple.  Okay, the answer is in the text. The answer is the apple","What did Fred give to Bill? "
"Jeff","A. Sidney  B. Harry  C. Sidney's mother  D. Harry's mother","Who received the apple? "
"Bill","Answer: Asaph Hall  Okay, the answer is Asaph Hall. The text mentions that","Who did Mary give the football to? "
"Fred","A. The doctor  B. The doctor's wife  C. The fairy  D.","Who gave the milk to Jeff? "
"Mary","Answer: Amy Okay, the answer to the text is Amy. The text is a bit","Who received the milk? "
"Mary","Answer: The mother.  Okay, the answer is in the text. The text mentions that the mother","Who gave the milk? "
"milk","2. What is the name of the person who is the real husband of Lady Wilmers","What did Bill give to Mary? "
"milk","(Answer: The milk)  Okay, the answer is in the text. The answer is in","What did Jeff give to Bill? "
"football","A: The football B: The flute C: The flute and the football D","What did Jeff give to Fred? "
"Mary","Answer: Jack Kirke Okay, the answer is in the text. The answer is Jack","Who gave the football? "
"Mary","(Answer: Mary) Okay, the answer to this question is in the text. The answer","Who gave the apple to Bill? "
"Fred","Answer: Gordon  Okay, let's try to figure out who received the apple. Let's","Who received the apple? "
"Mary","(Answer: The person who gave the milk to Bill is the one who was in the house","Who gave the milk to Bill? "
"milk","A) A glass of beer B) A glass of water C) A glass of wine D)","What did Mary give to Jeff? "
"Mary","A) The Dean of the college B) The Dean of the college C) The Dean of the","Who gave the milk? "
"Fred","Who is the person who gave the apple to Mary?  Okay, the answer is in the text","Who gave the apple to Mary? "
"football","Answer: Bill gave the apple to Mary.  Okay, let's try to figure out what the","What did Bill give to Mary? "
"apple","Answer: The answer is the apple. Okay, let's try to figure out what the answer","What did Fred give to Mary? "
"apple","What did he do with it?  Answer: Fred gave the apple to Bill.  Okay, let's","What did Fred give to Bill? "
"Jeff","Answer: The milk was given by the person who was the son of the person who was the","Who gave the milk? "
"Bill","(Answer with only the name of a person from the text, or ""Not mentioned"" if","Who did Mary give the apple to? "
"Fred","Answer: Fred Answer: Fred  Answer: Fred  The answer is **Fred**.","Who gave the football to Mary? "
"milk","2. What was the reason for the man's actions? 3. What was the reason","What did Mary give to Fred? "
"milk","(Answer with only the word or phrase from the text) Answer: milk  The answer is","What did Fred give to Mary? "
"Mary","Answer: Horace Boyce  Okay, the answer is Horace Boyce.  The answer","Who gave the football? "
"Fred","Answer: The apple was received by the person who is the subject of the question, which is","Who received the apple? "
"Mary","Answer: Carlotta Answer: Carlotta  Okay, the answer is Carlotta. The","Who gave the apple? "
"Fred","Answer: Gordon  Okay, the answer is Gordon. The text mentions that Gordon received an apple","Who gave the apple to Bill? "
"apple","Answer: The apple. The answer is the apple.  Okay, let's try to figure out","What did Fred give to Bill? "
"Fred","Answer: Fred Okay, let's try to figure out who received the apple. Let to","Who received the apple? "
"Fred","Choices: A. Jeff B. Jeff C. Fred D. Fred E","Who received the milk? "
"Mary","Answer: Amy  Okay, the answer is in the text. The text is a bit confusing","Who received the football? "
"apple","Answer: A book titled ""The Blaisdells"" by John Smith. Okay, the","What did Bill give to Mary? "
"apple","A. A bird in a cage  B. A wreath of flowers  C. A","What did Mary give to Fred? "
"apple","1. A song 2. A letter 3. A song and a letter 4","What did Fred give to Bill? "
"apple","Answer: A grape-vine  The answer is ""A grape-vine"" because the text","What did Fred give to Bill? "
"milk","(Answer with only the word or phrase from the text that is the answer, nothing else.)","What did Jeff give to Fred? "
"Mary","A. Cameron  B. Cameron's wife  C. Cameron's sister  D. Cameron","Who received the milk? "
"Jeff","Because he was the first to go. Why is a man who is always in a hurry like a","Who gave the football? "
"Bill","Who is the narrator of the text?  Okay, let's try to figure out who gave the","Who gave the football to Fred? "
"Mary","Answer: The football was received by the girls.  Okay, let's try to figure out who","Who received the football? "
"Mary","The answer should be a name.  Assistant: The answer is: Mary  The answer is:","Who gave the football to Fred? "
"Jeff","2. What was the reason for the landlord's suspicion of the two men? 3.","Who did Bill give the milk to? "
"Fred","Answer: Eleanore Leavenworth  Okay, the answer is in the text. The","Who gave the football to Jeff? "
"Jeff","(Answer: Jeff) Answer: Jeff  Okay, let's try to figure out who gave","Who gave the apple to Fred? "
"Bill","A. Coningsby B. Coningsby C. Coningsby D","Who received the milk? "
"Jeff","Okay, let's try to figure out who the answer is. So, the user is asking","Who did Bill give the apple to? "
"milk","(Answer with only the word or phrase from the text) Answer: a handkerchief","What did Mary give to Fred? "
"Jeff","(Answer: Fred) Answer: The apple was received by Fred.  Okay, the answer is","Who received the apple? "
"Jeff","Answer: Jeff  Question: What is the name of the river that flows near the town of T","Who gave the apple to Bill? "
"apple","Answer: Mary gave the apple to Fred. Okay, let's try to figure out what the","What did Mary give to Fred? "
"Bill","Answer: Jessica The answer should be the name of a character in the text.  The answer","Who did Fred give the apple to? "
"Jeff","Answer: The person who gave the apple is not explicitly stated in the text. The text mentions that","Who gave the apple? "
"Bill","(Answer: Frank) Answer: Frank  Okay, let's try to figure out who gave","Who gave the milk to Fred? "
"Bill","Answer: Bill  Okay, let's try to figure out who Jeff gave the football to.","Who did Jeff give the football to? "
"Fred","A: The answer is the major. The major gave the milk. The major gave the milk.","Who gave the milk? "
"apple","(Answer with the name of the person, not the story, not the story's title,","What did Mary give to Bill? "
"Jeff","Answer: Jennie  Okay, the answer is in the text. The answer is Jennie","Who received the milk? "
"Bill","(Note: The text is a mix of multiple texts, some of which are not related to","Who did Fred give the milk to? "
"Bill","Answer: Bill gave the apple to Mary.  Question: What is the answer to the riddle?","Who gave the apple? "
