"target","output","question"
"Bill","A. The Indian B. The horse C. The horseman D. The horseman's horse","Who did Mary give the milk to? "
"milk","Answer: Mary gave Fred a milk.  Question: What did Jeff give to Fred? Answer: Jeff","What did Mary give to Fred? "
"apple","Mary gave the apple to Fred.  Question: What did Jeff do? Jeff passed the apple to Mary","What did Mary give to Jeff? "
"apple","A. the apple B. the apple there C. the apple there there D. the apple there","What did Fred give to Bill? "
"Fred","Answer: The devil. Question: Who gave the apple to Eve? Answer: The devil. Question","Who gave the apple to Mary? "
"Jeff","Fred  Question: Who did Mary give the football to? Fred  Question: Who did Mary give","Who did Mary give the football to? "
"Bill","Answer: Heywood  Question: Who did Rudolph give the milk to? Answer: Mary","Who did Mary give the milk to? "
"apple","1. his coat;     2. his medal;     3. his boys;","What did Fred give to Mary? "
"apple","What did he do with it?  Question: What did the bishop say to Latimer? What did","What did Fred give to Bill? "
"Bill","Answer: Mary gave the football to her sister Ruth. Question: What did Mary do when she was","Who did Mary give the football to? "
"Mary","Answer: The child drank it with avidity. Question: Who was the eagle sailing over the mountains","Who received the milk? "
"milk","Answer: A diamond ring. Question: What did Mary give to Bill? Answer: A diamond ring","What did Bill give to Mary? "
"football","Answer: The football. Question: What did Jeff give to Eli? Answer: The football. Question","What did Jeff give to Fred? "
"Mary","Answer: Mary. Question: Who gave the football to Mary? Answer: Jeff. Question: Who","Who gave the apple to Bill? "
"Mary","Answer: The cow. Question: Who gave the milk to the cow? Answer: The cow.","Who gave the milk to Bill? "
"Mary","Answer: Jeff took the milk there.  Question: Who gave the milk? Answer: Jeff took the","Who gave the milk? "
"football","A football? A football there. Thus lay the two mighty hosts, awaiting the morning, and the","What did Bill give to Mary? "
"apple","Answer: A  Question: What did Fred give to Bill? Answer: A  Question: What","What did Fred give to Bill? "
"Bill","What did she say to her? Answer: She gave it to Chris Calton, and said to","Who did Mary give the apple to? "
"milk","Answer: Mary handed the milk to Fred. Question: What did Owen do when he got to the","What did Mary give to Fred? "
"Mary","Mary passed the football to Fred. Curious that I should have forgotten his name. One’s","Who gave the football? "
"Mary","Who gave the apple?  Answer: The apple was given by the dark-eyed one that changed the medicine","Who gave the apple? "
"apple","Answer: A football.  Question: What did Bill give to Fred? Answer: A football.  Question","What did Fred give to Bill? "
"Fred","Fred passed the milk to Jeff. Jeff passed the milk to Fred. Jeff passed the milk to Mary","Who received the milk? "
"apple","Answer: An apple.  Question: What did Mary give to Bill? Answer: A kiss.  Question","What did Bill give to Mary? "
"apple","What did Bill give to Fred?  Question: What did Fred give to Bill? What did Bill give","What did Fred give to Bill? "
"milk","What did Abram carry?  Answer: Jeff gave the milk to Fred. Abram carried a capacious iron","What did Jeff give to Fred? "
"Jeff","Why is a man who has lost his head like a man who has lost his pocket?","Who gave the football? "
"Mary","Answer: The ball was given to the girl. Question: Who received the ball? Answer:","Who received the football? "
"Jeff","Jeff. Mary. Lauretta. Lauretta gave the milk to Jeff. Lauretta","Who did Bill give the milk to? "
"Jeff","Jeff? Bill?  Answer: Jeff.  Question: Who went to the bathroom? Jeff? Bill?","Who gave the apple to Fred? "
"Jeff","Mary, Fred, Jeff, or Gryce?  Question: What was the name of the man in","Who did Bill give the apple to? "
"Jeff","Answer: Eve. Question: Who ate it? Answer: Adam. Question: Who was the first","Who received the apple? "
"apple","Answer: Mary gave the apple to Fred. “And neither could you, Aunt Lena, if you","What did Mary give to Fred? "
"Jeff","Answer: Bill gave the apple to Jeff.  Question: Who gave the apple to Jeff? Answer:","Who gave the apple? "
"Bill","Answer: To the little girl who refused Jack’s hand and heart. Question: Who did Jeff give","Who did Jeff give the football to? "
"apple","A. a book B. a pen C. a pen and a book D. a pen and","What did Mary give to Bill? "
"Bill","Answer: He gave the milk to George. Jeff travelled to the kitchen. He was a man","Who did Fred give the milk to? "
"Jeff","Answer: The mermaid. Question: Where is Happiness? Answer: In the bosom of Honor","Who gave the apple? "
"football","Mary gave Fred a new hat and gloves.  Question: What did Fred do to display his horsem","What did Mary give to Fred? "
"football","Answer: A diamond ring. Question: What did he give to his son? Answer: A diamond","What did Jeff give to Mary? "
"milk","What did she give to Eleanore? What did she give to Agricola? What did","What did Mary give to Fred? "
"Bill","A. The cow B. The goat C. The sheep D. The horse  Question: What","Who gave the milk to Mary? "
"Fred","Answer: The Grane Man. Question: What did he give her? Answer: A wish.","Who gave the apple? "
"Fred","*       *       *       *       *  THE NEW GAS. (AIR--""THE NEW CAR","Who did Bill give the milk to? "
"Fred","Alfred Alfred Alfred Alfred Alfred Alfred Alfred Alfred Alfred Alfred Alfred Alfred Alfred Alfred Alfred Alfred Alfred Alfred Alfred Alfred","Who did Bill give the apple to? "
"Bill","Answer: Bill.  Question: Who was the first Prince of the assistance? Answer: M.","Who did Jeff give the apple to? "
"Mary","_Pub._ I will not mock thy sorrows, nor thy tears;  I will not mock thy","Who did Bill give the milk to? "
"Fred","Fred went back to the garden. per hut by the chiefs, and will be paid to the Resident","Who gave the milk? "
"Fred","Answer: Jack Kirke. Jack Kirke, accident at, 12, 201,","Who gave the football? "
