"target","output","question"
"bathroom","office","Where is Mary? "
"kitchen","Jeff","Where is Sandra? "
"kitchen","office","Where is Mary? "
"kitchen","office","Where is John? "
"bedroom","Jeff","Where is Sandra? "
"office","office","Where is John? "
"garden","office","Where is Mary? "
"bathroom","Fred","Where is Sandra? "
"kitchen","Fred","Where is Mary? "
"bedroom","office","Where is John? "
"office","office","Where is Daniel? "
"office","Fred","Where is Daniel? "
"bathroom","Jeff","Where is Mary? "
"bathroom","office","Where is Sandra? "
"bathroom","Jeff","Where is Sandra? "
"hallway","Fred","Where is Mary? "
"kitchen","garden","Where is Sandra? "
"office","Jeff","Where is Daniel? "
"kitchen","Jeff","Where is Sandra? "
"bedroom","Jeff","Where is John? "
"hallway","Jeff","Where is Sandra? "
"bedroom","office","Where is Mary? "
"bedroom","office","Where is John? "
"bedroom","office","Where is Mary? "
"bedroom","Jeff","Where is Mary? "
"garden","Jeff","Where is Mary? "
"bedroom","office","Where is Daniel? "
"office","Jeff","Where is Sandra? "
"office","Fred","Where is Sandra? "
"garden","office","Where is Sandra? "
"garden","office","Where is Daniel? "
"bathroom","office","Where is Mary? "
"office","office","Where is Mary? "
"kitchen","Jeff","Where is Sandra? "
"garden","Jeff","Where is Sandra? "
"kitchen","office","Where is Sandra? "
"kitchen","office","Where is Sandra? "
"garden","office","Where is John? "
"garden","Fred","Where is Sandra? "
"bathroom","Jeff","Where is Sandra? "
"bedroom","office","Where is Mary? "
"kitchen","Jeff","Where is Sandra? "
"office","office","Where is Mary? "
"bedroom","office","Where is Mary? "
"office","office","Where is Daniel? "
"office","Jeff","Where is Sandra? "
"bathroom","office","Where is Sandra? "
"bedroom","office","Where is Sandra? "
"office","office","Where is Daniel? "
"bedroom","Jeff","Where is Sandra? "
"hallway","Jeff","Where is Daniel? "
"bedroom","office","Where is Sandra? "
"office","office","Where is John? "
"garden","office","Where is John? "
"kitchen","Jeff","Where is Daniel? "
"hallway","office","Where is Mary? "
"hallway","Fred","Where is Sandra? "
"hallway","Jeff","Where is John? "
"bedroom","office","Where is Mary? "
"bedroom","Jeff","Where is Sandra? "
"bedroom","Fred","Where is Daniel? "
"kitchen","office","Where is Sandra? "
"bedroom","office","Where is Daniel? "
"garden","Jeff","Where is John? "
"bathroom","office","Where is Sandra? "
"garden","Mary","Where is Sandra? "
"office","Fred","Where is Daniel? "
"bedroom","Fred","Where is Mary? "
"garden","(A) garden (B) kitchen (C) bedroom (D) bathroom","Where is Sandra? "
"bathroom","office","Where is Sandra? "
"office","Jeff","Where is John? "
"kitchen","office","Where is Daniel? "
"bedroom","office","Where is John? "
"office","Fred","Where is Daniel? "
"bathroom","Jeff","Where is Sandra? "
"office","office","Where is John? "
"hallway","office","Where is Mary? "
"office","Fred","Where is John? "
"office","Fred","Where is Sandra? "
"bathroom","Jeff","Where is John? "
"hallway","garden","Where is John? "
"hallway","office","Where is Daniel? "
"hallway","office","Where is Daniel? "
"bathroom","office","Where is Daniel? "
"bathroom","Fred","Where is John? "
"bathroom","Jeff","Where is Daniel? "
"garden","Jeff","Where is John? "
"bedroom","office","Where is John? "
"office","Fred","Where is Mary? "
"garden","office","Where is Sandra? "
"office","Fred","Where is John? "
"bedroom","office","Where is Daniel? "
"hallway","office","Where is John? "
"kitchen","office","Where is Daniel? "
"bedroom","Jeff","Where is Daniel? "
"hallway","office","Where is Sandra? "
"garden","Fred","Where is Sandra? "
"bedroom","office","Where is John? "
"office","office","Where is John? "
"garden","office","Where is Sandra? "
