"target","output","question"
"garden","Answer: In the cow. Question: Where is the butter? Answer: In the churn. Question","Where is the milk? "
"hallway","Answer: In the tree. Question: Where is the apple? Answer: In the tree. Question","Where is the apple? "
"bathroom","Answer: In the cow. Question: Where is the cow? Answer: In the field.","Where is the milk? "
"kitchen","Answer: In the air. Question: Where is the football? Answer: In the air. Question","Where is the football? "
"bedroom","Answer: In the garden. Question: Where is the garden? Answer: In the house. Question","Where is the apple? "
"bedroom","Answer: In the cow. Question: Where is the cow? Answer: In the field. Question","Where is the milk? "
"garden","Answer: In the middle of the field. Question: Where is the football? Answer: In the","Where is the football? "
"hallway","Answer: In the stomach. Question: Where is the stomach? Answer: In the apple. Question","Where is the apple? "
"kitchen","Answer: In the goal. Question: Where is the goal? Answer: In the field. Question","Where is the football? "
"hallway","Answer: In the jug. Question: Where is the jug? Answer: On the shelf. Question","Where is the milk? "
"hallway","Answer: In the goal. Question: Where is the goal? Answer: In the football.","Where is the football? "
"bedroom","Answer: In the cow. Question: Where is the cow? Answer: In the field. Question","Where is the milk? "
"bathroom","Answer: In the hands of the captain of the victorious side. Question: What is the","Where is the football? "
"hallway","Answer: In the cow. Question: Where is the cow? Answer: In the pasture.","Where is the milk? "
"bathroom","Answer: In the goat. Question: Where is the goat? Answer: In the field. Question","Where is the milk? "
"bathroom","Answer: In the basket. Question: Where is the basket? Answer: In the garden. Question","Where is the apple? "
"hallway","Answer: In the cow. Question: Where is the cow? Answer: In the field. Question","Where is the milk? "
"bathroom","Answer: In the tree. Question: Where is the tree? Answer: In the garden. Question","Where is the apple? "
"hallway","Answer: In the goal. Question: Where is the goal? Answer: In the football. Question","Where is the football? "
"office","Answer: In the cow. Question: Where is the cow? Answer: In the field. Question","Where is the milk? "
"kitchen","Answer: In the tree.  Question: What is the tree? Answer: A tree of knowledge.","Where is the apple? "
"office","Answer: In the cow. Question: Where is the cow? Answer: In the field. Question","Where is the milk? "
"bedroom","Answer: In the pail. Question: Where is the butter? Answer: In the churn.","Where is the milk? "
"bedroom","Answer: In the hall. Question: Where is the football? Answer: In the hall. Question","Where is the football? "
"office","Answer: In the cow. Question: Where is the cow? Answer: In the field. Question","Where is the milk? "
