"target","output","question","orig_chunk","full_chunk"
"Jeff","Fred gave the football to Jeff. Jeff gave the football to Fred. Jeff gave the football to Fred","Who did Fred give the football to? ","{24}","{21, 13}"
"Fred","Answer: Fred

Question: Who was the brave chauffeur? Answer: Jeff

Question: Who","Who received the milk? ","{20, 29}","{18}"
"Jeff","Fred gave the milk to Fred. There was only one I would have, and her he took away","Who gave the milk to Fred? ","{27}","{26}"
"milk","in that case the choice will soon be made. The incumbent of Danicourt is one of the","What did Mary give to Bill? ","{22}","{22}"
"Mary","Mary. Fred went to the bedroom. I visited the slaughter-house again, and found the walls of","Who received the football? ","{29}","{25}"
"Fred","A. Fred B. Eily C. Jeff D. Phelim

Question: What did E","Who gave the milk to Jeff? ","{20}","{20}"
"milk","What did Mary do? What did Jeff do? What did Mary do? What did Jeff do?","What did Jeff give to Bill? ","{22}","{22}"
"Fred","Fred. Mary. Fred. Fred. Fred. Fred. Fred. Fred. Fred. Fred.","Who received the apple? ","{26}","{26}"
"Fred","Fred. Mary discarded the milk. When I went to do this I found Captain M'Donald's","Who gave the apple to Mary? ","{28}","{28}"
"Jeff","Mary, the daughter of the Earl of Wotton, who was the daughter of the Earl of W","Who gave the milk? ","{30}","{30}"
"milk","What did he do with his clothes? What did he do with his clothes? What did he do","What did Fred give to Mary? ","{25}","{13}"
"Fred","Answer: Fred gave the apple to Bill.

Question: Who was the centre of intrigues? Answer","Who gave the apple to Bill? ","{27}","{27}"
"Mary","Answer: Fred passed the football to Mary. Question: Who was the officer? Answer: The officer","Who received the football? ","{29}","{29}"
"apple","What did he give to Bill?

Question: What did Fred give to Bill? What did he give","What did Fred give to Bill? ","{14}","{14}"
"Bill","Answer: Bill handed the football to Fred. Smith had regained his
air of aggrieved irritation.","Who gave the football to Fred? ","{29}","{20, 29}"
"Fred","Fred gave the football to Jeff.

Question: Who gave the football to Jeff? Fred gave the football","Who gave the football to Jeff? ","{20}","{12}"
"milk","What did she give to Fred?

Answer: Mary gave Fred a handkerchief.

Question: What","What did Mary give to Fred? ","{20}","{15}"
"Bill","Bill or Tabitha?

Question: Who was the parson’s wife? Mrs. Turner or","Who did Fred give the apple to? ","{22}","{17, 22}"
"Fred","Fred or Jeff? Answer: Fred gave the milk. Fred gave the milk. By thus walking in","Who gave the milk? ","{25}","{25}"
"Bill","Mary gave the apple to Bill. Mary gave the apple to Bill. Mary gave the apple to Bill","Who gave the apple? ","{27}","{26, 27, 22}"
"Mary","Mary

Question: What did Mary do with the apple? Put down the apple

Question: What","Who did Jeff give the apple to? ","{19}","{19}"
"Mary","Mary gave the milk to Fred. Mary gave the milk to Fred. Mary gave the milk to Fred","Who gave the milk? ","{11, 29}","{24, 27, 29}"
"milk","""I simply picked him up and tossed him over
my head. I shall turn myself into Forty","What did Fred give to Bill? ","{27}","{27}"
"Bill","Sam

Question: What did Sam say when the boys crawled out of the narrow opening? I’m","Who gave the football to Jeff? ","{25}","{15}"
"Mary","Mary gave the milk to Jeff. The
responsibility of Ministers is not a legal responsibility, but","Who gave the milk to Jeff? ","{27}","{27, 15}"
