"target","output","question","orig_chunk","full_chunk"
"Bill","Mary gave the milk to Bill. Mary passed the milk to Bill. Mary handed the milk to Bill","Who did Mary give the milk to? ","{10}","{9, 10}"
"milk","Mary gave the milk to Fred. Jeff got the milk there. It is a pleasant little cottage,","What did Mary give to Fred? ","{14}","{13}"
"apple","Mary gave the apple to Jeff. Mary handed the apple to Jeff. Mary gave the apple to Jeff","What did Mary give to Jeff? ","{13}","{13}"
"apple","Mary handed the apple to Bill. Mary handed the apple to Bill. Mary handed the apple to Bill","What did Fred give to Bill? ","{14}","{14}"
"Fred","Mary handed the apple to Fred. I can never forget the inexpressible luxury and profaneness","Who gave the apple to Mary? ","{6}","{6}"
"Jeff","Mary handed the football to Jeff. Mary passed the football to Jeff. Mary passed the football to Jeff","Who did Mary give the football to? ","{12}","{10, 11}"
"Bill","Bill. Mary gave the milk to Bill. Bill was the dog. Mary gave the milk to Bill","Who did Mary give the milk to? ","{11}","{10}"
"apple","Bill. Mary. Bill. Mary. Bill. Mary. Bill. Mary. Bill. Mary.","What did Fred give to Mary? ","{14}","{14}"
"apple","Bill. Fred gave the apple to Bill.

Question: What did Jimmie say about the cabman","What did Fred give to Bill? ","{11}","{9}"
"Bill","Bill. Got up, and by and by walked into the White Hall, where he asked me what","Who did Mary give the football to? ","{13}","{10}"
"Mary","Mary. Fred. Sidney. Christine. K.

Question: Who was the first to receive the milk","Who received the milk? ","{12}","{11, 12}"
"milk","Mary passed the milk to Bill. He actually takes up buildings of the later times
in which the","What did Bill give to Mary? ","{13}","{11}"
"football","Mary passed the football to Jeff. Jeff gave the football to Fred. Jeff gave the football to Fred","What did Jeff give to Fred? ","{12}","{12, 7}"
"Mary","Mary gave the apple to Bill. Mary handed the apple to Bill. Bill handed the apple to Mary","Who gave the apple to Bill? ","{9}","{8, 9}"
"Mary","Mary handed the milk to Bill. It was a very old church, and a preternaturally old","Who gave the milk to Bill? ","{13}","{13}"
"Mary","Mary handed the milk to Jeff. Mary handed the milk to Jeff. Mary handed the milk to Jeff","Who gave the milk? ","{14}","{14}"
"football","Mary handed the apple to Jeff. Mary handed the apple to Jeff. Mary handed the apple to Jeff","What did Bill give to Mary? ","{12}","{12}"
"apple","Mary handed the apple to Bill. Fred gave the apple to Bill. Fred gave the apple to Bill","What did Fred give to Bill? ","{9}","{5}"
"Bill","Mary handed the apple to Bill. Mary handed the apple to Pauline. Mary handed the apple to","Who did Mary give the apple to? ","{12}","{12}"
"milk","Mary handed the milk to Fred.

Question: What did Alfred do? Alfred cast an inscrutable","What did Mary give to Fred? ","{14}","{14}"
"Mary","Mary handed the football to Fred. Fred handed the football to Mary. Fred handed the football to Mary","Who gave the football? ","{13}","{8, 9}"
"Mary","Mary gave the apple to Bill.

Question: Who gave the apple? Mary gave the apple to Bill","Who gave the apple? ","{13}","{12}"
"apple","Mary went to the office. Fred gave the apple to Bill. Fred went to the bedroom. Fred","What did Fred give to Bill? ","{14}","{14}"
"Fred","Jeff handed the milk to Fred. Jeff journeyed to the office. Jeff handed the milk to Fred","Who received the milk? ","{13}","{12, 13}"
"apple","Mary handed the apple to Fred. Fred handed the apple to Bill. Fred picked up the apple there","What did Bill give to Mary? ","{14}","{14}"
"apple","Mary handed the apple to Fred. Fred gave the apple to Bill. Fred gave the milk to Bill","What did Fred give to Bill? ","{12}","{12}"
"milk","Mary handed the apple to Fred. Mary handed the apple to Fred. Mary handed the apple to Fred","What did Jeff give to Fred? ","{10}","{10}"
"Jeff","Mary handed the football to Jeff. Mary handed the football to Jeff. Mary handed the football to Jeff","Who gave the football? ","{12}","{10}"
"Mary","Mary handed the football to Fred. She uster treat me like a dog, but it is most","Who received the football? ","{10}","{9, 10}"
"Jeff","Mary handed the football to Jeff. Jeff gave the milk to Bill. Jeff gave the milk to Jeff","Who did Bill give the milk to? ","{14}","{14}"
"Jeff","Bill gave the apple to Fred. Jeff gave the apple to Fred. Fred gave the apple to Bill","Who gave the apple to Fred? ","{0, 13}","{13}"
"Jeff","Bill gave the apple to Jeff. Bill gave the apple to Jeff. Bill gave the apple to Jeff","Who did Bill give the apple to? ","{14}","{14}"
"Jeff","Bill gave the apple to Jeff. Bill gave the apple to Jeff. Bill gave the apple to Jeff","Who received the apple? ","{13}","{13}"
"apple","Answer: Mary gave the apple to Fred. PRINTED BY WILLIAM CLOWES AND SONS","What did Mary give to Fred? ","{12}","{12}"
"Jeff","Answer: Jack gave the apple. Jeff passed the apple to Bill. At this place I professed","Who gave the apple? ","{11}","{11}"
"Bill","Answer: Bill. Question: Who did Jeff give the football to? Answer: Bill. Question:","Who did Jeff give the football to? ","{10, 14}","{13}"
"apple","Answer: Mary passed the apple to Bill. He had stopped the machine on the crest of a hill","What did Mary give to Bill? ","{8}","{8}"
"Bill","""I don't know,"" she replied. ""I--I don't know."" ""And why","Who did Fred give the milk to? ","{14}","{13}"
"Jeff","Fred gave the apple to George Mason. Fred gave the apple to George Mason. Fred gave the apple","Who gave the apple? ","{14}","{14}"
"football","Mary gave the football to Fred. Mary gave the football to Fred. Mary gave the football to Fred","What did Mary give to Fred? ","{13}","{11}"
"football","Mary","What did Jeff give to Mary? ","{11}","{11}"
"milk","Mary handed the milk to Fred. Mary passed the milk to Fred. Mary gave the milk to Fred","What did Mary give to Fred? ","{14}","{10, 14}"
"Bill","Mary gave the milk to Bill. The
caterpillars, I say, have taken the","Who gave the milk to Mary? ","{13}","{13}"
"Fred","Mary gave the apple. Mary gave the apple. Mary gave the apple. Mary gave the apple.","Who gave the apple? ","{12}","{12}"
"Fred","Fred. Bill gave the milk to Fred. Bill gave the milk to Fred. Bill gave the milk","Who did Bill give the milk to? ","{14}","{9, 14}"
"Fred","Fred. Bill gave the apple to Fred.

Question: Who was the acquaintance? The acquaintance was the","Who did Bill give the apple to? ","{14}","{13, 14}"
"Bill","Bill. Belden. Gryce. Eleanore.

Question: What did Gryce do for","Who did Jeff give the apple to? ","{12}","{12}"
"Mary","Mary. His thrilling experiences in the days of border wars and through the Civil War are narrated,","Who did Bill give the milk to? ","{12}","{11}"
"Fred","Mary. Fred handed the milk to Mary. Mary handed the milk to Fred. Fred passed the milk","Who gave the milk? ","{14}","{10, 13}"
"Fred","Fred handed the football to Bill. ""Don't you pay a cent, Uncle Randolph,"" interrupted Dick","Who gave the football? ","{11}","{11}"
