"target","output","question"
"bathroom","And how can the Assembly be a convenient way in ordinary times for fixing a time and place for","Where is Mary? "
"kitchen","John went to the bedroom. Woodward saw her at church and took a fancy to her. John","Where is Sandra? "
"kitchen","Answer: Where is Mary? Question: Where is Mary? Answer: Where is Mary? Question:","Where is Mary? "
"kitchen","He </context>  Question: Where is John? He </context>  Question: Where is","Where is John? "
"bedroom","Where is Sandra? Where is Sandra? Where is Sandra? Where is Sandra? Where is Sandra?","Where is Sandra? "
"office","What is the answer? What is the answer? What is the answer? What is the answer?","Where is John? "
"garden","Where is Mary? And when the cost of a good, a good, a good, a good","Where is Mary? "
"bathroom","[Illustration of a swing churn]  Because it makes the most butter. Also the Eureka Butter","Where is Sandra? "
"kitchen","Answer: Mary is in the kitchen. Question: Where is Mary? Answer: Mary is in the","Where is Mary? "
"bedroom","Answer: Where is John? Answer: Where is John? Answer: Where is John? Answer:","Where is John? "
"office","JEANNE  I know a very good man in Belgium--  JEANNE  Tsh!","Where is Daniel? "
"office","EMIL GRELIEU  Mamma says there is a God and there is a righteousness.","Where is Daniel? "
"bathroom","Mary went to the bathroom. Mary went to the bathroom. Mary went to the bathroom. Mary went","Where is Mary? "
"bathroom","I am surprised that a nobleman like Lord RAYLEIGH should even attempt to make such","Where is Sandra? "
"bathroom","""I'm a laughing stock,"" shouted Alfred. A 'good thing' who gives his","Where is Sandra? "
"hallway","Answer: Mary moved to the hallway. Normandy"" Landor disguises Thomas Poole, re","Where is Mary? "
"kitchen","What is Sandra? What is Sandra? What is Sandra? What is Sandra? What is Sandra?","Where is Sandra? "
"office","Where is Daniel? Where is Daniel? Where is Daniel? Where is Daniel? Where is Daniel?","Where is Daniel? "
"kitchen","Mary went back to the hallway. “I suppose it’s very frightsome,” Ruby adds.","Where is Sandra? "
"bedroom","Mary travelled to the office. John travelled to the bathroom. Nevertheless they must be more or less expressed","Where is John? "
"hallway","Where is John? Where is Mary? Where is the <em>Worms</em","Where is Sandra? "
"bedroom","A Med     In the mind's eye alone his figure view'd; But Vinci, and the","Where is Mary? "
"bedroom","Where is Daniel? Where is Sandra? Where is John? Where is Daniel? Where is Sandra?","Where is John? "
"bedroom","Mary moved to the bedroom. Tja; since four o'clock this morning. We poor people are","Where is Mary? "
"bedroom","I'm not sure, but I'm not sure, but I'm not sure, but I'm","Where is Mary? "
"garden","Where is Mary? Where is Mary? Where is Mary? Where is Mary? Where is Mary?","Where is Mary? "
"bedroom","“I’m not crying, Miss Ruby?” For all her six years of residence in the bush","Where is Daniel? "
"office","I have been employed to lead you to him, and at once. ""But--but this is","Where is Sandra? "
"office","Answer: Where is Sandra? Question: Where is Sandra? Answer: Where is Sandra? Question:","Where is Sandra? "
"garden","What is the answer to the question? What is the answer to the question? What is the answer","Where is Sandra? "
"garden","Answer: Where is Daniel? Answer: Where is Daniel? Answer: Where is Daniel? Answer:","Where is Daniel? "
"bathroom","Answer: What is the answer? I'm sorry, I'm sorry, and I'm sorry,","Where is Mary? "
"office","Where is Mary? Where is Mary? Where is Mary? Where is Mary? Where is Mary?","Where is Mary? "
"kitchen","I was </context>  Question: Where is Sandra? I was </context>  Question:","Where is Sandra? "
"garden","What is the answer to the question? What is the answer to the question? What is the answer","Where is Sandra? "
"kitchen","_Lady Cant._ (_with just a suspicion of malice_). Perhaps, ROHESIA","Where is Sandra? "
"kitchen","What is the only one I could find, sir. You have me in your power, and then","Where is Sandra? "
"garden","Mary went to the hallway. It will therefore be prudent to leave it slightly thicker at the","Where is John? "
"garden","And, if so, what is the purpose of the curved contour? And, if so","Where is Sandra? "
"bathroom","If the orthodox creeds of the world are true, all those people went to hell without ever","Where is Sandra? "
"bedroom","Answer: Where is Mary? Answer: Where is Mary? Answer: Where is Mary? Answer:","Where is Mary? "
"kitchen","Where is Sandra? Where is Sandra? Where is Sandra? Where is Sandra? Where is Sandra?","Where is Sandra? "
"office","Answer: Mary is in the garden.","Where is Mary? "
"bedroom","(To my best remembrance, it was honest old John      Nisbet,) that I","Where is Mary? "
"office","Answer: What is Fred's answer to the general? Question: What is Fred's answer to the","Where is Daniel? "
"office","""No, I'm going to tell him about that queer club where my great-grand-f","Where is Sandra? "
"bathroom","How many are the romances of this student Quarter! John went to the kitchen. How many hearts","Where is Sandra? "
"bedroom","What is the ""abstract"" in the ""General Historie"" is exactly like the original we","Where is Sandra? "
"office","Where is Daniel? Where is Daniel? Where is Daniel? Where is Daniel? Where is Daniel?","Where is Daniel? "
"bedroom","The best answer is: Where is Sandra? The best answer is: Where is Sandra? The best","Where is Sandra? "
