"target","output","question"
"Jeff","Fred </question>  Question: What is Fred's favourite colour? Blue </question>  Question","Who did Fred give the football to? "
"Bill","Fred","Who did Mary give the milk to? "
"Jeff","Jeff, Mary, Fred","Who did Fred give the milk to? "
"milk","milk","What did Mary give to Fred? "
"Fred","The cat </question>  Question: What is the name of the cat? Tom </question","Who received the milk? "
"apple","apple","What did Mary give to Jeff? "
"apple","Mary gave Jeff a kiss","What did Mary give to Jeff? "
"apple","Fred gave Bill a book.","What did Fred give to Bill? "
"Jeff","Fred","Who gave the milk to Fred? "
"Fred","Mary","Who gave the apple to Mary? "
"Jeff","Mary","Who received the football? "
"Jeff","Fred </question>  Question: What is the name of the garden Fred is in? Fred's","Who did Mary give the football to? "
"milk","A kiss","What did Mary give to Bill? "
"Bill","Mary gave the milk to the baby. Question: What did Mary give the milk to? Mary gave","Who did Mary give the milk to? "
"milk","milk","What did Mary give to Bill? "
"apple","A kiss Question: What did Fred give to Mary? A kiss Question: What did Fred","What did Fred give to Mary? "
"Mary","Fred received the football. Question: Who is the teacher? Mr. Smith is the teacher. Question","Who received the football? "
"apple","a bottle of milk Answer: a bottle of milk Question: What did Fred give to Bill","What did Fred give to Bill? "
"Jeff","Fred","Who received the apple? "
"Bill","(Read 1 answer)  Answer: Mary gave the football to the boy.  Question: What did","Who did Mary give the football to? "
"Fred","Jeff","Who gave the milk to Jeff? "
"Mary","Mr.","Who received the milk? "
"Mary","The milkman </context>  Question: What is the name of the milkman? Fred","Who gave the milk? "
"milk","a rose Answer: a rose Question: What did Bill give to Mary? a rose","What did Bill give to Mary? "
"milk","a book Question: What did Jeff give to Bill? a book Question: What did Jeff","What did Jeff give to Bill? "
"football","Jeff gave Fred a book. Question: What did Jeff give to Fred? Jeff gave Fred a book","What did Jeff give to Fred? "
"Mary","Fred","Who gave the football? "
"Mary","Bill gave the apple to Mary. Question: Who gave the apple to Mary? Bill gave the apple","Who gave the apple to Bill? "
"Fred","The little boy.  Question: What is the name of the little boy? Jack.  Question: What","Who received the apple? "
"Mary","Mary Question: What is the name of the book Bill is reading? The History of the World","Who gave the milk to Bill? "
"milk","Mary gave Jeff a kiss. Question: What did Jeff give to Mary? Jeff gave Mary a kiss","What did Mary give to Jeff? "
"Mary","Jeff, Jeff gave the milk. Context: Jeff took the milk there. 12mo, cloth","Who gave the milk? "
