"target","output","question"
"kitchen","Answer: She is in the Everglades. Question: How long has she been there? Answer","Where is Mary? "
"garden","Answer: She is in the kitchen. Question: Where is the judge? Answer: He is","Where is Mary? "
"office","Answer: He is gone to the Conciergerie, and will never return.  Question:","Where is Daniel? "
"bathroom","Answer: She is in the kitchen, washing dishes. Question: How long has she been","Where is Sandra? "
"kitchen","Answer: She is in the garden. Question: What is she doing? Answer: She is","Where is Sandra? "
"bedroom","Answer: In bed. Question: What is John? Answer: A. B. C. Question","Where is John? "
"bedroom","Answer: He is in the kitchen. Question: Where is the kitchen? Answer: It is in","Where is Daniel? "
"garden","Answer: He is in prison. Question: Why is he in prison? Answer: Because he","Where is Daniel? "
"garden","Answer: She's gone to the movies. Question: What time will she be back? Answer","Where is Sandra? "
"garden","Answer: She is in the garden, reading. Question: What is Sandra reading? Answer: The","Where is Sandra? "
"office","Answer: She is in the garden. Question: Where is the garden? Answer: It is","Where is Mary? "
"bathroom","Answer: She is in the garden, reading the newspaper. Question: What is the news? Answer","Where is Sandra? "
"hallway","Answer: In the kitchen. Question: Where is Adrienne? Answer: In the kitchen","Where is Daniel? "
"kitchen","Answer: He is in the ark. Question: Where is the ark? Answer: It is in","Where is Daniel? "
"bedroom","Answer: She is in the Chinese quarters, in San Francisco. Question: Where is Jesus","Where is Mary? "
"bedroom","Answer: Where is Daniel? Question: Where is Daniel? Answer: Where is Daniel? Question:","Where is Daniel? "
"office","Answer: In the Cape Colony. Question: Where is Daniel? Answer: In the Cape Colony.","Where is Daniel? "
"office","Answer: He is gone. Question: Where is John? Answer: He is gone. Question:","Where is John? "
"bathroom","Answer: At home, with the secret of my sad misfortune buried in the bosoms of","Where is Sandra? "
"office","Answer: Sandra is in the library. Question: What is Sandra doing? Answer: Sandra is reading","Where is Sandra? "
"hallway","Answer: He is in the lion's den. Question: Where is Daniel? Answer: He","Where is Daniel? "
"garden","Answer: He is gone. Question: Where is John? Answer: He is gone. Question:","Where is John? "
"office","Answer: He is in the kitchen. Question: What is he doing there? Answer: He","Where is John? "
"bedroom","Answer: Where is Daniel? Question: Where is Daniel? Answer: Where is Daniel? Question:","Where is Daniel? "
"office","Answer: He is gone to the kitchen. Question: What is he doing there? Answer:","Where is John? "
