"target","output","question"
"kitchen","Where is Elizabeth? Where is the Queen?  Answer: She is in","Where is Mary? "
"garden","[OOM]","Where is Mary? "
"office","Answer: The most recent location of Daniel is office. The most recent location of","Where is Daniel? "
"bathroom","[OOM]","Where is Sandra? "
"kitchen","[OOM]","Where is Sandra? "
"bedroom","[OOM]","Where is John? "
"bedroom","Answer: The most recent location of Daniel is","Where is Daniel? "
"garden","Answer: The most recent location of Daniel is garden.  Question: Where is Charles? Answer: The","Where is Daniel? "
"garden","[OOM]","Where is Sandra? "
"garden","[OOM]","Where is Sandra? "
