"target","output","question"
"Jeff","Answer: Jeff </question>  Question: Who did Mary give the apple to? Answer: Fred","Who did Fred give the football to? "
"Jeff","Answer: Jeff.  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who did Fred give the milk to? "
"Fred","Answer: The maid.  Question: Who received the milk? Answer: The maid.  Question: Who","Who received the milk? "
"apple","Answer: A wreath of all flowers round. Question: What did Jeff give to Mary? Answer","What did Mary give to Jeff? "
"Jeff","Answer: Jeff.  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who gave the milk to Fred? "
"Jeff","Answer: Fred.  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who received the football? "
"milk","Answer: Milk. Question: What did Mary give to Bill? Answer: Milk. Question: What","What did Mary give to Bill? "
"milk","Answer: Milk.","What did Mary give to Bill? "
"Mary","Answer: Mary.","Who received the football? "
"Jeff","Answer: Fred.  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who received the apple? "
"Fred","Answer: Jeff.  Question: Who gave the apple to Fred? Answer: Fred.  Question: Who","Who gave the milk to Jeff? "
"Mary","Answer: Fred.","Who gave the milk? "
"milk","Answer: Milk. Question: What did Bill give to Jeff? Answer: Nothing. Question: What","What did Jeff give to Bill? "
"Mary","Answer: Jeff.  Question: Who gave the apple? Answer: Fred.  Question: Who gave the","Who gave the football? "
"Fred","Answer: Fred. Why? Because he was first in the human race. Why is the letter D","Who received the apple? "
"milk","Answer: Milk, and a little bit of cheese. Question: What did Jeff give to","What did Mary give to Jeff? "
"Fred","Answer: Fred.","Who gave the apple to Mary? "
"apple","Answer: Nothing. Question: What did Mary give to Fred? Answer: Nothing. Question: What","What did Fred give to Mary? "
"Jeff","Answer: Fred. Edwards, minister of Denton, in Sussex, a living in my brother's","Who gave the milk? "
"Fred","Answer: Fred. Question: Who gave the football to Mary? Answer: Fred. Question: Who","Who gave the football to Mary? "
"milk","Answer: Nothing. Question: What did Mary give to Fred? Answer: Nothing. Question: What","What did Fred give to Mary? "
"Fred","Answer: Fred.","Who received the apple? "
"Fred","Answer: Fred.","Who gave the apple to Bill? "
"Fred","Answer: Fred. Bill travelled to the bathroom. _Reg._ I am thy father! Bill moved","Who received the apple? "
"Mary","Answer: Fred.  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who received the football? "
"apple","Answer: A basket of apples. Question: What did Fred give to Mary? Answer: A basket","What did Mary give to Fred? "
"apple","Answer: An apple. Question: What did Bill give to Fred? Answer: Nothing. Question:","What did Fred give to Bill? "
"Mary","Answer: Fred.  Question: Who gave the apple? Answer: Fred.  Question: Who journeyed","Who received the milk? "
"Bill","Answer: Bill. Question: Who gave the football to Fred? Answer: Bill. Question","Who gave the football to Fred? "
"Mary","Answer: Mary.","Who gave the football to Fred? "
"Fred","Answer: Jeff.  Question: Who gave the apple to Fred? Answer: Fred.  Question: Who","Who gave the football to Jeff? "
"Bill","Answer: Jeff. Question: Who carried the coal? Answer: Jeff. Question: Who carried the","Who received the milk? "
"milk","Answer: A pair of stockings. Question: What did Fred give to Mary? Answer: A pair","What did Mary give to Fred? "
"Jeff","Answer: Jeff.","Who gave the apple to Bill? "
"Bill","Answer: Mrs. Fred. Question: Who did Fred give the apple to? Answer: Mrs.","Who did Fred give the apple to? "
"Bill","Answer: The cow. Question: Who gave the milk to Fred? Answer: The cow. Question","Who gave the milk to Fred? "
"Fred","Answer: Jeff </question>  (1) The Charter of the Forest, 1217,","Who gave the milk? "
"Jeff","Answer: Bill Question: Who received the apple? Answer: Fred Question: Who received the","Who received the milk? "
"Bill","Answer: The giant. Question: Who gave the rum? Answer: The giant. Question: Who","Who gave the apple? "
"Fred","Answer: Fred.  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who received the football? "
"Mary","Answer: Fred.","Who did Jeff give the apple to? "
"Mary","Answer: Bill.  Question: Who received the apple? Answer: Fred.  Question: Who journeyed","Who received the milk? "
"Mary","Answer: Fred. Question: Who dropped the milk? Answer: Fred. Question: Who picked up","Who gave the milk? "
"Mary","Answer: Fred.","Who received the football? "
"milk","Answer: A bottle of milk.  Question: What did Jimmieboy give to Major Blueface?","What did Fred give to Bill? "
"Jeff","Answer: Fred.  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who gave the apple? "
"Bill","Answer: Glenn. Question: Who gave the football to Jeff? Answer: Glenn. Question: Who","Who gave the football to Jeff? "
"milk","Answer: Milk. Question: What did Bill give to Mary? Answer: Nothing. Question: What","What did Mary give to Bill? "
"Mary","Answer: Jeff.","Who gave the milk to Jeff? "
"Bill","Answer: Bill. Question: Who fired the guns? Answer: Bill. Question: Who passed the","Who received the milk? "
