"target","output","question"
"kitchen","I have not seen her for a while. I have not seen her for a while. I","Where is Sandra? "
"office","I don't see him.  Page 9    ""I have been hard at work, and","Where is John? "
"bedroom","--Answer: He is in the house.--[Illustration: N. 1.]--[","Where is John? "
"bathroom","I am not sure I understand. I think she is in the hospital. I am not sure","Where is Sandra? "
"office","--I have not seen her in the house.--I have not seen her in the house.--","Where is Daniel? "
"bedroom","I don't know. I think she's in the kitchen, for I heard her say","Where is Mary? "
"garden","Is she in the house? Is she in the garden? Is she in the Street? Is she","Where is Mary? "
"garden","--""the good brood of the good brood of the--""--""the good","Where is Sandra? "
"kitchen","She is not in the house, and I have not seen her. She is not in the stable","Where is Sandra? "
"garden","He is in the library. He is in the drawing-room. He is in the library.","Where is John? "
"kitchen","I have not seen her for a long time. I have not seen her for a long time","Where is Sandra? "
"office","She is in the back room, and she is sitting on the floor, and she is","Where is Sandra? "
"bedroom","_Reg._ I know not, but I will discover (_aside._)  Where is my son?","Where is Sandra? "
"garden","I can't see him. I can't see him. I can't see him. I can","Where is John? "
"hallway","I have not heard from him. I have not heard from him. I have not heard from","Where is John? "
"kitchen","I have a letter from her, but I don't know where she is. I have tried","Where is Sandra? "
"garden","[Enter Sandra.] [Enter Bos.] [Enter Jo.] [Enter Cobus.] [","Where is Sandra? "
"bathroom","She is not in the room. She is in the bathroom. She is not in the","Where is Sandra? "
"office","--You'll, likely, find the answer, here, if you have a   good memory","Where is Daniel? "
"office","Sandra went back to the garden. She was not surprised to find him there, and","Where is John? "
"hallway","[Footnote: 1] [Footnote: 2] [Footnote: 3","Where is Daniel? "
"bathroom","He is a man of the world, and has been thrown, as it were, into the","Where is Daniel? "
"garden","]      While Brownies, playing, sported round,     And, climbing up the kitchen door","Where is Sandra? "
"kitchen","The boy was in the castle, but he had gone to the hall.  Answer: The","Where is Daniel? "
"bedroom","--The main street of the town, which, however, is not a very large one,","Where is John? "
