"target","output","question"
"milk","Answer: A letter. Question: What did Fred give to Mary? Answer: A letter. Question","What did Mary give to Fred? "
"apple","Answer: A book of matches. Question: What did Bill give to Fred? Answer: A book","What did Fred give to Bill? "
"Jeff","Answer: The football was given to Mary. Question: Who did Mary give the football to?","Who did Mary give the football to? "
"apple","Answer: A ring, _ibid._;       a ring, _ibid._;","What did Fred give to Mary? "
"Bill","Answer: Mary gave the football to the University. Question: Who did Mary give the football to","Who did Mary give the football to? "
"milk","Answer: A wig. Question: What did Mary give to Bill? Answer: A wig. Question","What did Bill give to Mary? "
"Mary","Answer: The apple was given to Bill by the Sultan of Turkey. Question: Who gave the","Who gave the apple to Bill? "
"Mary","Answer: Jeff. Question: What is the name of the book? Answer: The Lion of St","Who gave the milk? "
"apple","Answer: $1,000. Question: What did Bill give to Fred? Answer: $","What did Fred give to Bill? "
"milk","Answer: Milk. Question: What did Fred give to Mary? Answer: Nothing. Question:","What did Mary give to Fred? "
"Mary","Answer: The apple gave itself.  </question>  </answer>  </context>  </question>  </","Who gave the apple? "
"Fred","Answer: The cow. Question: Who received the milk? Answer: The cow. Question:","Who received the milk? "
"apple","Answer: A piece of bread. Question: What did Bill give to Fred? Answer: A piece","What did Fred give to Bill? "
"Jeff","Answer: The man who kicked it. Question: Who gave the football? Answer: The man who","Who gave the football? "
"Jeff","Answer: Jeff.","Who did Bill give the milk to? "
"Jeff","Answer: Bill gave the apple to the Lady Ellen. Question: Who did the Lady Ellen give","Who did Bill give the apple to? "
"apple","Answer: A box of chocolates. Question: What did Fred give to Mary? Answer: A box","What did Mary give to Fred? "
"Bill","Answer: Jeff. Question: Who did Jeff give the football to? Answer: Jeff. Question:","Who did Jeff give the football to? "
"Bill","Answer: Jennie. Question: Who did Fred give the milk to? Answer: Jennie.","Who did Fred give the milk to? "
"football","Answer: A popinjay.  </question>  </answer>  </question>  </answer>  </","What did Mary give to Fred? "
"milk","Answer: A letter. Question: What did Fred give to Mary? Answer: A letter.","What did Mary give to Fred? "
"Fred","Answer: The apple was given by the apple-man. Question: Who gave the apple? Answer","Who gave the apple? "
"Fred","Answer: Bill gave the apple to the baby. Question: Who did Bill give the apple to","Who did Bill give the apple to? "
"Mary","Answer: The cat. Question: Who did Bill give the milk to? Answer: The cat.","Who did Bill give the milk to? "
"Fred","Answer: The football was given by the football. Question: Who gave the football? Answer:","Who gave the football? "
