"target","output","question"
"milk","Answer: Answer: milk Answer: milk Answer: milk Answer: milk Answer","What did Mary give to Fred? "
"apple","Answer: Apple <context> Bill journeyed to the bedroom.   Jeff gave the football to","What did Fred give to Bill? "
"Jeff","Answer:  Assistant: Jeff  Human: Answer the question based on the given context.  Context:","Who did Mary give the football to? "
"apple","Answer: Answer: football Answer: football Answer: football Answer: football Answer","What did Fred give to Mary? "
"Bill","Answer: Answer: Bill <context> Fred journeyed to the kitchen. --(which I","Who did Mary give the football to? "
"milk","Answer: Answer: milk The answer is milk. The context says ""Bill gave the","What did Bill give to Mary? "
"Mary","Answer: Mary <context> In this estimate is not included the great harm to indust","Who gave the apple to Bill? "
"Mary","Answer: Answer: Mary <context> --_Eclectic._        +A Jaunt","Who gave the milk? "
"apple","Answer: Answer: apple Answer: apple Answer: apple Answer: apple Answer","What did Fred give to Bill? "
"milk","Answer: Answer: milk Answer: milk Answer: milk Answer: milk","What did Mary give to Fred? "
"Mary","Answer: Mary <context> Loud cries and laughter were heard all round. Birgit rose","Who gave the apple? "
"Fred","Answer: Fred <context> Everybody is saying he will soon be our leading man. They","Who received the milk? "
"apple","Answer: Answer: Apple <context> Mary took the apple there. Mary handed the apple to","What did Fred give to Bill? "
"Jeff","Answer: Jeff </context> Answer: Jeff Okay, let's tackle this question.","Who gave the football? "
"Jeff","Answer: Answer: Bill gave the milk to Jeff.   Answer: Jeff Answer: Jeff","Who did Bill give the milk to? "
"Jeff","Answer: Answer: Fred Okay, let's try to figure out who Bill gave the apple","Who did Bill give the apple to? "
"apple","Answer: Answer: apple Answer: apple Answer: apple Answer: apple Answer","What did Mary give to Fred? "
"Bill","Answer:  Bill Okay, let's tackle this question. The user is asking, ""Who","Who did Jeff give the football to? "
"Bill","Answer: Bill <context> This was the incredible story related to me by the villain who had","Who did Fred give the milk to? "
"football","Answer: Answer: football Answer: football Answer: football Answer: football Answer","What did Mary give to Fred? "
"milk","Answer:  Assistant: milk <context> Mary passed the milk to Fred. </context> Answer","What did Mary give to Fred? "
"Fred","Answer: Answer: Mary Answer: Mary Answer: Mary Answer: Mary Answer","Who gave the apple? "
"Fred","Answer: Fred </context>  Okay, let's tackle this question. The user is asking","Who did Bill give the apple to? "
"Mary","Answer: Mary <context> He is crazy with absinthe, and no one pays any","Who did Bill give the milk to? "
"Fred","Answer: Answer: Fred The context provided is a mix of different texts, including a story","Who gave the football? "
