"target","output","question"
"bathroom","Answer: In the barn. Question: What is the name of the man who is looking for Mary","Where is Mary? "
"bedroom","Where is Sandra? Where is Sandra? Where is Sandra? Where is Sandra? Where is Sandra?","Where is Sandra? "
"kitchen","What is she doing?  Answer: Mary is in her room. She is reading a book.  Question","Where is Mary? "
"bathroom","Answer: She is in the house of her father, Mr. Leavenworth. Question: What","Where is Mary? "
"kitchen","(Sandra is the name of the narrator's daughter.)  Answer: Sandra is the name of the","Where is Sandra? "
"hallway","What is she doing?  Answer: Sandra is in the kitchen. She is making a cake.  Question","Where is Sandra? "
"bedroom","Where is the Holy Spirit? Where is the Father? Where is the Son? Where is the Church","Where is Mary? "
"office","(1) Where is Sandra? (2) Where is Sandra? (3) Where is Sandra","Where is Sandra? "
"office","Answer: She is in the garden. Question: Where is the garden? Answer: It is in","Where is Mary? "
"kitchen","Answer: In the north of Italy, in the province of Milan, in the diocese of","Where is Sandra? "
"bedroom","Answer: She is in the kitchen. Question: Where is the kitchen? Answer: It is in","Where is Mary? "
"office","(1.1.1)  Answer: Daniel is in the brig.  Question: What is the","Where is Daniel? "
"office","Answer: He is in the hospital. Question: Where is he? Answer: He is in the","Where is Daniel? "
"office","(John is the name of the man who was the principal informant of the writer of the report","Where is John? "
"hallway","Answer: In the middle of the sea. Question: Where is the sea? Answer: In the","Where is Sandra? "
"bedroom","(Read 1 Kings 1:1-8)  Answer: Daniel was the son of Ab","Where is Daniel? "
"bathroom","Answer: Sandra is in the context. Sandra is in the context. Sandra is in the context.","Where is Sandra? "
"garden","Answer: Sandra is in the kitchen. Question: Where is the kitchen? Answer: The kitchen is","Where is Sandra? "
"bedroom","Answer: In the kitchen. Question: Where is Sweater? Answer: In the kitchen","Where is John? "
"hallway","Answer: She is in the tomb. Question: Where is Jesus? Answer: He is in the","Where is Mary? "
"hallway","Answer: He is in the kitchen. Question: Where is the kitchen? Answer: It is in","Where is John? "
"bathroom","Answer: He is in the house. Question: Where is the house? Answer: It is in","Where is John? "
"office","Answer: She is in the garden. Question: Where is the garden? Answer: It is in","Where is Mary? "
"hallway","Answer: In the grave. Question: Where is the grave? Answer: In the earth.","Where is John? "
"garden","Answer: In the hospital. Question: What is Sandra doing? Answer: She is waiting for the","Where is Sandra? "
