"target","output","question"
"garden","Answer: In the cow. Question: Where is the cow? Answer: In the field. Question","Where is the milk? "
"hallway","Answer: In the heart of Africa.  CHAPTER XXVII.  THE END OF THE STORY.  The","Where is the apple? "
"bathroom","Answer: In the cow.  Question: Where is the cow? Answer: In the field.  Question","Where is the milk? "
"kitchen","Answer: Where is the football? Question: Where is the football? Answer: Where is the football","Where is the football? "
"bedroom","Answer: In the bedroom. Question: Where is the apple? Answer: In the bedroom. Question","Where is the apple? "
"bedroom","Answer: Where is the milk? Question: Where is the milk? Answer: Where is the milk","Where is the milk? "
"garden","Answer: Where is the football? Question: Where is the football? Answer: Where is the football","Where is the football? "
"hallway","Answer: In the apple.  Question: Where is the apple? Answer: In the apple.  Question","Where is the apple? "
"kitchen","Answer: Under cover, under cover, and stay under cover, or I'll send ye below,","Where is the football? "
"hallway","Answer: Where is the milk? Question: Where is the milk? Answer: Where is the milk","Where is the milk? "
"hallway","Answer: In the garden. Question: Where is the football? Answer: In the garden.","Where is the football? "
"bedroom","Answer: In the bedroom.  Question: Where is the milk? Answer: In the bedroom.  Question","Where is the milk? "
"bathroom","Answer: Where is the football? Question: Where is the football? Answer: Where is the football","Where is the football? "
"hallway","Answer: In the cave.  Question: Where is the cave? Answer: Under the mountain.  Question","Where is the milk? "
"bathroom","Answer: Where is the milk? Question: Where is the milk? Answer: Where is the milk","Where is the milk? "
"bathroom","Answer: In the orchard. Question: Where is the apple? Answer: In the orch","Where is the apple? "
"hallway","Answer: Where is the milk? Question: Where is the milk? Answer: Where is the milk","Where is the milk? "
"bathroom","Answer: In the apple tree. Question: Where is the apple tree? Answer: In the orch","Where is the apple? "
"hallway","Answer: In the football field. Question: Where is the football field? Answer: In the","Where is the football? "
"office","Answer: Where is the milk? Question: Where is the milk? Answer: Where is the milk","Where is the milk? "
"kitchen","Answer: Where is the apple? Question: Where is the apple? Answer: Where is the apple","Where is the apple? "
"office","Answer: In the bottle. Question: Where is the bottle? Answer: In the cupboard. Question","Where is the milk? "
"bedroom","Answer: In the milk-house. Question: Where is the butter? Answer: In the butter-house","Where is the milk? "
"bedroom","Answer: Where is the football? Question: Where is the football? Answer: Where is the football","Where is the football? "
"office","Answer: In the refrigerator. Question: Where is the refrigerator? Answer: In the cellar. Question","Where is the milk? "
