"target","output","question"
"kitchen","I can't find Sandra anywhere. Where is Sandra? I can't find Sandra anywhere. Where is","Where is Sandra? "
"kitchen","2.1.1.1.1.1.1.1.1.1","Where is John? "
"office","Answer: bedroom </context> \end{context} \begin{context} \begin","Where is John? "
"bathroom","The _second_ one, and the _second_ one, and the _second_ one,","Where is Sandra? "
"bedroom","The </context>  Answer: Where is John? The </context>  Question: Where is","Where is John? "
"office","The author of the article, who was also the author of the article, was the author of","Where is Daniel? "
"bathroom","[Footnote 1: The quotation is really from the spurious ninth volume in Zückert","Where is Sandra? "
"hallway","The doctor's office. Mary: I'm in the doctor's office.  Question: Where is Mary","Where is Mary? "
"office","In the bathroom  Answer: Daniel is in the bathroom </context>  Question: Where is the","Where is Daniel? "
"bedroom","In the bedroom Answer: John is in the bedroom Question: Where is Mary? In the","Where is John? "
"bedroom","Answer: in the garden, on the hill, in the office, in the bathroom, in","Where is Mary? "
"bedroom","Answer: Mary is in the bathroom. Question: Where is Mary? Answer: Mary is in","Where is Mary? "
"garden","The Commandeur is in the office. Mary is in the bathroom. The Commandeur is in the","Where is Mary? "
"office","The bathroom.  Answer: The bathroom. “I’m not sure I can do that,” said Sandra","Where is Sandra? "
"garden","Answer: bathroom Sandra is in bathroom with Mary. Mary is in bathroom with Mary.","Where is Sandra? "
"bathroom","Question: Where is Mary? Question: Where is Mary? Question: Where is Mary? Question:","Where is Mary? "
"kitchen","The first part of the proposition, that the man standing still, or moving slowly, has his","Where is Sandra? "
"kitchen","How can I help you?  Sandra is on the floor.  Sandra moves on the floor.","Where is Sandra? "
"garden","""I'm in the garden,"" said John. ""I'm in the garden,"" said Mary.","Where is John? "
"bathroom","bathroom Answer: bathroom Sandra is in bathroom  Question: Where is Mary? Answer:","Where is Sandra? "
"kitchen","The men were all in the garden, and the foreman was in the garden, and the","Where is Sandra? "
"bedroom","The two men were in the office, and the two ladies were in the garden, and","Where is Mary? "
"office","the bathroom of the office of the office of the office of the office of the office of the office","Where is Sandra? "
"bedroom","The cost of a 10-inch spherical Carcass, {   spherical Carcass, {","Where is Sandra? "
"bedroom","The     _Copyright, 1901, by Perrien-Keydel Co., Detroit,","Where is Sandra? "
"bedroom","1 Question: Where is the tree? 1 Question: Where is the dog?","Where is Sandra? "
"garden","Where is Mary? Where is Daniel? Where is Sandra? Where is the bathroom? Where is the","Where is John? "
"hallway","Mary is in the hallway.  Answer: Mary is in the hallway. \end{tabular}","Where is Mary? "
"hallway","The bathroom, the bathroom, the bathroom, the bathroom, the bathroom, the bathroom, the bathroom","Where is John? "
"bedroom","1 Answer: Sandra is in the garden </context>  Question: Where is the","Where is Sandra? "
"kitchen","The bathroom, in the bathroom, in the bathroom, in the bathroom, in the bathroom, in","Where is Sandra? "
"garden","1. 1. 1. 1. 1. 1. 1","Where is John? "
"garden","""I'm not going to be able to be the one to help the trap, and eat","Where is Sandra? "
"bedroom","In the bathroom, in the kitchen, in the office, in the bedroom, in the garden,","Where is Mary? "
"bathroom","Answer: the[192] the[191] the[190] the[189] the","Where is Sandra? "
"kitchen","The <br /> <br /> <br /> <br /> <br /> <br /> <","Where is Daniel? "
"office","In the bathroom, on the floor.  Question: Where is Mary? In the bathroom, on the","Where is Daniel? "
"office","In the office of the 1st </context>  Answer: In the office of the","Where is John? "
"office","The answer is: John is in the writer. We can find the “universitas cl","Where is John? "
"bathroom","The man was in the bathroom, and the man was in the bathroom, and the man was in","Where is John? "
"hallway","<context> <context> <context> <context> <context> <context> <context","Where is Daniel? "
"bathroom","* * * * * * * * * * * * * * * * * * * *","Where is Daniel? "
"bathroom","In the bathroom  Answer: Daniel is in the bathroom ```  Question: Where is Mary?","Where is Daniel? "
"bedroom","The </context>  Question: Where is Mary? The </context>  Question: Where is","Where is John? "
"garden","The men in the picture are Sandra and the other one. The men in the picture are","Where is Sandra? "
"bedroom","The presidential campaign of 1860 we had two kinds of Democrats--the Douglas","Where is Daniel? "
"kitchen","1. The best way to get a good price on a used car is to buy from a","Where is Daniel? "
"hallway","In the bathroom  Answer: Sandra is in the bathroom ```  Question: Where is the bathroom","Where is Sandra? "
"bedroom","The King in the garden. Answer: The King is in the garden. Question: Where is the","Where is John? "
"garden","The Confederate right wing is in the Confederate left wing. The Confederate left wing is in the Confederate right","Where is Sandra? "
