"target","output","question"
"bathroom","Answer: In the barn. Question: Why is she there? Answer: Because she is pregnant.","Where is Mary? "
"bedroom","I have not seen her for a long time. I am afraid she is dead. I have not","Where is Sandra? "
"kitchen","Answer: In her room. Question: What is she doing? Answer: She is reading. Question","Where is Mary? "
"bathroom","Answer: In the house of the dead. Question: Where is the house of the dead? Answer","Where is Mary? "
"kitchen","(from the book, ""The Scarlet Letter"") Answer: She is in the prison.  Question:","Where is Sandra? "
"hallway","What is she doing?  Answer: Sandra is in the kitchen. She is making a cake.  Question","Where is Sandra? "
"bedroom","Answer: She is in the garden. She is in the garden with the baby. She is in","Where is Mary? "
"office","I can't find her.  Answer: She is in the room.  Question: Where is the room","Where is Sandra? "
"office","Answer: In the garden. Question: What is she doing? Answer: She is picking flowers.","Where is Mary? "
"kitchen","What is the meaning of the word ""Sandra"" in the context of the above text?  Answer","Where is Sandra? "
"bedroom","Answer: She is in the kitchen. Question: Where is the kitchen? Answer: It is in","Where is Mary? "
"office","Answer: In the brig. Question: What is the brig? Answer: A small vessel. Question","Where is Daniel? "
"office","Answer: He is in the hospital. Question: Where is he? Answer: He is in the","Where is Daniel? "
"office","Answer: In the garden. Question: What is he doing? Answer: He is digging. Question","Where is John? "
"hallway","I have been looking for it for a long time. I have been looking for it for a long","Where is Sandra? "
"bedroom","Answer: In the grave. Question: Where is the grave? Answer: In the churchyard.","Where is Daniel? "
"bathroom","I can't find her anywhere. I'm sure she's in the house somewhere. I'll just","Where is Sandra? "
"garden","Answer: In the garden. Question: What is she doing? Answer: She is picking flowers.","Where is Sandra? "
"bedroom","Answer: In the garden. Question: What is he doing? Answer: He is making a garden","Where is John? "
"hallway","Answer: She is not mentioned in this passage. She is not mentioned in the genealogy of Jesus","Where is Mary? "
"hallway","Answer: In the stable. Question: What is he doing? Answer: He is feeding the horses","Where is John? "
"bathroom","Answer: He is in the </context>  Question: Where is John? Answer: He is","Where is John? "
"office","Answer: In the garden. Question: Where is Mary? Answer: In the garden. Question:","Where is Mary? "
"hallway","(1) Answer: In the garden. Question: Where is John? (2) Answer:","Where is John? "
"garden","Answer: In the hospital. Question: Where is Sandra? Answer: In the hospital. Question:","Where is Sandra? "
