"target","output","question"
"Bill","Answer: Bill  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who did Mary give the milk to? "
"apple","(answer: apple)  <example> Mary picked up the apple there. Mary gave the apple to","What did Mary give to Jeff? "
"Fred","Answer: Fred  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who gave the apple to Mary? "
"Bill","Answer: Bill  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who did Mary give the milk to? "
"apple","(1 word)  <answer>apple</answer>  <example> Mary picked up the apple there","What did Fred give to Bill? "
"Mary","Answer: Mary  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who received the milk? "
"football","Answer: football  <example> Mary picked up the apple there. Mary gave the apple to Fred","What did Jeff give to Fred? "
"Mary","Answer: Mary  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who gave the milk to Bill? "
"football","(1 word)  <answer>apple</answer>  <example> Mary journeyed to the kitchen","What did Bill give to Mary? "
"Bill","(answer: Bill)  <example> Mary moved to the bathroom. Jeff journeyed to the kitchen","Who did Mary give the apple to? "
"Mary","Answer: Jeff  <example> Mary moved to the kitchen. Bill grabbed the football there. Jeff","Who gave the football? "
"apple","(1 point)  A. 1,000,000,000,000,000,000","What did Fred give to Bill? "
"apple","(answer: apple)  <example> Mary went back to the bedroom. Jeff went back to the","What did Bill give to Mary? "
"milk","(answer: milk)  <example> Mary picked up the apple there. Mary gave the apple to","What did Jeff give to Fred? "
"Mary","(one word)  <answer>Jeff</answer>  <example> Mary went back to the garden","Who received the football? "
"Jeff","(answer: Mary)  <example> Jeff took the football there. Jeff passed the football to Fred","Who gave the apple to Fred? "
"Jeff","(one word)  <answer>Jeff</answer> <answer>Bill</answer> <answer","Who received the apple? "
"Jeff","(answer: Bill)  <example> Mary picked up the apple there. Mary gave the apple to","Who gave the apple? "
"apple","(answer: apple)  <example> Mary picked up the apple there. Mary gave the apple to","What did Mary give to Bill? "
"Jeff","(answer: Bill)  <example> Mary travelled to the office. Bill moved to the hallway.","Who gave the apple? "
"football","Answer: football  <example> Mary went to the garden. Jeff went back to the garden.","What did Jeff give to Mary? "
"Bill","Answer: Bill  <example> Mary took the milk there. Mary went back to the garden.","Who gave the milk to Mary? "
"Fred","Answer: Fred  <example> Mary moved to the office. Jeff took the apple there. Fred","Who did Bill give the milk to? "
"Bill","(answer: Bill)  <example> Mary picked up the apple there. Mary gave the apple to","Who did Jeff give the apple to? "
"Fred","Answer: Mary  <example> Mary picked up the apple there. Mary gave the apple to Fred","Who gave the milk? "
