"target","output","question"
"kitchen","Answer: She is in the library. Question: Where is Sandra? Answer: She is in","Where is Sandra? "
"office","Answer: He is in the barn. Question: Where is the barn? Answer: It is","Where is John? "
"bedroom","Answer: He is in the sun. Question: Where is John? Answer: He is in","Where is John? "
"bathroom","Answer: She is in the kitchen. Question: What is she doing? Answer: Making coffee","Where is Sandra? "
"office","Answer: He is in the hospital. Question: Where is Mary? Answer: She is in","Where is Daniel? "
"bedroom","Answer: She is in the circus tent, eating cocoanuts.  Question: How many cocoanuts did","Where is Mary? "
"garden","Answer: She's gone to the movies. Question: What time will she be back? Answer:","Where is Mary? "
"garden","Answer: She is, and she is, and she is, and she is, and she is","Where is Sandra? "
"kitchen","Answer: She is in the kitchen, washing dishes. Question: Where is Dick? Answer","Where is Sandra? "
"garden","Answer: In the library. Question: Where is Mary? Answer: In the drawing-room.","Where is John? "
"kitchen","Answer: She's gone to the movies. Question: Where is Sandra? Answer: She's gone","Where is Sandra? "
"office","Answer: She’s gone up to the house. Question: What’s she doing up there? Answer","Where is Sandra? "
"bedroom","_Ham._                   She's gone to bed. _Reg._                   She's gone to bed.","Where is Sandra? "
"garden","Answer: In the kitchen. Question: Where is John? Answer: In the kitchen. Question:","Where is John? "
"hallway","Answer: In the kitchen. Question: Where is John? Answer: In the kitchen. Question:","Where is John? "
"kitchen","Answer: She is in the kitchen. Question: Where    is Sandra? Answer: She is","Where is Sandra? "
"garden","Answer: She is in the kitchen. Question: Where is the Burgomaster? Answer:","Where is Sandra? "
"bathroom","Answer: She is in the bathroom. Question: What is the bathroom like? Answer: It","Where is Sandra? "
"office","Answer: In the kitchen. Question: What is Daniel doing? Answer: Eating. Question:","Where is Daniel? "
"office","Answer: Where is John? Question: Where is John? Answer: Where is John? Question:","Where is John? "
"hallway","Answer: In the garden. Question: Where is Sandra? Answer: In the kitchen. themselves at","Where is Daniel? "
"bathroom","Answer: Where is Daniel? Question: Where is Daniel? Answer: Where is Daniel? Question","Where is Daniel? "
"garden","Answer: She is in the kitchen, baking bread. Question: Where is Sandra? Answer: She","Where is Sandra? "
"kitchen","Answer: In the Castle. Question: Where is Daniel? Answer: In the Castle. Question","Where is Daniel? "
"bedroom","Answer: At home. Question: Where is John? Answer: At home. Question: Where is","Where is John? "
