"target","output","question"
"bathroom","Answer: Mary is in the garden. Question: Where is Mary? Answer: Mary is in the","Where is Mary? "
"kitchen","Answer: In the garden. Question: Where is John? Answer: In the garden. Question:","Where is Sandra? "
"kitchen","Answer: In the kitchen.","Where is Mary? "
"kitchen","Answer: In the garden. Question: Where is Daniel? Answer: In the office. Question:","Where is John? "
"bedroom","Answer: In the kitchen.","Where is Sandra? "
"office","Answer: In the office.","Where is John? "
"garden","Answer: Mary is in the kitchen. Question: What is Mary doing? Answer: Mary is cooking","Where is Mary? "
"bathroom","Answer: In the bathroom. Question: What is she doing? Answer: She is washing her hands","Where is Sandra? "
"kitchen","Answer: Mary is in the garden. Question: What is Mary? Answer: Mary is in the","Where is Mary? "
"bedroom","Answer: In the bedroom.","Where is John? "
"office","Answer: In the garden. Question: Where is Daniel? Answer: In the garden. Question:","Where is Daniel? "
"office","EMIL GRELIEU  Yes, I am a man, and I am a man of","Where is Daniel? "
"bathroom","Answer: Mary is in the garden. Question: Where is Mary? Answer: Mary is in the","Where is Mary? "
"bathroom","Answer: In the bathroom.","Where is Sandra? "
"bathroom","Answer: In the bathroom.","Where is Sandra? "
"hallway","Answer: Mary is in the hallway. Question: What is Mary? Answer: Mary is in the","Where is Mary? "
"kitchen","Answer: In the kitchen. Question: What is the name of the hotel? Answer: The hotel","Where is Sandra? "
"office","Answer: In the garden.","Where is Daniel? "
"kitchen","Answer: In the kitchen. Question: Where is Dick? Answer: In the office. Question:","Where is Sandra? "
"bedroom","Answer: In the bathroom. Question: Where is Mary? Answer: In the bathroom. Question:","Where is John? "
"hallway","Answer: In the bedroom. Question: Where is Mary? Answer: In the bedroom. Question:","Where is Sandra? "
"bedroom","Answer: Mary is in the garden. Question: Where is Mary? Answer: Mary is in the","Where is Mary? "
"bedroom","Answer: In the kitchen. Question: Where is Daniel? Answer: In the bedroom. Question:","Where is John? "
"bedroom","Answer: In the bathroom. Question: Where is Daniel? Answer: In the bathroom. Question:","Where is Mary? "
"bedroom","Answer: Mary is in the bathroom.","Where is Mary? "
"garden","Answer: In the garden. Question: Where is John? Answer: In the bedroom. Question:","Where is Mary? "
"bedroom","Answer: In the garden.","Where is Daniel? "
"office","Answer: In the office. Question: Where is Mary? Answer: In the office. Question:","Where is Sandra? "
"office","Answer: In the office. Question: Where is Daniel? Answer: In the bathroom. Question:","Where is Sandra? "
"garden","Answer: In the garden","Where is Sandra? "
"garden","Answer: In the garden.","Where is Daniel? "
"bathroom","In the garden.","Where is Mary? "
"office","Answer: Mary is in the garden. Question: Where is Mary? Answer: Mary is in the","Where is Mary? "
"kitchen","Answer: In the kitchen. Question: What did she say? Answer: She said that she was","Where is Sandra? "
"garden","Answer: In the garden. Question: Where is Fred? Answer: In the office. Question:","Where is Sandra? "
"kitchen","Answer: In the kitchen. Question: What is the name of the man? Answer: Mr.","Where is Sandra? "
"kitchen","Answer: In the kitchen. Question: Where is Mary? Answer: In the bedroom. Question:","Where is Sandra? "
