target,output,question
Jeff,"Answer, the take take take take take take take take take take take take take take take take take",Who did Fred give the football to? 
Bill,"Answer, the take take take take take take take take take take take take take take take take take",Who did Mary give the milk to? 
Jeff,"Answer, the take take take take take take take take take take take take take take take take take",Who did Fred give the milk to? 
milk,Answer of the take take take take take take take take take take take take take take take take take,What did Mary give to Fred? 
Fred,Answer of the take the take take take take be be be be be be be be be be be,Who received the milk? 
apple,What are the take take take take take take take take take take take take take take take take take,What did Mary give to Jeff? 
apple,"Answer, the take take take take take take take take take take take take take take take take take",What did Mary give to Jeff? 
apple,"Answer, the take the take be a be be be be be be be be be be be be",What did Fred give to Bill? 
Jeff,"What is the take take take take take take take take take take take take#echo href=""Skipchemical",Who gave the milk to Fred? 
Fred,"(2015, the take take take take take take take take take take take take take take#echo",Who gave the apple to Mary? 
Jeff,Answer of the take take take take take take be be be be be be be be be be be,Who received the football? 
Jeff,Answer to be the take take take take take take take take take take take be be be be be,Who did Mary give the football to? 
milk,"Answer, the take be the take be be be be be be be be be be be be be",What did Mary give to Bill? 
Bill,"Answer, the take take take take take take take take take take take take take take take take take",Who did Mary give the milk to? 
milk,"Answer, the take take take take take take take take take take take take take take take take take",What did Mary give to Bill? 
apple,"Answer, the take take take take take take take take take take take take take#echo href=""Skip",What did Fred give to Mary? 
Mary,"Answer, the take take take take take take take take take take take take take take take take take",Who received the football? 
apple,What is the take be be be be be be be be be be be be be be be be,What did Fred give to Bill? 
Jeff,"Answer, the take take take take take take take take take take take take take take take take take",Who received the apple? 
Bill,Why are the take take take take take take take take take take take take take take take take take,Who did Mary give the football to? 
Fred,Answer. The take take take take take take take be be be be be be be be be be,Who gave the milk to Jeff? 
Mary,"Answer





Skip take take take take take take take take take take take take take take take",Who received the milk? 
Mary,"Answer, the take take take take take take take take take take take take take take take take take",Who gave the milk? 
milk,"Answer, the take take take take take take take take take take#echochemicalchemicalchemicalchemicalchemicalchemical",What did Bill give to Mary? 
milk,Answer of the take the take take take take take take take take take take take take be be be,What did Jeff give to Bill? 
