"target","output","question"
"bathroom","Answer: In the kitchen. Question: What is the matter with the boy? Answer: He is","Where is Mary? "
"bedroom","What is the name of the book from which the extracts are taken? What is the name","Where is Sandra? "
"kitchen","(from the Bible) (a) Mary is in the garden. (b) Mary is in","Where is Mary? "
"bathroom","|  |  |  |  |  |","Where is Mary? "
"kitchen","(a) Where is Sandra? (b) Where is Sandra? (c) Where is Sandra","Where is Sandra? "
"hallway","Answer: I don't know. Question: Where is Sandra? Answer: I don't know.","Where is Sandra? "
"bedroom","Answer: In the bedroom. Question: Where is Mary? Answer: In the bedroom. Question","Where is Mary? "
"office","Answer: She is in the kitchen. Question: Where is the kitchen? Answer: It","Where is Sandra? "
"office","Answer: Mary is a girl's name. Mary is a girl's name. Mary is a girl","Where is Mary? "
"kitchen","Answer: In the kitchen. Question: Where is Marguerite? Answer: In the studio","Where is Sandra? "
"bedroom","- 1 answer  Question: Where is Mary? - 1 answer  Question: Where is","Where is Mary? "
"office","Answer: In the garden. Question: What is Mary doing? Answer: She is walking down the","Where is Daniel? "
"office","Answer: Daniel is not in the text of this page, the Web page or file.  Question","Where is Daniel? "
"office","Answer: In the cage with the lions.","Where is John? "
"hallway","(from ""The Conduct of the Executive in the Foreign Affairs"" by the author)       * ""","Where is Sandra? "
"bedroom","Answer: Daniel is a very good question. It is a very good question. It is a very","Where is Daniel? "
"bathroom","Answer: In the net. Question: What is the net? Answer: The net is the net","Where is Sandra? "
"garden","(see all answers)  Answer: 1. The answer to your question is found in the following","Where is Sandra? "
"bedroom","(from the article, The New York Times, 9 December 2000)  Question: Where","Where is John? "
"hallway","Answer: Mary is in the kitchen. Question: Where is Mary? Answer: Mary is in the","Where is Mary? "
"hallway","Answer: John is in the hallway. Question: Where is John? Answer: John is in the","Where is John? "
"bathroom","Answer: He is in the kitchen. Question: Where is the kitchen? Answer: It is in","Where is John? "
"office","I was a little surprised to see the word ""fairy"" in the title of the book,","Where is Mary? "
"hallway","Answer: In the clouds. Question: Where is John? Answer: In the clouds. Question:","Where is John? "
"garden","Answer: She is in the bank. Question: Where is Sandra? Answer: She is in the","Where is Sandra? "
