"target","output","question"
"bathroom","000 The","Where is Mary? "
"kitchen","aaaaaaaa","Where is Sandra? "
"kitchen","the.. the. the. the............","Where is Mary? "
"kitchen",".000 the.000 the... the. the.. the the....","Where is John? "
"bedroom","the   who  who  who the  who are","Where is Sandra? "
"office","aaaaaaaa theaaaaaaaa theaaaaaaaa theaaaaaaaa the000","Where is John? "
"garden","the the the the  the the  the the  the the the  the the  the the","Where is Mary? "
"bathroom","aaaaaaaa (aaaaaaaa (aaaaaaaa theaaaaaaaa (aaaaaaaa.aaaaaaaa (aaaaaaaa theaaaaaaaa. (aaaaaaaa theaaaaaaaa","Where is Sandra? "
"kitchen","the.. .. .. the. the. the. the.. .","Where is Mary? "
"bedroom","the the the the the the the the the the the the the the the the the the the the","Where is John? "
"office","aaaaaaaa (aaaaaaaa (aaaaaaaa theaaaaaaaa (aaaaaaaa theaaaaaaaa (aaaaaaaa the","Where is Daniel? "
"office","aaaaaaaa (aaaaaaaa (aaaaaaaa (aaaaaaaa (aaaaaaaa (aaaaaaaa (aaaaaaaa (aaaaaaaa (aaaaaaaa (aaaaaaaa (","Where is Daniel? "
"bathroom","..,000.,aaaaaaaa. 000....... 000.","Where is Mary? "
"bathroom","aaaaaaaa aaaaaaaa aaaaaaaa aaaaaaaa aaaaaaaa aaaaaaaa aaaaaaaa aaaaaaaa aaaaaaaa aaaaaaaa","Where is Sandra? "
"bathroom","000 (aaaaaaaa,aaaaaaaa the000 (aaaaaaaa,000 (aaaaaaaa,","Where is Sandra? "
"hallway","the the the the the the the the the the the the the the the the the the the the","Where is Mary? "
"kitchen","000 the.aa theaa theaa the.","Where is Sandra? "
"office","pierce the  the the the the roof over the roof over the roof over the roof over the","Where is Daniel? "
"kitchen","aaaaaaaa","Where is Sandra? "
"bedroom","(aaaaaaaa. (aaaaaaaa. (aaaaaaaa. (000 (000 (","Where is John? "
"hallway","the the the the the  the the  the the the  the the the  the the the","Where is Sandra? "
"bedroom","","Where is Mary? "
"bedroom","the000..... the000. theaaaaaaaa the000. theaaaaaaaa . the","Where is John? "
"bedroom","</context>  </context>   </context>  </context","Where is Mary? "
"bedroom",".... the... the. the.,. . theaa..","Where is Mary? "
"garden","the the the the the the the  the the the the  the the the the the  the","Where is Mary? "
"bedroom","the the the the the the the the the the the the the the the the the the the the","Where is Daniel? "
"office","the the the the the the the the the the the the the the the the the the the the","Where is Sandra? "
"office","aaaaaaaa the000 (aaaaaaaa and000. (aaaaaaaa and","Where is Sandra? "
"garden",".","Where is Sandra? "
"garden",".aa the... the the.... the the.... the the","Where is Daniel? "
"bathroom","aaaaaaaa aaaaaaaa aaaaaaaa aaaaaaaa aaaaaaaa aaaaaaaa aaaaaaaa aaaaaaaa aaaaaaaa aaaaaaaa","Where is Mary? "
"office","aaaaaaaa (aaaaaaaa (aaaaaaaa theaaaaaaaa (aaaaaaaa theaaaaaaaa theaaaaaaaa (aaaaaaaa. (aaaaaaaa. (","Where is Mary? "
"kitchen","000 (000 (000","Where is Sandra? "
"garden","Where is the  the  the  the . The  the . The","Where is Sandra? "
"kitchen","F The The.S The.S The.,,. The.aaaaaaaa The .  .","Where is Sandra? "
"kitchen","000 (aaaaaaaa,000 (000 (000 the000 the000 the000 (000 (000 the","Where is Sandra? "
"garden","aaaaaaaa.aaaaaaaa.aaaaaaaa.aaaaaaaa.aaaaaaaa.aaaaaaaa.aaaaaaaa. (aaaaaaaa the (aaaaaaaa the","Where is John? "
"garden",". the the the the the the the the the the, the the the the the the the the","Where is Sandra? "
"bathroom","the the the the the the the the the the the the the the the the the the the the","Where is Sandra? "
