"target","output","question"
"Bill","Answer: Donovan. Question: Who did Mary give the milk to? Answer: Donovan. Question:","Who did Mary give the milk to? "
"milk","Answer: Nothing. Question: What did Fred give to Mary? Answer: Nothing. Question: What","What did Mary give to Fred? "
"apple","Answer: A pair of stockings. Question: What did Jeff give to Mary? Answer: A pair","What did Mary give to Jeff? "
"apple","Answer: A pair of shoes. Question: What did Bill give to Fred? Answer: A pair","What did Fred give to Bill? "
"Fred","Answer: The apple was given to Mary by the Lord Chancellor. Question: Who gave the apple","Who gave the apple to Mary? "
"Jeff","Answer: Mary gave the football to the football. Question: Who did Mary give the football to?","Who did Mary give the football to? "
"Bill","Answer: Mary gave the milk to the cows. Question: Who did Mary give the milk to","Who did Mary give the milk to? "
"apple","Answer: Nothing. Question: What did Fred give to Mary? Answer: Nothing. Question: What","What did Fred give to Mary? "
"apple","Answer: Nothing. Question: What did Bill give to Fred? Answer: Nothing. Question:","What did Fred give to Bill? "
"Bill","Answer: Mary gave the football to the football.  Question: Who did Mary give the football to?","Who did Mary give the football to? "
"Mary","Answer: The cow. Question: Who received the cream? Answer: The cat. Question: Who","Who received the milk? "
"milk","Answer: A wig. Question: What did Mary give to Bill? Answer: A wig. Question","What did Bill give to Mary? "
"football","Answer: Nothing. Question: What did Fred give to Jeff? Answer: Nothing. Question:","What did Jeff give to Fred? "
"Mary","Answer: Bill gave the apple to Bill.  Question: Who gave the apple to Bill? Answer:","Who gave the apple to Bill? "
"Mary","Answer: Bill gave the milk to Bill. Question: Who gave the milk to Bill? Answer:","Who gave the milk to Bill? "
"Mary","Answer: Jeff took the milk there. 12mo, cloth, price $1.00.","Who gave the milk? "
"football","Answer: A ring. Question: What did Mary give to Bill? Answer: A ring. Question","What did Bill give to Mary? "
"apple","Answer: $1,000. Question: What did Bill give to Fred? Answer: $","What did Fred give to Bill? "
"Bill","Answer: Mary gave the apple to the cat. Question: Who did Mary give the apple to","Who did Mary give the apple to? "
"milk","Answer: Milk. Question: What did Fred give to Mary? Answer: Milk. Question: What","What did Mary give to Fred? "
"Mary","Answer: The football gave the football.  Question: Who gave the football? Answer: The football gave","Who gave the football? "
"Mary","Answer: The apple was given by the apple. Question: Who gave the apple? Answer:","Who gave the apple? "
"apple","Answer: A pair of boots. Question: What did Bill give to Fred? Answer: A pair","What did Fred give to Bill? "
"Fred","Answer: The cow. Question: Who received the milk? Answer: The cow. Question: Who","Who received the milk? "
"apple","Answer: A kiss.","What did Bill give to Mary? "
