"target","output","question"
"Jeff","Answer: Jeff. Question: Who did Jeff give the milk to? Answer: Fred. Question:","Who did Fred give the milk to? "
"apple","Answer: A wreath of corn-flowers blue. Question: What did Jeff give to Mary?","What did Mary give to Jeff? "
"Jeff","Answer: The Provost. Question: Who received the football? Answer: The Provost.","Who received the football? "
"milk","Answer: Milk. JOHN EVELYN, son of the author of _Sylva_. His","What did Mary give to Bill? "
"Jeff","Answer: The owl. Question: Who received the apple? Answer: The owl. Question: Who","Who received the apple? "
"Mary","Answer: The Cow. Question: Who gave the eggs? Answer: The Bee. Question: Who","Who gave the milk? "
"Mary","Answer: Ruby red.  Question: Who won the football? Answer: Ruby red.  Question: Who","Who gave the football? "
"milk","Answer: A pair o' boots. Question: What did Jeff give to Mary? Answer: A","What did Mary give to Jeff? "
"apple","Answer: Nothing. Question: What did Mary give to Fred? Answer: Nothing. Question: What","What did Fred give to Mary? "
"Fred","Answer: Fred. Question: Who gave the football to Mary? Answer: Fred. Question","Who gave the football to Mary? "
"Fred","Answer: The boy. Question: Who received the apple? Answer: The boy. Question: Who","Who received the apple? "
"Fred","Answer: The Sun God. Question: Who gave the apple? Answer: The Sun God","Who received the apple? "
