"target","output","question"
"Jeff","Answer: Fred Okay, let's see. I need to figure out who Fred gave the","Who did Fred give the football to? "
"Bill","(Answer with the name of the person, not the animal.)  Okay, let's see.","Who did Mary give the milk to? "
"Jeff","Answer: Answer: Fred gave the milk to Jeff.   Answer: Jeff Answer: Jeff","Who did Fred give the milk to? "
"milk","What did Fred do with it?  Okay, let's try to figure out what Mary gave to Fred","What did Mary give to Fred? "
"Fred","Answer: Fred Okay, let's try to figure out who received the milk based on the","Who received the milk? "
"apple","Answer: The apple.  The apple was the object that was given to Jeff by Mary.","What did Mary give to Jeff? "
"apple","Options: A) A book B) A letter C) A gift D) A note  Answer","What did Mary give to Jeff? "
"apple","Choices: A) An apple B) A gun C) A pipe D)","What did Fred give to Bill? "
"Jeff","Answer: Fred Okay, let's try to figure out who gave the milk to Fred based","Who gave the milk to Fred? "
"Fred","The answer is Mary. <context> Mary handed the apple to Fred. Fred gave the apple to Mary","Who gave the apple to Mary? "
"Jeff","Answer: Jeff Okay, let's see. I need to figure out who received the football","Who received the football? "
"Jeff","Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer","Who did Mary give the football to? "
"milk","What is the significance of this?  Okay, let's see. The user is asking about the","What did Mary give to Bill? "
"Bill","(Answer with the name of the person, not the animal.)  Okay, let's try to","Who did Mary give the milk to? "
"milk","What was the significance of this action? Answer: Mary gave the milk to Bill.  This","What did Mary give to Bill? "
"apple","Answer: The apple.  Okay, let's see. The user provided a long text that seems","What did Fred give to Mary? "
"Mary","Mary <context> Close by this, at Naksh-e-Rustam, there are four","Who received the football? "
"apple","Choices: A. An apple B. A banana C. A pear D.","What did Fred give to Bill? "
"Jeff","The answer is Jeff. Answer: Jeff Okay, let's see. I need to figure out","Who received the apple? "
"Bill","(Answer with the name of the person, not the title.)  Okay, let's try to","Who did Mary give the football to? "
"Fred","Answer: Fred Okay, let's try to figure out who gave the milk to Jeff based","Who gave the milk to Jeff? "
"Mary","Answer: Mary Okay, let's try to figure out who received the milk based on the","Who received the milk? "
"Mary","Answer: Mary Okay, let's try to figure out who gave the milk based on the","Who gave the milk? "
"milk","Choices: A. A book B. A ring C. A dress D.","What did Bill give to Mary? "
"milk","Choices: A. A letter B. A milk C. A book D.","What did Jeff give to Bill? "
"football","Answer: A football.  Okay, let's see. The user is asking what Jeff gave to","What did Jeff give to Fred? "
"Mary","Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer","Who gave the football? "
"Mary","Answer: Mary Okay, let's try to figure out who gave the apple to Bill based","Who gave the apple to Bill? "
"Fred","Answer: Answer: Fred Okay, let's try to figure out who received the apple based","Who received the apple? "
"Mary","(Answer with the name of the person, not the animal.)  Okay, let's see.","Who gave the milk to Bill? "
"milk","Answer: Mary passed the milk to Jeff. Okay, let's see. The user is asking","What did Mary give to Jeff? "
"Mary","Answer: Answer: Mary Okay, let's try to figure out who gave the milk based","Who gave the milk? "
"Fred","Answer: Mary Okay, let's try to figure out who gave the apple to Mary.","Who gave the apple to Mary? "
"football","What did Mary give to Bill?  Okay, let's see. The user provided a text and wants","What did Bill give to Mary? "
"apple","Choices: A. An apple B. A book C. A gun D.","What did Fred give to Mary? "
"apple","Choices: A. An apple B. A book C. A hat D.","What did Fred give to Bill? "
"Jeff","The answer is Jeff Okay, let's see. I need to figure out who gave the","Who gave the milk? "
"Bill","What was the name of the person who gave the apple to Mary?  What was the name","Who did Mary give the apple to? "
"Fred","The answer is: The answer is: Fred The answer is: Fred The answer is:","Who gave the football to Mary? "
"milk","A. A baby  B. A baby  C. A baby  D. A baby","What did Mary give to Fred? "
"milk","(Answer with the exact name from the text.)  Okay, let's see. The user is","What did Fred give to Mary? "
"Mary","To answer this question, you must first find the relevant information in the context. The context is a","Who gave the football? "
"Fred","Answer: Fred  Okay, let's tackle this question. The user provided a context and a","Who received the apple? "
"Mary","Answer: Mary Okay, let's try to figure out who gave the apple based on the","Who gave the apple? "
"Fred","The answer should be in the format of a single word. <context> There, at the end,","Who gave the apple to Bill? "
"apple","Choices: A. An apple B. A pear C. A banana D.","What did Fred give to Bill? "
"Fred","Answer: Answer: Fred Okay, let's try to figure out who received the apple based","Who received the apple? "
"Fred","Answer: Answer: Fred Okay, let's try to figure out who received the milk based","Who received the milk? "
"Mary","Answer: Mary Okay, let's try to figure out who received the football based on the","Who received the football? "
"apple","Choices: A. A letter B. An apple C. A dress D.","What did Bill give to Mary? "
"apple","Choices: A. A book B. An apple C. A letter D.","What did Mary give to Fred? "
"apple","Choices: A) An apple B) A book C) A letter D)","What did Fred give to Bill? "
"apple","Answer: Fred gave the apple to Bill. Okay, let's see. The user is asking","What did Fred give to Bill? "
"milk","The answer should be within the text. Answer: The apple  Okay, let's see. I","What did Jeff give to Fred? "
"Mary","The answer is Mary. Answer: Mary <context> Desargues, and myself, against some","Who received the milk? "
"Jeff","Answer: Answer: Jeff Okay, let's try to figure out who gave the football based","Who gave the football? "
"Bill","Answer: Bill handed the football to Fred. Okay, let's see. The user is asking","Who gave the football to Fred? "
"Mary","Answer: Answer: Fred Okay, let's try to figure out who received the football based","Who received the football? "
"Mary","Mary Okay, let's see. The user provided a context and a question. The context is","Who gave the football to Fred? "
"Jeff","Answer: Jeff  Okay, let's tackle this question. The user wants to know who Bill gave","Who did Bill give the milk to? "
"Fred","Answer: Answer: The provided context does not mention anyone giving a football to Jeff. The text","Who gave the football to Jeff? "
"Jeff","Answer: Jeff Okay, let's try to figure out who gave the apple to Fred based","Who gave the apple to Fred? "
"Bill","Answer: The person who received the milk is the one who is being addressed by the Supervisor,","Who received the milk? "
"Jeff","Answer: Answer: Jeff Okay, let's try to figure out who Bill gave the apple","Who did Bill give the apple to? "
"milk","Answer: A book  Question: What is the main subject of the text? Answer: The text","What did Mary give to Fred? "
"Jeff","Answer: Jeff Okay, let's try to figure out who received the apple based on the","Who received the apple? "
"Jeff","The answer is The answer is Jeff. Okay, let's try to figure out who gave the","Who gave the apple to Bill? "
"apple","What did she give it to him for?  Okay, let's try to figure out what Mary gave","What did Mary give to Fred? "
"Bill","Choices: A) Bill B) The Abbess C) The Priest D)","Who did Fred give the apple to? "
"Jeff","Answer: Answer: Jeff Okay, let's see. I need to figure out who gave","Who gave the apple? "
"Bill","(Answer with the name of the person, not the animal.)  Okay, let's try to","Who gave the milk to Fred? "
"Bill","Answer: The answer is not directly stated in the text. The text mentions that Jeff was in","Who did Jeff give the football to? "
"Fred","Answer: Answer: Fred Okay, let's try to figure out who gave the milk based","Who gave the milk? "
"apple","Choices: A. An apple B. A cigarette C. A cup of tea","What did Mary give to Bill? "
"Jeff","Answer: Answer: Jeff Okay, let's tackle this question. The user provided a context","Who received the milk? "
"Bill","Choices: A. Bill B. The narrator C. The woman D. The","Who did Fred give the milk to? "
"Bill","Who received the apple?  Okay, let's try to figure out who gave the apple and who received","Who gave the apple? "
"Jeff","To whom did the apple go? Answer: Bill Answer: Bill Answer: Bill Answer","Who gave the apple? "
"Fred","The answer is The answer is Okay, let's try to figure out who received the football","Who received the football? "
"football","Answer: Mary gave Fred a letter.  Question: What is the name of the person who is the","What did Mary give to Fred? "
"Mary","Answer: Jeff Okay, let's see. I need to figure out who Jeff gave the","Who did Jeff give the apple to? "
"football","Choices: A. A football B. A book C. A letter D.","What did Jeff give to Mary? "
"Mary","Answer: Mary Okay, let's try to figure out who received the milk based on the","Who received the milk? "
"milk","Options: A) A letter B) A book C) A glass of milk D) A flower","What did Mary give to Fred? "
"Mary","The answer is Mary. Answer: Mary Okay, let's see. I need to figure out","Who gave the milk? "
"Bill","(Answer with the name of the person, not the pronoun.)  Okay, let's see","Who gave the milk to Mary? "
"Mary","Answer: Answer:  Mary Okay, let's see. I need to figure out who received","Who received the football? "
"Fred","The answer is Mary. <context> Mary handed the apple to Fred. </context> Answer: Mary","Who gave the apple? "
"milk","Choices: A. A letter B. A piece of paper C. A glass of","What did Fred give to Bill? "
"Fred","Answer: Fred  The answer is derived from the sentence ""Bill gave the milk to Fred."" The","Who did Bill give the milk to? "
"Jeff","Answer: Jeff Okay, let's see. I need to figure out who gave the apple","Who gave the apple? "
"Fred","Answer: Fred Okay, let's try to figure out who Bill gave the apple to. So","Who did Bill give the apple to? "
"Bill","Answer: Bill gave the football to Jeff.  Okay, let's try to figure out who gave","Who gave the football to Jeff? "
"Bill","Answer: Bill  Okay, let me try to figure out who Jeff gave the apple to.","Who did Jeff give the apple to? "
"milk","(The answer should be the exact name of the person, not the character's name.)  Choices","What did Mary give to Bill? "
"Mary","Answer: Answer:  The question ""Who did Bill give the milk to?"" is not addressed in","Who did Bill give the milk to? "
"Mary","Answer: Mary <context> Bill went to the kitchen. Bill took the milk there. Bill","Who gave the milk to Jeff? "
"Fred","Answer: Fred Okay, let's try to figure out who gave the milk based on the","Who gave the milk? "
"Bill","(Answer with the name of the person, not the animal.)  Okay, let's try to","Who received the milk? "
"Fred","Answer: Answer: The question is asking ""Who gave the football?"" based on the provided context","Who gave the football? "
