"target","output","question"
"kitchen","Answer: In the house. Question: Where is the house? Answer: In the garden.","Where is John? "
"bathroom","Answer: In the car. Question: Where is Cyril? Answer: In the car","Where is Sandra? "
"office","Answer: In the cell. Question: Who is in the cell? Answer: Gus. Question","Where is Daniel? "
"hallway","Answer: In the box. Question: Where is the box? Answer: In the church. Question","Where is Mary? "
"bedroom","Answer: He is in the </context>  Question: Where is John? Answer: He is","Where is John? "
"bedroom","Answer: She is in the room. Question: Where is the room? Answer: It is","Where is Mary? "
"office","What is the significance of the blood on the letter? What is the significance of the key? What","Where is Sandra? "
"bathroom","What is she doing?  Answer: She is in the kitchen, preparing the tea.  Question: What","Where is Mary? "
"kitchen","Answer: In the ""Over-Alls Club.""  Question: Where is the ""Over-All","Where is Sandra? "
"bathroom","What is she doing? What is she thinking?  Answer: Sandra is in the library. She is","Where is Sandra? "
"bedroom","Answer: In the kitchen.  Question: Where is the kitchen? Answer: In the house.  Question","Where is Mary? "
"bedroom","What is the population of the country?  Answer: Sandra is a small town in the Transvaal","Where is Sandra? "
"bedroom","What is she doing?  Answer: Sandra is in the kitchen, preparing a meal for the family.","Where is Sandra? "
"hallway","She is in the hallway. The hallway is a passage between the living room and the dining","Where is Mary? "
"bedroom","Answer: In the same place as the </context>  Question: Where is Sandra? Answer:","Where is Sandra? "
"garden","Answer: In the country. Question: What is he doing? Answer: He is reading.","Where is John? "
"bedroom","Answer: She is in the garden. Question: Where is the garden? Answer: It is","Where is Mary? "
"kitchen","Answer: In the lion's den. Question: Where is the lion? Answer: In the","Where is Daniel? "
"office","Answer: He is in the kitchen. Question: Where is the kitchen? Answer: It is in","Where is John? "
"bathroom","What is he doing?  Answer: He is in the mountains, and he is looking for gold.","Where is John? "
"bathroom","What is he doing? What is he thinking about?  Answer: Daniel is in the kitchen of his","Where is Daniel? "
"bedroom","Answer: He is in the house of the Lord. Question: What is the house of the Lord","Where is John? "
"bedroom","Answer: He is in the woods, hunting. Question: Where is the woodchuck? Answer","Where is Daniel? "
"hallway","Answer: In the kitchen, making a cake. Question: What is she making a cake for?","Where is Sandra? "
"garden","Answer: She is in the kitchen, making </context>  Question: Where is Sandra? Answer","Where is Sandra? "
