"target","output","question"
"Jeff","Mary","Who did Fred give the football to? "
"Bill","The cow  Question: What did Mary do? She milked the cow  Question: What did","Who did Mary give the milk to? "
"Jeff","The cow.  Question: What did Fred do? He went back to the garden.  Question: What","Who did Fred give the milk to? "
"milk","milk  Answer: milk","What did Mary give to Fred? "
"Fred","Mary","Who received the milk? "
"apple","apple  Answer: apple","What did Mary give to Jeff? "
"apple","apple","What did Mary give to Jeff? "
"apple","garden","What did Fred give to Bill? "
"Jeff","milkman  Answer: milkman","Who gave the milk to Fred? "
"Fred","nurse","Who gave the apple to Mary? "
"Jeff","Fred","Who received the football? "
"Jeff","Fred","Who did Mary give the football to? "
"milk","ham  Bill: Mary gave Bill ham","What did Mary give to Bill? "
"Bill","Jelle  Answer: milk","Who did Mary give the milk to? "
"milk","milk  Answer: milk","What did Mary give to Bill? "
"apple","apple","What did Fred give to Mary? "
"Mary","Mary","Who received the football? "
"apple","apple","What did Fred give to Bill? "
"Jeff","Frank","Who received the apple? "
"Bill","Bill  Question: Who did Mary give the football to? Bill","Who did Mary give the football to? "
"Fred","Bixby  Question: Who was the owner of the flying machine? Bixby  Question","Who gave the milk to Jeff? "
"Mary","Ben  Question: Who sent the milk? Mellen  Question: Who is the milk for?","Who received the milk? "
"Mary","Mary","Who gave the milk? "
"milk","milk","What did Bill give to Mary? "
"milk","apple","What did Jeff give to Bill? "
"football","milk","What did Jeff give to Fred? "
"Mary","Mary  Answer: apple","Who gave the football? "
"Mary","Mary","Who gave the apple to Bill? "
"Fred","Mary","Who received the apple? "
"Mary","Mary","Who gave the milk to Bill? "
"milk","milk","What did Mary give to Jeff? "
"Mary","Mary  Answer: Mary","Who gave the milk? "
"Fred","Bill","Who gave the apple to Mary? "
"football","apple","What did Bill give to Mary? "
"apple","apple","What did Fred give to Mary? "
"apple","milk","What did Fred give to Bill? "
"Jeff","Jeff","Who gave the milk? "
"Bill","Mary.","Who did Mary give the apple to? "
"Fred","Fred","Who gave the football to Mary? "
"milk",". 1. 1. 1. 1. 1. 1.","What did Mary give to Fred? "
"milk","apple","What did Fred give to Mary? "
"Mary","The fisherwoman  Answer: The fisherwoman gave the football  Question: Who gave the","Who gave the football? "
"Fred","Fred","Who received the apple? "
"Mary","Bill","Who gave the apple? "
"Fred","Fred  Question: What is the color of the old man’s handkerchief? Red  Question","Who gave the apple to Bill? "
"apple","apple  Answer: apple","What did Fred give to Bill? "
"Fred","Bill","Who received the apple? "
"Fred","Jeff","Who received the milk? "
"Mary","Mary","Who received the football? "
"apple","apple  Bill gave Mary apple. Bill picked up the apple there. He found the family in much","What did Bill give to Mary? "
"apple","milk","What did Mary give to Fred? "
"apple","milk  Answer: milk  Question: What did Fred give to Bill? milk  Answer: milk","What did Fred give to Bill? "
"apple","apple","What did Fred give to Bill? "
"milk","milk","What did Jeff give to Fred? "
"Mary","Mary  Question: What did Mary do? milked  Question: What did Mary do? milk","Who received the milk? "
"Jeff","Bill","Who gave the football? "
"Bill","Bill  Answer: Bill","Who gave the football to Fred? "
"Mary","Jeff","Who received the football? "
"Mary","Mary","Who gave the football to Fred? "
"Jeff","Jeff","Who did Bill give the milk to? "
"Fred","Jeff  Answer: Jeff","Who gave the football to Jeff? "
"Jeff","Bill  Question: What is the color of the apple? Red  Question: What is the color","Who gave the apple to Fred? "
"Bill","Bill  Question: What did Jeff pass? milk  Question: What did Jeff do? passed","Who received the milk? "
"Jeff","Jeff","Who did Bill give the apple to? "
"milk","milk","What did Mary give to Fred? "
"Jeff","Jeff  Answer: Jeff received the apple.  Question: What is the type of convulsion? Tet","Who received the apple? "
"Jeff","Jeff","Who gave the apple to Bill? "
"apple","apple","What did Mary give to Fred? "
"Bill","Mary","Who did Fred give the apple to? "
"Jeff","Bill","Who gave the apple? "
"Bill","Bill  Bill passed the milk to Fred. Hawkins' hat and a ball had struck the metal of","Who gave the milk to Fred? "
"Bill","Bill  Bill gave the football to Jeff. ""It is only for a short while,"" he explained","Who did Jeff give the football to? "
"Fred","Bill  Bill gave the milk. milk  Bill gave the milk. milk  Bill gave the milk","Who gave the milk? "
"apple","apple","What did Mary give to Bill? "
"Jeff","Ruby  Question: What did Ruby see? Her father  Question: What did Ruby do? She","Who received the milk? "
"Bill","Bill","Who did Fred give the milk to? "
"Bill","Bill","Who gave the apple? "
"Jeff","Bill","Who gave the apple? "
"Fred","Mary","Who received the football? "
"football","football  Answer: Mary gave Fred a football","What did Mary give to Fred? "
"Mary","Harry","Who did Jeff give the apple to? "
"football","apple","What did Jeff give to Mary? "
"Mary","The foal  Answer: The foal","Who received the milk? "
"milk","milk  Answer: milk","What did Mary give to Fred? "
"Mary","Mary  Question: Who dropped the milk? Fred","Who gave the milk? "
"Bill","Mary's mother.  Question: Who gave the milk to Mary? Mary's mother.  Question: Who","Who gave the milk to Mary? "
"Mary","_s._  _d._                     {Case and stick  0   4","Who received the football? "
