"target","output","question"
"kitchen","Answer: She is in the pocket. Question: What is in the pocket? Answer: Sandra","Where is Sandra? "
"office","Answer: In the garden. Question: Where is John? Answer: In the garden. Question:","Where is John? "
"bedroom","Answer: He is in the kitchen. Question: What is he doing? Answer: He is","Where is John? "
"bathroom","Answer: She is in the kitchen. Question: What is she doing? Answer: She is making","Where is Sandra? "
"office","Answer: He is in the kitchen, washing dishes. Question: What is the matter with him?","Where is Daniel? "
"bedroom","Answer: In the desert. Question: What is the population of the oasis? Answer: About","Where is Mary? "
"garden","Answer: She's gone. Question: Where is Mary? Answer: She's gone. Question:","Where is Mary? "
"garden","Answer: She is in the shop. Question: What is the price of the Daily Mail? Answer","Where is Sandra? "
"kitchen","Answer: She is in the kitchen, baking bread. Question: What is she baking? Answer:","Where is Sandra? "
"garden","Answer: He is in the kitchen, washing dishes. Question: What is the matter with him?","Where is John? "
"kitchen","Answer: She is in the kitchen, baking. Question: What is she baking? Answer: A","Where is Sandra? "
"office","Answer: She is in the kitchen. Question: Where is the kitchen? Answer: It is in","Where is Sandra? "
"bedroom","Answer: She is in the garden, reading. Question: What is she reading? Answer: The","Where is Sandra? "
"garden","Answer: In the shade. Question: Where is John? Answer: In the shade. Question:","Where is John? "
"hallway","Answer: In the engine-room. Question: Why is John in the engine-room? Answer:","Where is John? "
"kitchen","Answer: She is still in bed. Question: How long will she stay there? Answer: Until","Where is Sandra? "
"garden","Answer: She is in the kitchen. Question: What is she doing? Answer: She is making","Where is Sandra? "
"bathroom","Answer: She is in the cellar, and the cellar is under the cheese room. Question:","Where is Sandra? "
"office","Answer: He is still missing. Question: How long has he been missing? Answer: About three","Where is Daniel? "
"office","Answer: In the organ gallery. Question: What is the name of the organ? Answer:","Where is John? "
"hallway","Answer: In the kitchen, eating. Question: Where is Daniel? Answer: In the kitchen,","Where is Daniel? "
"bathroom","Answer: He is in the garden, digging potatoes. Question: How many potatoes did he dig?","Where is Daniel? "
"garden","Answer: She is in the kitchen, baking bread. Question: What is the bread? Answer:","Where is Sandra? "
"kitchen","Answer: In the kitchen. Question: Where is the kitchen? Answer: In the cellar.","Where is Daniel? "
"bedroom","Answer: He is in the library, reading. Question: What is he reading? Answer: The","Where is John? "
