"target","output","question"
"Jeff","A. Fred went to the garden. B. Fred went to the kitchen. C. Fred went","Who did Fred give the milk to? "
"Jeff","A. the ball B. the ball C. the ball D. the ball Answer: A","Who received the football? "
"Jeff","A. The apple was given to the Egyptian Government. B. The apple was given to","Who received the apple? "
"Mary","""The Osteopath can do this by the ""Osteopaths are not the only","Who gave the football? "
"apple","Mary took the apple and bit into it. The apple was delicious. She was so hungry that","What did Fred give to Mary? "
"Fred","""I was not to be a witness against myself, and I was not. I was not to","Who received the apple? "
"apple","A. a new gown B. a new coat C. a new hat D. a new pair","What did Mary give to Fred? "
"Mary","A. Mary B. Bill C. Jeff D. Bill and Mary A. Mary B","Who gave the football to Fred? "
"Jeff","2. The answer is: Jeff. 3. The answer is: Jeff.","Who gave the apple to Bill? "
"Jeff","A. The child. B. The mother. C. The father. D. The baby.","Who received the milk? "
"Mary","A. The man who had been a B. The man who had been a C.","Who received the milk? "
"Jeff","""I have been so happy, and so happy, and so happy!"" ""I have been so","Who gave the apple? "
"Bill","A. The milk was given to the children. B. The milk was given to the children.","Who received the milk? "
