"target","output","question","recall"
"5971037",": 5971037. 18:25 And the LORD said, If I find in Sodom fifty righteous within the city, then I will spare all the place for their sakes. 18","What is the special magic number for atuu-iszf mentioned in the provided text? The special magic number for atuu-iszf mentioned in the provided text is","1.0"
"5498628","5498628. 3:19 And the priest shall take the bread of the firstfruits, and the wine of the firstfruits, and offer them unto the LORD, and the priest shall offer","What is the special magic number for conqtfp-rcbhkryz mentioned in the provided text? The special magic number for conqtfp-rcbhkryz mentioned in the provided text is","1.0"
"8239970",": 8239970. 8239970 is the number of the day on which the first of the seven days of the week was created. 8239970 is the","What is the special magic number for wnaxxryu-bxlcwn mentioned in the provided text? The special magic number for wnaxxryu-bxlcwn mentioned in the provided text is","1.0"
"7876358",": 7876358. 22:19 And the children of Israel shall offer the first of their dough, and the first of their bread, and the first of their wine, and the first of their","What is the special magic number for fmkohxl-gknwdqb mentioned in the provided text? The special magic number for fmkohxl-gknwdqb mentioned in the provided text is","1.0"
"1594413","1594413. 1594413 is the number of the first day of the first month of the first year of the first cycle of the first cycle of the first cycle of the first cycle","What is the special magic number for akbpbn-cuek mentioned in the provided text? The special magic number for akbpbn-cuek mentioned in the provided text is","1.0"
"9767034","8074264. 22:19 And the priest shall take the bread of the firstfruits, and the wine of the firstfruits, and offer them unto the LORD. 22:","What is the special magic number for ahvxdeo-hpfr mentioned in the provided text? The special magic number for ahvxdeo-hpfr mentioned in the provided text is","0.0"
"5230953",": 9435480. 12:19 And the LORD spake unto Moses, saying, 12:20 And the children of Israel shall not eat of the meat of the Levites,","What is the special magic number for rvzfsiu-zxrum mentioned in the provided text? The special magic number for rvzfsiu-zxrum mentioned in the provided text is","0.0"
"6017634","8843873. 8843873 is the number that is mentioned in the text. 8843873 is the number that is mentioned in the text. 88","What is the special magic number for uwlpz-ydlqyegr mentioned in the provided text? The special magic number for uwlpz-ydlqyegr mentioned in the provided text is","0.0"
"4604659","4356639. 34:19 And the sons of Jacob came upon the slain, and spoiled the city, because they had defiled their sister. 34:20 And they took their","What is the special magic number for fizdg-aldcnry mentioned in the provided text? The special magic number for fizdg-aldcnry mentioned in the provided text is","0.0"
"4933741",": 4933741. 19:19 And the LORD said unto Moses, Go and gather the children of Israel, and say unto them, Ye shall keep the sabbath day. 19","What is the special magic number for mozcghtc-vsasjpa mentioned in the provided text? The special magic number for mozcghtc-vsasjpa mentioned in the provided text is","1.0"
"8897023",": 8897023. 19:1 And the LORD spake unto Moses, saying, 19:2 Go, and gather the children of Israel, and take them out of the land of Egypt","What is the special magic number for tskqike-yupo mentioned in the provided text? The special magic number for tskqike-yupo mentioned in the provided text is","1.0"
"7149380",": 7149380. 22:19 And the LORD said unto Moses, Take the rod, and gather the children of Israel, and speak unto them, saying, 22:20 If","What is the special magic number for ackfm-pogeacre mentioned in the provided text? The special magic number for ackfm-pogeacre mentioned in the provided text is","1.0"
"9957127","9373534. 9373534 is the special magic number for cbal-qdxggv. 9373534 is the special magic number for cbal-qdx","What is the special magic number for cbal-qdxggv mentioned in the provided text? The special magic number for cbal-qdxggv mentioned in the provided text is","0.0"
"7561566",": 7561566. 22:19 And the priest shall make an atonement for the people, and for his house, and for the children of Israel, and for the stranger that soj","What is the special magic number for ynlq-qcenfbgp mentioned in the provided text? The special magic number for ynlq-qcenfbgp mentioned in the provided text is","1.0"
"3760674","3760674. 3760674 is the number that is mentioned in the text. 3760674 is the number that is mentioned in the text. 37","What is the special magic number for kkwswzr-woym mentioned in the provided text? The special magic number for kkwswzr-woym mentioned in the provided text is","1.0"
"4995568",": 3517258. 19:19 And the children of Israel were brought into the wilderness, and they went about in the wilderness, and they did eat nothing, and they did not drink water,","What is the special magic number for wkciug-ldwv mentioned in the provided text? The special magic number for wkciug-ldwv mentioned in the provided text is","0.0"
"7880035",": 7880035. 30:19 And the children of Israel were numbered, and the LORD spake unto Moses, saying, 30:20 And the LORD said unto Moses, If","What is the special magic number for ckgkon-akkxd mentioned in the provided text? The special magic number for ckgkon-akkxd mentioned in the provided text is","1.0"
"7656949","7656949. 22:19 And the LORD said unto Moses, 22:20 And the children of Israel shall not eat of the bread of the Presence, which is upon the altar","What is the special magic number for gzcjp-evlfbpwm mentioned in the provided text? The special magic number for gzcjp-evlfbpwm mentioned in the provided text is","1.0"
"9861411","9861411. 9861411 is the number that is mentioned in the text as the special magic number for faggwdyv-omgcr. 98614","What is the special magic number for faggwdyv-omgcr mentioned in the provided text? The special magic number for faggwdyv-omgcr mentioned in the provided text is","1.0"
"4610638","4610638. 30:25 And it came to pass, when Rachel had born Joseph, that Jacob said unto Laban, Send me away, that I may go unto mine own place, and","What is the special magic number for muugu-zhaonxi mentioned in the provided text? The special magic number for muugu-zhaonxi mentioned in the provided text is","1.0"
"5974853",": 5974853. 48:12 And the fire upon the altar shall be burning in it; it shall not be put out: and the priest shall burn wood on it every morning, and lay","What is the special magic number for tgjkas-ogvhwh mentioned in the provided text? The special magic number for tgjkas-ogvhwh mentioned in the provided text is","1.0"
"7047086",": 7047086. 22:19 And the priest shall offer the meat offering, and the drink offering, and the oil offering, and the incense, and the bread of the Presence, and","What is the special magic number for vbusm-rxzy mentioned in the provided text? The special magic number for vbusm-rxzy mentioned in the provided text is","1.0"
"9453061",": 3987663. 3987663 is the number of the first day of the first month of the first year of the first cycle of the first cycle of the first cycle of the first","What is the special magic number for mgqerejp-tzazcqdn mentioned in the provided text? The special magic number for mgqerejp-tzazcqdn mentioned in the provided text is","0.0"
"2435867","1052813. 1052813 is the special magic number for fphfrf-khnub. 1052813 is the special magic number for fphfr","What is the special magic number for fphfrf-khnub mentioned in the provided text? The special magic number for fphfrf-khnub mentioned in the provided text is","0.0"
"3557743","3557743. 3557743 is the number of the first time the word ""Ypts"" appears in the text. 3557743 is the number of the","What is the special magic number for ypts-ucdukvqb mentioned in the provided text? The special magic number for ypts-ucdukvqb mentioned in the provided text is","1.0"
"8728452",": 8728452. 12:19 And the children of Israel were called by the name of the children of Israel, and the name of the children of Israel was called by the name of the children","What is the special magic number for jdvjeh-apuvz mentioned in the provided text? The special magic number for jdvjeh-apuvz mentioned in the provided text is","1.0"
"5590171",": 5590171. 22:19 And the LORD said unto Moses, Take the rod, and strike the firstborn of the children of Israel, and the firstborn of the house of Aaron,","What is the special magic number for oxox-sqwebd mentioned in the provided text? The special magic number for oxox-sqwebd mentioned in the provided text is","1.0"
"7497483",": 7497483. 7497483 is the special magic number for ojcgdbku-espjk. 7497483 is the special magic number for o","What is the special magic number for ojcgdbku-espjk mentioned in the provided text? The special magic number for ojcgdbku-espjk mentioned in the provided text is","1.0"
"7394027","7394027. 7394027 is the number that is mentioned in the text. 7394027 is the number that is mentioned in the text. 73","What is the special magic number for damkwrn-dljufl mentioned in the provided text? The special magic number for damkwrn-dljufl mentioned in the provided text is","1.0"
"3711079",": 3711079. 24:22 And the man wondered at her, and held his peace, to wit whether the LORD had made his journey prosperous or not. 24:23 And","What is the special magic number for kxzef-nybwpxbi mentioned in the provided text? The special magic number for kxzef-nybwpxbi mentioned in the provided text is","1.0"
"3508008",": 3508008. 3508008 is the number of the special magic number for rain-hkpwhmbp. 3508008 is the number of the special","What is the special magic number for rain-hkpwhmbp mentioned in the provided text? The special magic number for rain-hkpwhmbp mentioned in the provided text is","1.0"
"2443917",": 1696591. 24:19 And the LORD said unto Moses, Take the rod, and gather the children of Israel, and speak unto them, and say unto them, 24:","What is the special magic number for ggmqh-futwirmf mentioned in the provided text? The special magic number for ggmqh-futwirmf mentioned in the provided text is","0.0"
"1417394","1417394. 1417394 is the special magic number for lcyivixu-ndfikkb. 1417394 is the special magic number for","What is the special magic number for lcyivixu-ndfikkb mentioned in the provided text? The special magic number for lcyivixu-ndfikkb mentioned in the provided text is","1.0"
"7390363",": 7390363. 7390363 is the special magic number for whdf-zggmojyy. 7390363 is the special magic number for whdf","What is the special magic number for whdf-zggmojyy mentioned in the provided text? The special magic number for whdf-zggmojyy mentioned in the provided text is","1.0"
"8818597",": 2713309. 2713309 is the special magic number for gchinx-oyfxiix. 2713309 is the special magic number for g","What is the special magic number for gchinx-oyfxiix mentioned in the provided text? The special magic number for gchinx-oyfxiix mentioned in the provided text is","0.0"
"5519805",": 5519805. 5519805 is the special magic number for vqpn-qnannwr. 5519805 is the special magic number for vq","What is the special magic number for vqpn-qnannwr mentioned in the provided text? The special magic number for vqpn-qnannwr mentioned in the provided text is","1.0"
"7551664","7551664. 7551664 is the special magic number for oklqyyab-igblb. 7551664 is the special magic number for ok","What is the special magic number for oklqyyab-igblb mentioned in the provided text? The special magic number for oklqyyab-igblb mentioned in the provided text is","1.0"
"9016986",": 9016986. 16:19 And the children of Israel heard the voice of the LORD, and the voice of the covenant, and the voice of the covenant of the LORD, and the voice","What is the special magic number for nguiiqc-uwvmbl mentioned in the provided text? The special magic number for nguiiqc-uwvmbl mentioned in the provided text is","1.0"
"1023133","7657043. 7657043 is the number of the first time the word ""the"" appears in the text. 7657043 is the number of the first","What is the special magic number for hpzg-bzzv mentioned in the provided text? The special magic number for hpzg-bzzv mentioned in the provided text is","0.0"
"7006467",": 7006467. 35:20 And the LORD spake unto Moses, saying, 35:21 And the glory of the LORD shall appear unto you, and the tabernacle","What is the special magic number for jfjjtxae-thyd mentioned in the provided text? The special magic number for jfjjtxae-thyd mentioned in the provided text is","1.0"
"3534513",": 1665940. 12:19 And the children of Israel shall not eat the meat of the sacrifices, and the meat of the holy offerings, and the meat of the tithes, and","What is the special magic number for yhdg-mgrrxok mentioned in the provided text? The special magic number for yhdg-mgrrxok mentioned in the provided text is","0.0"
"8458938","8458938. 8458938 is the special magic number for lajiy-atieq. 8458938 is the special magic number for lajiy-","What is the special magic number for lajiy-atieq mentioned in the provided text? The special magic number for lajiy-atieq mentioned in the provided text is","1.0"
"5687961",": 5687961. 22:19 And the LORD said unto Moses, Take the rod, and gather the children of Israel, and speak unto them, and say unto them, 22:","What is the special magic number for tefssl-yxukk mentioned in the provided text? The special magic number for tefssl-yxukk mentioned in the provided text is","1.0"
"5762362",": 3645728. 3645728 is the number of the first time the word ""the"" appears in the text. 3645728 is the number of the","What is the special magic number for acgitvq-lwkrr mentioned in the provided text? The special magic number for acgitvq-lwkrr mentioned in the provided text is","0.0"
"9444815",": 9444815. 14:59 And he shall take to cleanse the house two birds, and cedar wood, and scarlet, and hyssop: 14:60 And he","What is the special magic number for zotss-zblhzsq mentioned in the provided text? The special magic number for zotss-zblhzsq mentioned in the provided text is","1.0"
"5712432","5712432. 34:19 And the first of the firstfruits of thy land thou shalt bring a sweet savour unto the LORD. 34:20 And the first of the","What is the special magic number for pbagqtd-ohpfrd mentioned in the provided text? The special magic number for pbagqtd-ohpfrd mentioned in the provided text is","1.0"
"4748212",": 4748212. 4748212. 4748212. 4748212. 4748212. 4","What is the special magic number for xljmas-rpwdfocb mentioned in the provided text? The special magic number for xljmas-rpwdfocb mentioned in the provided text is","1.0"
"7020261",": 7020261. 28:19 And the Lord said unto Moses, 28:20 And thou shalt make Aaron's garments of fine twined linen, and of blue, and of","What is the special magic number for njxm-umjvwa mentioned in the provided text? The special magic number for njxm-umjvwa mentioned in the provided text is","1.0"
"9794433",": 9794433. 22:19 And the children of Israel he brought up out of the land of Egypt, and they were fruitful, and multiplied, and waxed very mighty. 22","What is the special magic number for cfilg-nkvxsf mentioned in the provided text? The special magic number for cfilg-nkvxsf mentioned in the provided text is","1.0"
"7374266","3452327. 3452327 is the special magic number for padv-cewuklgh. 3452327 is the special magic number for padv-ce","What is the special magic number for padv-cewuklgh mentioned in the provided text? The special magic number for padv-cewuklgh mentioned in the provided text is","0.0"
