"target","output","question"
"Bill","""I have brought her back, mother,"" he said. ""Oh, my dear, dear little","Who did Mary give the milk to? "
"milk","""I'll go and investigate--you keep an eye on the boys."" He flung them some","What did Mary give to Fred? "
"apple","1. a rose 2. a rose and a rose 3. a rose and a","What did Mary give to Jeff? "
"apple","A. a knife B. a gun C. a sword D. a knife and a gun","What did Fred give to Bill? "
"Fred","1. 2. 3. 4. 5. 6. 7","Who gave the apple to Mary? "
"Jeff","Mary gave the football to Charles.  Question: Who did Charles give the football to? Charles gave the","Who did Mary give the football to? "
"Bill","""I will give you the milk, and you will give me the rice."" ""I will give","Who did Mary give the milk to? "
"apple","5 Answer: His coat. 6 Question: What did Fred give to Mary?","What did Fred give to Mary? "
"apple","What did he do with the money?  Question: What did Fred do with the money? What did","What did Fred give to Bill? "
"Bill","Answer: To her brother, Asaph. Question: What did she give her brother? Answer:","Who did Mary give the football to? "
"Mary","Amy, Maggie, or both?  Amy, Maggie, and Burt.  Amy, Maggie, and","Who received the milk? "
"milk","""I have a wig for you, my dear,"" he said, trying to speak lightly. ""","What did Bill give to Mary? "
"football","A. a ball B. a ball and a ball and a ball and a ball and a","What did Jeff give to Fred? "
"Mary","Answer: The little girl.  Question: Who gave the apple to the little girl? Answer: The","Who gave the apple to Bill? "
"Mary","A. The cow. B. The cow's mother. C. The cow's mother's","Who gave the milk to Bill? "
"Mary","Answer: Jeff.  Question: Who was the hero? Answer: The hero displays a fine sense and","Who gave the milk? "
"football","A. A rose B. A flower C. A flower and a rose D. A rose and","What did Bill give to Mary? "
"apple","A. a letter B. a card C. a note D. a letter  Question: What","What did Fred give to Bill? "
"Bill","""I don't know,"" she said, ""I don't know."" ""I don't know","Who did Mary give the apple to? "
"milk","'I'm sure I don't know,' replied the man. 'I'm sure I don","What did Mary give to Fred? "
"Mary","Answer: The football was given by the Thessaly Citizens’ Club. The football was given","Who gave the football? "
"Mary","""I don't know,"" said Sidney. ""I don't know."" ""I don't know","Who gave the apple? "
"apple","Answer: Fred gave Bill a book. Question: What did Fred give to Bill? Answer: Fred","What did Fred give to Bill? "
"Fred","A. The cow. B. The horse. C. The horse and cow. D.","Who received the milk? "
"apple","Answer: an apple. ""Well, unless--I let you take me to Hillerton one of","What did Bill give to Mary? "
"apple","""Well, I don't know; but I can't help thinking he's longing to be","What did Fred give to Bill? "
"milk","""I'll take the axe, and you the pot,"" said Webb, ""and we'll go","What did Jeff give to Fred? "
"Jeff","The ball gave the foot. Why is a man like a ship? Because he is afloat.","Who gave the football? "
"Mary","Answer: The ball was kicked by the football. Question: Who received the football? Answer: The","Who received the football? "
"Jeff","""Jeff."" ""No; such men carry clasp-knives. They are safest, and","Who did Bill give the milk to? "
"Jeff","Fred gave the apple to the King. Fred gave the apple to the King. Fred gave the apple","Who gave the apple to Fred? "
"Jeff","""I have a little apple,"" said Bill. ""Who shall I give it to?"" ""Give","Who did Bill give the apple to? "
"Jeff","Answer: Eve. Question: Who ate it? Answer: Eve. Question: Who gave it to","Who received the apple? "
"apple","Answer: Mary gave the apple to Fred. Mary gave the apple to Fred. Mary gave the apple","What did Mary give to Fred? "
"Jeff","Answer: The devil. Question: Who gave the apple? Answer: The devil. Question: Who","Who gave the apple? "
"Bill","Answer: Jack. Question: Who did Jeff give the football to? Answer: Jack. Question:","Who did Jeff give the football to? "
"apple","A. a book B. a pen C. a pen and a book D. a pen and","What did Mary give to Bill? "
"Bill","Bill Answer: He gave the milk to Bill. He was a </context>  Question:","Who did Fred give the milk to? "
"Jeff","Answer: The mermaid. Question: Who gave the apple? Answer: The mermaid. Question","Who gave the apple? "
"football","Mary gave Fred a pocket-book. Fred was very much obliged to Mary, and g","What did Mary give to Fred? "
"football","A. $5 B. $6 C. $7 D. $8  Answer: B","What did Jeff give to Mary? "
"milk","What did she give to Fred? What did she give to Fred? What did she give to Fred","What did Mary give to Fred? "
"Bill","""I'll tell you what I'll do,"" said the doctor, ""I'll give you the","Who gave the milk to Mary? "
"Fred","""Och, it's the Green Man gave it to her, an' he gave it to","Who gave the apple? "
"Fred","* * * * * * * * * * * * * * * * * * * *","Who did Bill give the milk to? "
"Fred","""I'll give you the apple,"" said Bill, and he thrust the apple into Aggie","Who did Bill give the apple to? "
"Bill","What did he say to him?  Question: What did Jeff say to the young Prince?  Question:","Who did Jeff give the apple to? "
"Mary","_Publius_ _Publius_ _Publius_ _Publius_ _Publius_","Who did Bill give the milk to? "
"Fred","Mary. Mary gave the milk. Mary gave the milk to the child. Mary gave the","Who gave the milk? "
"Fred","Answer: Jack Kirke. Question: Who gave the football? Answer: Jack Kirke. Question","Who gave the football? "
