"target","output","question"
"Jeff","(A) Jeff (B) Fred (C) Fred (D) Jeff (E) Jeff","Who did Fred give the football to? "
"Fred","(A) Jeff (B) Fred (C) Fred (D) Fred (E) Fred","Who received the milk? "
"Jeff","(A) Jeff (B) Bill (C) Fred (D) Fred (E) Fred","Who gave the milk to Fred? "
"milk","(A) The milk (B) The milk (C) The milk (D) The milk","What did Mary give to Bill? "
"Mary","(A) Jeff (B) Jeff (C) Jeff (D) Jeff (E) Jeff","Who received the football? "
"Fred","(A) Mary (B) Mary (C) Mary (D) Mary (E) Mary","Who gave the milk to Jeff? "
"milk","(A) Mary (B) Mary (C) Mary (D) Mary (E) Mary","What did Jeff give to Bill? "
"Fred","(A) Fred (B) Fred (C) Fred (D) Fred (E) Fred","Who received the apple? "
"Fred","(A) Fred (B) Fred (C) Fred (D) Fred (E) Fred","Who gave the apple to Mary? "
"Jeff","(A) Fred (B) Fred (C) Fred (D) Fred (E) Fred","Who gave the milk? "
"milk","(A) The apple (B) The milk (C) The milk (D) The milk","What did Fred give to Mary? "
"Fred","(A) Fred (B) Fred (C) Fred (D) Fred (E) Fred","Who gave the apple to Bill? "
"Mary","(A) Mary (B) Mary (C) Mary (D) Mary (E) Mary","Who received the football? "
"apple","(A) Fred gave the apple to Bill. (B) Fred gave the apple to Bill.","What did Fred give to Bill? "
"Bill","(A) Bill gave the football to Fred. (B) Bill gave the football to Fred.","Who gave the football to Fred? "
"Fred","(A) Fred gave the football to Jeff. (B) Fred gave the football to Jeff.","Who gave the football to Jeff? "
"milk","(A) Mary gave the football to Fred. (B) Mary gave the football to Fred.","What did Mary give to Fred? "
"Bill","(A) Fred gave the apple to Fred. (B) Fred gave the apple to Fred.","Who did Fred give the apple to? "
"Fred","(A) Bill gave the milk. (B) Bill gave the milk. I will assume then","Who gave the milk? "
"Bill","(A) Bill gave the apple. (B) Bill gave the apple. I will assume that","Who gave the apple? "
"Mary","(A) Jeff gave the apple to Jeff. (B) Jeff gave the apple to Jeff.","Who did Jeff give the apple to? "
"Mary","(A) Jeff gave the milk. (B) Jeff gave the milk. Here was already enough","Who gave the milk? "
"milk","(A) Fred gave the milk to Bill. (B) Fred gave the milk to Bill.","What did Fred give to Bill? "
"Bill","(A) Jeff gave the football to Jeff. (B) Jeff gave the football to Jeff.","Who gave the football to Jeff? "
"Mary","(A) Mary gave the milk to Jeff. (B) Mary gave the milk to Jeff.","Who gave the milk to Jeff? "
