"target","output","question"
"Jeff","Answer: Fred. Question: Who did Fred give the football to? Answer: Fred. Question:","Who did Fred give the football to? "
"Bill","Answer: Mary gave the milk to the cat. Question: Who did Mary give the milk to?","Who did Mary give the milk to? "
"Jeff","Answer: Jeff. Question: Who did Jeff give the milk to? Answer: Betsy Todd.","Who did Fred give the milk to? "
"milk","Answer: A piece of bread and butter. Question: What did Jeff get? Answer: A piece","What did Mary give to Fred? "
"Fred","Answer: The Booshalloch and his sons. Question: Who received the bread? Answer:","Who received the milk? "
"apple","Answer: An apple. Mary gave Jeff an apple. Mary gave Jeff an apple. Mary gave Jeff","What did Mary give to Jeff? "
"apple","Answer: Nothing. She gave him a blank cheque on the Bank of England, and told him","What did Mary give to Jeff? "
"apple","Answer: A pair of new boots. Question: What did Bill give to Fred? Answer: A","What did Fred give to Bill? "
"Jeff","Answer: Fred gave the milk to Fred. Question: Who gave the milk to Fred? Answer:","Who gave the milk to Fred? "
"Fred","Answer: The apple was given to Mary by her uncle. Question: Who gave the apple to","Who gave the apple to Mary? "
"Jeff","Answer: The boys. Question: Who received the football? Answer: The boys. Question: Who","Who received the football? "
"Jeff","Answer: Mary gave the football to Black Bill. Question: Who did Black Bill give the football to","Who did Mary give the football to? "
"milk","Answer: Nothing. Question: What did Bill give to Mary? Answer: Nothing. Question: What","What did Mary give to Bill? "
"Bill","Answer: The baby. Question: Who did Mary give the milk to? Answer: The baby.","Who did Mary give the milk to? "
"milk","Answer: Nothing. Question: What did Bill give to Mary? Answer: Nothing. Question: What","What did Mary give to Bill? "
"apple","Answer: A piece of apple. Question: What did Mary give to Fred? Answer: Nothing.","What did Fred give to Mary? "
"Mary","Answer: Mary Carvel. Question: Who received the football? Answer: Mary Carvel. Question","Who received the football? "
"apple","Answer: Nothing. Question: What did Bill give to Fred? Answer: Nothing. Question: What","What did Fred give to Bill? "
"Jeff","Answer: Jeff. Question: Who ate the apple? Answer: Jeff. Question: Who paid for","Who received the apple? "
"Bill","Answer: Mary gave the football to Horace. Question: Who did Mary give the football to?","Who did Mary give the football to? "
"Fred","Answer: Jeff gave the milk to Jeff. Question: Who gave the milk to Jeff? Answer:","Who gave the milk to Jeff? "
"Mary","Answer: The cat. Question: Who received the milk? Answer: The cat. Question: Who","Who received the milk? "
"Mary","Answer: The milkman. Question: Who gave the milk? Answer: The milkman. Question","Who gave the milk? "
"milk","Answer: A piece of bread. Question: What did Mary give to Bill? Answer: A piece","What did Bill give to Mary? "
