"target","output","question"
"bathroom","Answer: In the kitchen, making a cake. Question: What is Mary making? Answer: A","Where is Mary? "
"bedroom","Answer: In the kitchen. Question: Where is Sandra? Answer: In the kitchen. Question:","Where is Sandra? "
"kitchen","Answer: In the garden. Question: Where is Mary? Answer: In the garden. Question:","Where is Mary? "
"bathroom","Answer: In the bathroom. Question: Where is Jimmy? Answer: In the street. Question","Where is Mary? "
"kitchen","Answer: In the bathroom. Question: What is the bathroom? Answer: A place where Sandra is","Where is Sandra? "
"hallway","Answer: Sandra is in the bedroom. Question: Where is Daniel? Answer: Daniel is in the","Where is Sandra? "
"bedroom","Answer: In the bathroom. Question: Where is Daniel? Answer: In the hallway. Question:","Where is Mary? "
"office","Answer: In the kitchen. Question: Where is Gray? Answer: In the drawing-room.","Where is Sandra? "
"office","Answer: In the Shire Horse Society’s Catalogue. Question: Where is Mary? Answer","Where is Mary? "
"kitchen","Answer: She is in the kitchen. Question: What is she doing? Answer: She is washing","Where is Sandra? "
"bedroom","Answer: She is in the kitchen. Question: Where is the kitchen? Answer: It is in","Where is Mary? "
"office","Answer: In the garden. Question: What is he doing? Answer: He is reading.","Where is Daniel? "
"office","Answer: In the office. Question: Where is Sandra? Answer: In the bedroom. Question:","Where is Daniel? "
"office","Answer: In the office. Question: Where is Sandra? Answer: In the bedroom. Question:","Where is John? "
"hallway","Answer: In the hallway. Question: Where is Daniel? Answer: In the garden. Question","Where is Sandra? "
"bedroom","Answer: In the Devil. [Illustration: THE DEVIL  COPYRIGHT, 1911","Where is Daniel? "
"bathroom","Answer: In the bathroom. Question: Where is the bathroom? Answer: In the kitchen. Question","Where is Sandra? "
"garden","Answer: In the arms of Gerhardt. Question: Where is Gerhardt? Answer: In the","Where is Sandra? "
"bedroom","Answer: In the country. Question: Where is John? Answer: In the country. Question","Where is John? "
"hallway","Answer: She is in the kitchen. Question: Where is Daniel? Answer: He is in the","Where is Mary? "
"hallway","Answer: In the hallway. Question: What is the time? Answer: 4.30.","Where is John? "
"bathroom","Answer: In the council-house. Question: What is he doing? Answer: He is sitting in","Where is John? "
"office","Answer: She is in the kitchen. Question: Where is Mary? Answer: She is in the","Where is Mary? "
"hallway","Answer: In the hallway. Question: Where is John? Answer: In the hallway. Question:","Where is John? "
"garden","Answer: In the garden. Question: What is the garden? Answer: A place where","Where is Sandra? "
