"target","output","question"
"Bill","Answer: Answer: Bill Answer: Bill Answer: Bill Answer: Bill Answer","Who did Mary give the milk to? "
"milk","Answer: Answer: milk The answer is derived from the sentence: ""Mary passed the milk","What did Mary give to Fred? "
"apple","Answer: Answer:  Answer: apple  Okay, let's tackle this question. The user provided","What did Mary give to Jeff? "
"apple","Answer: Answer:  apple Okay, let's tackle this question. The user is asking,","What did Fred give to Bill? "
"Fred","Answer: Fred Okay, let's try to figure out who gave the apple to Mary based","Who gave the apple to Mary? "
"Jeff","Answer: Mary Jeff Fred Bill Answer: Jeff Okay, let's try","Who did Mary give the football to? "
"Bill","Answer: Bill <context> ""That's the way we all think till we tackle her and then","Who did Mary give the milk to? "
"apple","Answer: apple Okay, let's try to figure out the answer to the question: ""","What did Fred give to Mary? "
"apple","Answer: Answer: apple Okay, let's tackle this question. The user is asking what","What did Fred give to Bill? "
"Bill","Answer: Bill <context> Fred journeyed to the kitchen. Mary took the football there.","Who did Mary give the football to? "
"Mary","Answer: Jeff <context> ""After being scorched all day long at the forge, it will","Who received the milk? "
"milk","Answer: Answer:  Assistant: milk  Human: <context> (I say _nearly_,","What did Bill give to Mary? "
"football","Answer: Answer:  football Answer: football Answer: football Answer: football Answer","What did Jeff give to Fred? "
"Mary","Answer: Mary Okay, let's tackle this question. The user is asking, ""Who","Who gave the apple to Bill? "
"Mary","Answer: Mary Answer: Mary Answer: Mary Answer: Mary Answer: Mary","Who gave the milk to Bill? "
"Mary","Answer: Jeff <context> --_Eclectic._        +A Jaunt Through Java","Who gave the milk? "
"football","Answer: Answer:  football Answer: football Answer: football Answer: football Answer","What did Bill give to Mary? "
"apple","Answer: Answer: apple Okay, let's tackle this question. The user provided a context","What did Fred give to Bill? "
"Bill","Answer: Bill  The context provided is a narrative involving several characters and their interactions. The key events","Who did Mary give the apple to? "
"milk","Answer: </context> Answer: milk Okay, let's tackle this question. The","What did Mary give to Fred? "
"Mary","Answer: Answer: Fred Answer: Mary Answer: Bill Answer: Jeff Answer","Who gave the football? "
"Mary","Answer: Mary Okay, let's tackle this question. The user is asking ""Who gave","Who gave the apple? "
"apple","Answer: Answer: apple Okay, let's try to figure out what Fred gave to Bill","What did Fred give to Bill? "
"Fred","Answer: Answer:  Jeff Fred Jeff Fred Jeff Fred Jeff Fred","Who received the milk? "
"apple","Answer: apple Okay, let's tackle this question. So, the user provided a context","What did Bill give to Mary? "
"apple","Answer: Answer: apple Okay, let's try to figure out the answer to the question","What did Fred give to Bill? "
"milk","Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer","What did Jeff give to Fred? "
"Jeff","Answer: Jeff <context> Jeff took the football there. Jeff passed the football to Fred.","Who gave the football? "
"Mary","Answer: Answer: Fred Answer: Fred Answer: Fred Answer: Fred Answer","Who received the football? "
"Jeff","Answer: Jeff </context> Okay, let's tackle this question. The user is asking","Who did Bill give the milk to? "
"Jeff","Answer: Jeff Okay, let's try to figure out who gave the apple to Fred.","Who gave the apple to Fred? "
"Jeff","Answer: Jeff Okay, let's try to figure out who Bill gave the apple to.","Who did Bill give the apple to? "
"Jeff","Answer: Answer: Mary Okay, let's try to figure out who received the apple based","Who received the apple? "
"apple","Answer: apple Okay, let's try to figure out what the answer is here. The","What did Mary give to Fred? "
"Jeff","Answer: Answer: Bill Okay, let's tackle this question. The user provided a context","Who gave the apple? "
"Bill","Answer: Answer: Bill Okay, let's tackle this question. The user provided a long","Who did Jeff give the football to? "
"apple","Answer: apple <context> Max passing the door of her old ward and she not there","What did Mary give to Bill? "
"Bill","Answer: Bill Okay, let's try to figure out who Fred gave the milk to.","Who did Fred give the milk to? "
"Jeff","Answer: Answer: Fred Answer: Fred Answer: Fred Answer: Fred Answer","Who gave the apple? "
"football","Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer","What did Mary give to Fred? "
"football","Answer: football Okay, let's tackle this question. The user provided a context from a","What did Jeff give to Mary? "
"milk","Answer: Milk <context> ""But will the Malay succeed in surprising Djalma during his","What did Mary give to Fred? "
"Bill","Answer: Answer: Bill Okay, let's tackle this question. The user provided a context","Who gave the milk to Mary? "
"Fred","Answer: Mary <context> Mary handed the apple to Fred. Mary gave the apple to Fred","Who gave the apple? "
"Fred","Answer: Answer: Fred <context> She looked down, and said in a low voice,","Who did Bill give the milk to? "
"Fred","Answer: Fred </context>  Okay, let's tackle this question. The user wants to","Who did Bill give the apple to? "
"Bill","Answer: Bill Answer: Bill Answer: Bill Answer: Bill Answer: Bill","Who did Jeff give the apple to? "
"Mary","Answer: Mary Okay, let's tackle this question. The user provided a context and a","Who did Bill give the milk to? "
"Fred","Answer: Mary <context> Instantly, all saw the weaker blade fly wide, the stronger","Who gave the milk? "
"Fred","Answer: Answer: Fred Okay, let's try to figure out who gave the football based","Who gave the football? "
