"target","output","question"
"bathroom","She's not in the house, and she's not in the yard. She's not in","Where is Mary? "
"bedroom","I am not sure if I have the right address. I have been trying to find her for","Where is Sandra? "
"kitchen","Answer: In the Tenth Book of the Metamorphoses, in the shocking story of C","Where is Mary? "
"bathroom","Is she in the bathroom? Is she in the bedroom? Is she in the kitchen? Is she","Where is Mary? "
"kitchen","I can't find her.  Answer: She is in the bathroom, taking a bath.  Question:","Where is Sandra? "
"hallway","Is she in the bedroom? Is she in the hallway? Is she in the kitchen?","Where is Sandra? "
"bedroom","I feel sure she is somewhere in the house. I'll go look for her. I'll","Where is Mary? "
"office","She is not in the kitchen. She is not in the hall. She is not in the","Where is Sandra? "
"office","Where is the Shire horse Society? Where is the London Show? Where is the Tring","Where is Mary? "
"kitchen","What is she doing?  Answer: Sandra went back to the kitchen. I think she was cooking.","Where is Sandra? "
"bedroom","I am not sure if I have the right answer, but I think it is in the question","Where is Mary? "
"office","Is he in the garden?  Answer: No, he is in the house.  Question: Where is","Where is Daniel? "
"office","He is in the garden, and he is not in the garden.  Answer: He is in the","Where is Daniel? "
"office","He crawled forward his own length, and brought up snug and safe in the angle where roof met wall","Where is John? "
"hallway","What is the meaning of the numbers in the context?  What is the meaning of the","Where is Sandra? "
"bedroom","Answer: In the devil's mill-dam.  The Confederates were in the devil's mill-d","Where is Daniel? "
"bathroom","I can't find her.  Answer: She is in the next room, but I can't see","Where is Sandra? "
"garden","She is not in the house. She is not in the house. She is not in the","Where is Sandra? "
"bedroom","I went to the public devotions. The Dean of the Chapel and Clerk of the Closet put out","Where is John? "
"hallway","I want to die as a man should do,        Without a sorrowful thought of you. I","Where is Mary? "
"hallway","I can't find him. He's not in the kitchen, and he's not in the living","Where is John? "
"bathroom","I have not forgotten you, my dear friend, and I am not unwilling to see you,","Where is John? "
"office","I can't find her.  Answer: She's in the kitchen, and she's got a","Where is Mary? "
"hallway","A. The Grove, Scotforth, Lancs. B. The Grove, Scotforth, Ber","Where is John? "
"garden","Answer: In the garden.  The post of Commandant-General was forced upon him in the first weeks","Where is Sandra? "
