"target","output","question"
"bedroom","Answer: The apple is in the bedroom.  <example> Alan moved to the garage. Alan got","Where is the apple? "
"kitchen","Answer: The milk is in the bathroom. Question: Where is the apple? Answer: The apple","Where is the milk? "
"bathroom","Answer: The football is in the bathroom.  <example> Mary went to the garden. John picked","Where is the football? "
"bedroom","Answer: The apple is in the garden.  <example> Alan moved to the garage. Alan got","Where is the apple? "
"garden","Answer: The milk is in the garden.  <context> Sandra took the milk there. Sandra journey","Where is the milk? "
"garden","Answer: The milk is in the hallway.  <example> Mary moved to the hallway. Mary journey","Where is the milk? "
"garden","Answer: The football is in the garden. Where is the apple? Answer: The apple is in","Where is the football? "
"hallway","Answer: The apple is in the hallway. Where is the football? Answer: The football is in","Where is the apple? "
"hallway","Answer: The milk is in the hallway.  <context> Alan moved to the garage. Alan got a","Where is the milk? "
"bathroom","Answer: The milk is in the bathroom.  <context> Alan moved to the garage. Alan got a","Where is the milk? "
"garden","Answer: The apple is in the bathroom.  <example> Mary journeyed to the office. Sandra","Where is the apple? "
"hallway","Answer: The apple is in the hallway.  <example> Alan moved to the garage. Alan got","Where is the apple? "
"garden","Answer: The milk is in the bathroom.  <example> Alan moved to the garage. Alan got","Where is the milk? "
"office","Answer: The milk is in the bedroom.  <example> Alan moved to the garage. Alan got","Where is the milk? "
"office","Answer: The football is in the bedroom.  <example> Alan moved to the garage. Alan got","Where is the football? "
"garden","Answer: The football is in the office.","Where is the football? "
"bedroom","Answer: The football is in the hallway.  <example> Alan moved to the garage. Alan got","Where is the football? "
"garden","Answer: The milk is in the office.","Where is the milk? "
"garden","Answer: The football is in the hallway.  <example> Alan moved to the garage. Alan got","Where is the football? "
"kitchen","Answer: The apple is in the bathroom.  <example> Alan moved to the garage. Alan got","Where is the apple? "
"office","Answer: The apple is in the office. Question: Where is the football? Answer: The football","Where is the apple? "
"bathroom","Answer: The apple is in the bathroom. Question: Where is the milk? Answer: The milk","Where is the apple? "
"bedroom","Answer: The apple is in the kitchen.","Where is the apple? "
"bedroom","Answer: The apple is in the hallway.  <example> Alan moved to the garage. Alan got","Where is the apple? "
"bedroom","Answer: The milk is in the hallway.","Where is the milk? "
