"target","output","question"
"Jeff","Answer: Fred gave the football to the football team. Question: Who did Fred give the football","Who did Fred give the football to? "
"Jeff","Answer: Jeff. Question: Who did Mary give the milk to? Answer: Jeff. Question:","Who did Fred give the milk to? "
"Fred","Answer: The milkman. Question: Who received the milk? Answer: The milkman.","Who received the milk? "
"apple","Answer: A wreath of corn-flowers blue. Question: What did Jeff give to Mary?","What did Mary give to Jeff? "
"Jeff","Answer: The cow.  Question: Who gave the milk to Fred? Answer: The cow.  Question","Who gave the milk to Fred? "
"Jeff","Answer: The Provost. Question: Who received the football? Answer: The Provost.","Who received the football? "
"milk","Answer: Nothing. Question: What did Bill give to Mary? Answer: Nothing. Question: What","What did Mary give to Bill? "
"milk","Answer: Milk.","What did Mary give to Bill? "
"Mary","Answer: The rebels. Question: Who kicked it? Answer: The rebels. Question:","Who received the football? "
"Jeff","Answer: The apple received the boy.  </context>  CHAPTER XXVII.  THE WOODLAND","Who received the apple? "
"Fred","Answer: Jeff gave the milk to Jeff.  Question: Who gave the milk to Jeff? Answer:","Who gave the milk to Jeff? "
"Mary","Answer: The Queen. Question: Who gave the honey? Answer: The Workers. Question","Who gave the milk? "
"milk","Answer: A pair of trousers. Question: What did Bill give to Jeff? Answer: A pair","What did Jeff give to Bill? "
"Mary","Answer: Ruby red.  </context>  The traveller is a tall, thin, dark man, with","Who gave the football? "
"Fred","Adam, Eve, and the serpent. Answer: Who gave it? Adam, Eve, and the","Who received the apple? "
"milk","Answer: A pair o' boots. Question: What did Jeff give to Mary? Answer: A","What did Mary give to Jeff? "
"Fred","Answer: The apple was given to Mary by the cook. Question: Who gave the apple to","Who gave the apple to Mary? "
"apple","Answer: Nothing. Question: What did Mary give to Fred? Answer: Nothing. Question: What","What did Fred give to Mary? "
"Jeff","Answer: Jeff. Edwards, minister of Denton, in Sussex, a living in my brother's","Who gave the milk? "
"Fred","Answer: Fred. FOOTNOTE:  [A] The name of the gallant young man who tore up","Who gave the football to Mary? "
"milk","Answer: A pair of shoes. Question: What did Mary give to Fred? Answer: A pair","What did Fred give to Mary? "
"Fred","Answer: The boy. Question: Who received the apple? Answer: The boy. Question: Who","Who received the apple? "
"Fred","Answer: The apple was given to Bill by the Chinese. Question: Who gave the apple to","Who gave the apple to Bill? "
"Fred","Answer: The Sun God, the lord of the day, the lord of fire, the ruler","Who received the apple? "
"Mary","Answer: Alfred. Question: Who received the football? Answer: Alfred. Question: Who received the","Who received the football? "
"apple","Answer: A pair of stockings. Question: What did Fred give to Mary? Answer: A pair","What did Mary give to Fred? "
"apple","Answer: A pair of pants. Question: What did Bill give to Fred? Answer: A pair","What did Fred give to Bill? "
"Mary","Answer: The doctor. Question: Who received the eggs? Answer: The doctor. Question: Who","Who received the milk? "
"Bill","Answer: Bill. Question: Who gave the football to Fred? Answer: Bill. Question","Who gave the football to Fred? "
"Mary","Answer: Mary. Question: Who gave the football to Mary? Answer: Fred. Question","Who gave the football to Fred? "
"Fred","Answer: Jeff gave the football to Jeff. Question: Who gave the football to Jeff? Answer:","Who gave the football to Jeff? "
"Bill","Answer: The cat. Question: Who received the cream? Answer: The dog. Question: Who","Who received the milk? "
"milk","Answer: Nothing. Question: What did Fred give to Mary? Answer: Nothing. Question:","What did Mary give to Fred? "
"Jeff","Answer: Jeff. Soubeit is a very ancient city on the left bank of the Omm-E","Who gave the apple to Bill? "
"Bill","Answer: Fred. Question: Who did Fred give the apple to? Answer: Fred. Question","Who did Fred give the apple to? "
"Bill","Answer: The Moorish women. Question: Who gave the milk to Fred? Answer: The Moor","Who gave the milk to Fred? "
"Fred","Answer: The cows. Question: Who gave the milk? Answer: The cows. Question","Who gave the milk? "
"Jeff","Answer: The milkman. Question: Who received the eggs? Answer: The eggman. Question","Who received the milk? "
"Bill","Answer: Bill. Question: Who gave the rum? Answer: Bill. Question: Who gave the","Who gave the apple? "
"Fred","Answer: Fred. Question: Who received the football? Answer: Fred. Question: Who received","Who received the football? "
"Mary","Answer: Jeff. Question: Who did Jeff give the apple to? Answer: Jeff. Question","Who did Jeff give the apple to? "
"Mary","Answer: The Dean. Question: Who received the cream? Answer: The Dean. Question: Who","Who received the milk? "
"Mary","Answer: Fred. Question: Who dropped the milk? Answer: Fred. Question: Who drank the","Who gave the milk? "
"Mary","Answer: The football was received by the Indians, who, according to the custom of the country","Who received the football? "
"milk","Answer: A pair of trousers. Question: What did Bill give to Fred? Answer: A pair","What did Fred give to Bill? "
"Jeff","Answer: Alfred.  Question: Who gave the apple? Answer: Alfred.  Question: Who gave the","Who gave the apple? "
"Bill","Answer: The football was given to Jeff by the Flying Machine Boys. Question: Who gave the football","Who gave the football to Jeff? "
"milk","Answer: A pair of shoes. Question: What did Bill give to Mary? Answer: A pair","What did Mary give to Bill? "
"Mary","Answer: The milkman. Question: Who gave the milk to Jeff? Answer: The","Who gave the milk to Jeff? "
"Bill","Answer: The milk was received by the infants of the Shereef. [12]","Who received the milk? "
