"target","output","question"
"Bill","Answer: Bill  Okay, let's tackle this question. So, the user provided a context that","Who did Mary give the milk to? "
"Fred","Answer: Mary <context> Fred picked up the football there. Fred put down the football there","Who received the milk? "
"apple","Answer: apple Okay, let's tackle this question. The user is asking what Fred gave","What did Fred give to Bill? "
"Jeff","Answer: Jeff <context> Bill went back to the kitchen. Mary handed the apple to Fred","Who received the football? "
"Bill","Answer: Bill </context> Okay, let's tackle this question. The user is asking","Who did Mary give the milk to? "
"Mary","Answer: Answer: Mary Answer: Mary Answer: Mary Answer: Mary Answer","Who received the football? "
"Bill","Answer: Mary <context> Fred journeyed to the kitchen. Mary travelled to the office.","Who did Mary give the football to? "
"Mary","Answer: Answer: Fred Okay, let's tackle this question. The user is asking ""","Who gave the milk? "
"football","Answer: Answer: football Answer: football Answer: football Answer: football Answer","What did Jeff give to Fred? "
"Fred","Answer: Answer: Fred Answer: Fred Answer: Fred Answer: Fred Answer","Who received the apple? "
"Mary","Answer: Jeff <context> --_Eclectic._        +A Jaunt Through Java","Who gave the milk? "
"apple","Answer: apple Okay, let's try to figure out what the answer is here. The","What did Fred give to Mary? "
"Bill","Answer: Mary Okay, let's tackle this question. The user is asking, ""Who","Who did Mary give the apple to? "
"milk","Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer","What did Fred give to Mary? "
"Mary","Answer: Mary <context> Loud cries and laughter were heard all round. Birgit","Who gave the apple? "
"Fred","Answer: Fred Okay, let's try to figure out who received the apple based on the","Who received the apple? "
"apple","Answer: apple Okay, let's see. The user provided a context with a lot of","What did Bill give to Mary? "
"apple","Answer: Answer: apple Answer: apple Answer: apple Answer: apple Answer","What did Fred give to Bill? "
"Jeff","Answer: Jeff <context> Jeff took the football there. Jeff passed the football to Fred.","Who gave the football? "
"Mary","Answer: Mary Okay, let's tackle this question. The user is asking, ""Who","Who gave the football to Fred? "
"Jeff","Answer: Jeff <context> Jeff moved to the garden. Jeff journeyed to the bedroom.","Who gave the apple to Fred? "
"milk","Answer: Answer: milk Answer: milk Answer: milk Answer: milk Answer","What did Mary give to Fred? "
"apple","Answer: Answer: apple Answer: apple Answer: apple Answer: apple Answer","What did Mary give to Fred? "
"Bill","Answer: Bill Okay, let's tackle this question. The user is asking, ""Who","Who gave the milk to Fred? "
"apple","Answer: Answer: apple Okay, let's tackle this question. The user is asking what","What did Mary give to Bill? "
"Bill","Answer: Bill Okay, let's try to figure out who gave the apple based on the","Who gave the apple? "
"football","Answer: football Okay, let's try to figure out the answer to the question: ""","What did Mary give to Fred? "
"Mary","Answer: Mary <context> Mary passed the milk to Jeff. Mary moved to the office.","Who received the milk? "
"Bill","Answer: Mary Answer: Mary Answer: Bill Answer: Bill Answer: Mary","Who gave the milk to Mary? "
"milk","Answer: Answer:  Assistant: milk  The answer is derived from the context where it states","What did Fred give to Bill? "
"Fred","Answer: Fred </context>  Okay, let's tackle this question. The user is asking","Who did Bill give the apple to? "
"milk","Answer: Answer: milk Okay, let's see. The user is asking what Mary gave","What did Mary give to Bill? "
"Fred","Answer: Mary <context> Mary took the milk there. Mary left the milk. Mary got","Who gave the milk? "
