"target","output","question"
"Jeff","Mary. Jeff. Jeff Fred. Fred Jeff. Mary Jeff. Mary Fred.","Who did Fred give the milk to? "
"Jeff","Fred was the football. Jeff was the football. Jeff was football. Jeff football. Jeff football.","Who received the football? "
"Jeff","Jeff Question: Bill was a poor man. Bill had a son, Bill Jeff Question:","Who received the apple? "
"Mary","Jeff says Bill brought footballs for Bill and Bill’s football is Jeff’s football. Bill says Jeff","Who gave the football? "
"apple","Mary took the apple. Mary took Fred's apple. Fred passed Mary apple. Fred passed apple Mary","What did Fred give to Mary? "
"Fred","Jeffries. Bill had followed his master into the wilderness, always like a body servant keeping near his","Who received the apple? "
"apple","milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk","What did Mary give to Fred? "
"Mary","Mary Jeff Jeff Mary Jeff Fred Mary Fred Fred Mary Fred Fred Mary Fred Fred Mary Fred Fred Mary Fred","Who gave the football to Fred? "
"Jeff","Jeff. Bill. Jeff gave the apple to Bill. Jeff gave the apple to Bill. Jeff gave","Who gave the apple to Bill? "
"Jeff","Jeff, Bill, Bill, Bill, Bill, Bill, Bill, Bill, Bill, Bill,","Who received the milk? "
"Mary","Fred, Jeff, Jeff, Jeff, Jeff, Jeff, Jeff, Jeff","Who received the milk? "
"Jeff","Fred, Jeff, Jeff's wife Fred's wife Jeff Jeff's wife Jeff Jeff Jeff Jeff Jeff Jeff","Who gave the apple? "
"Bill","Fred went to the milkman and milked the milk. Fred milked the milk. Fred milk","Who received the milk? "
