"target","output","question"
"bathroom","bedroom","Where is Mary? "
"kitchen","bathroom","Where is Sandra? "
"kitchen","bathroom","Where is Mary? "
"kitchen","bedroom","Where is John? "
"bedroom","bathroom","Where is Sandra? "
"office","bathroom","Where is John? "
"garden","bathroom","Where is Mary? "
"bathroom","bedroom","Where is Sandra? "
"kitchen","bedroom","Where is Mary? "
"bedroom","bedroom","Where is John? "
"office","bedroom","Where is Daniel? "
"office","bedroom","Where is Daniel? "
"bathroom","bedroom","Where is Mary? "
"bathroom","bedroom","Where is Sandra? "
"bathroom","bathroom","Where is Sandra? "
"hallway","bedroom","Where is Mary? "
"kitchen","bedroom","Where is Sandra? "
"office","bedroom","Where is Daniel? "
"kitchen","bedroom","Where is Sandra? "
"bedroom","bedroom","Where is John? "
"hallway","hallway","Where is Sandra? "
"bedroom","bathroom","Where is Mary? "
"bedroom","bedroom","Where is John? "
"bedroom","bedroom","Where is Mary? "
"bedroom","bedroom","Where is Mary? "
"garden","bedroom","Where is Mary? "
"bedroom","bedroom","Where is Daniel? "
"office","bedroom","Where is Sandra? "
"office","bedroom","Where is Sandra? "
"garden","bathroom","Where is Sandra? "
"garden","bedroom","Where is Daniel? "
"bathroom","bedroom","Where is Mary? "
"office","bedroom","Where is Mary? "
"kitchen","bedroom","Where is Sandra? "
"garden","bedroom","Where is Sandra? "
"kitchen","bathroom","Where is Sandra? "
"kitchen","bedroom","Where is Sandra? "
"garden","bedroom","Where is John? "
"garden","bedroom","Where is Sandra? "
"bathroom","bedroom","Where is Sandra? "
"bedroom","bathroom","Where is Mary? "
"kitchen","bedroom","Where is Sandra? "
"office","bedroom","Where is Mary? "
"bedroom","bathroom","Where is Mary? "
"office","bedroom","Where is Daniel? "
"office","bedroom","Where is Sandra? "
"bathroom","office","Where is Sandra? "
"bedroom","bathroom","Where is Sandra? "
"office","bedroom","Where is Daniel? "
"bedroom","bedroom","Where is Sandra? "
"hallway","bedroom","Where is Daniel? "
"bedroom","bedroom","Where is Sandra? "
"office","office","Where is John? "
"garden","bedroom","Where is John? "
"kitchen","bathroom","Where is Daniel? "
"hallway","hallway","Where is Mary? "
"hallway","bedroom","Where is Sandra? "
"hallway","bedroom","Where is John? "
"bedroom","office","Where is Mary? "
"bedroom","office","Where is Sandra? "
