"target","output","question"
"garden","The milk is in the milk. The milk is in the milk. The milk is in the milk","Where is the milk? "
"hallway","[Illustration]  [Illustration]  [Illustration]  [Illustration]  [I","Where is the apple? "
"bathroom","Answer: In the jug. Question: Where is the jug? Answer: In the cupboard. Question","Where is the milk? "
"kitchen","Answer: In the kitchen. Question: Where is the football? Answer: In the kitchen. Question","Where is the football? "
"bedroom","Answer: In the cupboard. ""The Sultan's feet are in the water."" ""The","Where is the apple? "
"bedroom","The milk is in the kitchen. The milk is in the office. The milk is in the garden","Where is the milk? "
"garden","Answer: In the garden. Question: Where is the football? Answer: In the garden. Question","Where is the football? "
"hallway","Answer: It is in the garden. [32] It is in the garden. [32]","Where is the apple? "
"kitchen","1. in the hallway 2. in the hallway 3. in the hallway 4","Where is the football? "
"hallway","Answer: In the milk. Question: Where is the milk? Answer: In the milk","Where is the milk? "
"hallway","Answer: On the football. Question: Where is the football? Answer: On the football. Question","Where is the football? "
"bedroom","I'm afraid I can't tell you. I'm afraid I can't tell","Where is the milk? "
"bathroom","Answer: It is in the football. Question: Where is the football? Answer: It is in","Where is the football? "
"hallway","Answer: In the Land's End. [Illustration] The Land's End is a very Land","Where is the milk? "
"bathroom","[32] The milk is in the kitchen. [33] The milk is in the kitchen.","Where is the milk? "
"bathroom","Answer: In the violet. The silken threads of the Lotus          And the azure flow of","Where is the apple? "
"hallway","Answer: In the kitchen. Question: Where is the kitchen? Answer: In the house. Question","Where is the milk? "
"bathroom","Answer: It is in the bathroom. Question: Where is the bathroom? Answer: It is in","Where is the apple? "
"hallway","1, 2, 3, 4, 5, 6, 7","Where is the football? "
"office","Answer: In the udder. [Footnote 77: The milk is not","Where is the milk? "
"kitchen","[Illustration] [Illustration] [Illustration] [Illustration] [Illustration]","Where is the apple? "
"office","Answer: In the milk. Question: Where is the milk? Answer: In the milk. Question","Where is the milk? "
"bedroom","Answer: In the Crescent. Question: Where is the Crescent? Answer: In the milk. Question","Where is the milk? "
"bedroom","Answer: In the sun dance canyon. ""I guess that's Smith's work,"" said her","Where is the football? "
"office","Answer: In the bathroom. [Illustration]  [Illustration]  [Illustration]","Where is the milk? "
