target,output,question
kitchen,"Answer









The the

The the the take the take the take the take the",Where is the football? 
garden,Answer of the the the the the the the the the the the the the the the the take the,Where is the milk? 
bedroom,"Answer















The the



The the

The the take the",Where is the apple? 
bedroom,"Answer















The the

The the

The the take the take",Where is the apple? 
kitchen,Answer,Where is the apple? 
hallway,"Answer. The the



The the

The the

The the

The the

The the",Where is the apple? 
kitchen,Answer of the the the the the the the the the the take the take the take the take the,Where is the milk? 
garden,"Answer























The the the the the the the",Where is the milk? 
bedroom,"Answer







The the the the the the the

The the

The the

The",Where is the milk? 
bathroom,"Answer





























The the take the",Where is the milk? 
bathroom,"Answer









The the

The the the the the the take the the take the",Where is the football? 
bedroom,"Answer











The the the

The the

The the take the take the",Where is the milk? 
bathroom,"Answer, the



The the

The the

The the

The the take the take the",Where is the apple? 
kitchen,"Answer







The the

The the the, and the take the take the take the",Where is the football? 
bedroom,"Answer



















The the the the the the the the the",Where is the apple? 
garden,"Answer





























The the",Where is the apple? 
bedroom,"Answer















The the

The the take the take the take the",Where is the football? 
bedroom,"Answer































The the the",Where is the apple? 
garden,"Answer























The the the the the the the",Where is the milk? 
garden,"Answer















The the the the the the the the the the the",Where is the milk? 
office,Answer,Where is the apple? 
bedroom,"Answer of the



The the the the the the the the the the the take the take the",Where is the milk? 
garden,Answer of the the the the the the the the the the the the the the the the the the,Where is the milk? 
bathroom,Answer of the the the the the the the the the the take the take the take the take the,Where is the milk? 
office,"Answer of the





The the the the the the the the the the the the the the",Where is the apple? 
garden,"Answer













The the the

The the take the

The the",Where is the football? 
garden,"Answer









The the the

The the take the take the take the take the",Where is the football? 
bedroom,"Answer





























The the the the",Where is the apple? 
hallway,"Answer







The the the the the the the the the the the the the take the",Where is the apple? 
hallway,"Answer





















The the the the the the the the",Where is the apple? 
hallway,"Answer









The the

The the

The the take the take the take the",Where is the apple? 
garden,"Answer









The the

The the the

The the

The the

The",Where is the football? 
hallway,"Answer















The the

The the

The the

The the",Where is the apple? 
kitchen,"Answer









The the

The the

The the take the take the take the",Where is the football? 
hallway,"Answer





























The the the the",Where is the milk? 
kitchen,Answer,Where is the apple? 
office,"Answer































The the take",Where is the milk? 
hallway,"Answer



















The the

The the

The take the",Where is the milk? 
bathroom,"Answer























The the the the the the the",Where is the milk? 
bathroom,"Answer









The the

The the

The the the

The the take the",Where is the milk? 
bathroom,"Answer











The the the the the the take the take the take the take",Where is the football? 
hallway,"Answer









The the the the the the the the the take the the take the",Where is the football? 
garden,"Answer













The the

The the

The the

The the",Where is the apple? 
bedroom,"Answer









The the the the the the take the take the take the take the",Where is the apple? 
kitchen,"Answer























The the the the the the the",Where is the milk? 
bedroom,"Answer









The the the the the the the the the the the take the take",Where is the milk? 
hallway,"Answer







The the

The the

The the take the take the take the take",Where is the apple? 
garden,"Answer









The the

The the the the the the take the take the take",Where is the milk? 
kitchen,"Answer









The the the

The the, and the take the take the take",Where is the football? 
bathroom,"Answer







The the

The the the the take the take the take the take the",Where is the football? 
garden,"Answer











The the the the the take the take the take the take the",Where is the milk? 
bedroom,"Answer of the





The the the

The the

The the

The the

The",Where is the apple? 
hallway,"Answer











The the

The the

The the

The the

The",Where is the milk? 
