idx,task,length,n_chunks,needle_chunks,needle_located,n_candidates,needle_in_candidates,needle_rank,rank_pctile,wmap_density,recall@1,recall@2,recall@4,recall@8,recall@16
1,qa5,16k,31,24,True,30,True,15,0.5,14.633,0,0,0,0,1
3,qa5,16k,31,30,True,30,False,,,14.333,0,0,0,0,0
5,qa5,16k,30,27,True,29,True,24,0.8276,14.517,0,0,0,0,0
7,qa5,16k,30,27,True,29,True,1,0.0345,14.931,1,1,1,1,1
9,qa5,16k,27,0;8,True,26,True,23,0.8846,14.885,0,0,0,0,0
11,qa5,16k,31,0;24,True,30,True,8,0.2667,14.333,0,0,0,1,1
13,qa5,16k,31,25,True,30,True,13,0.4333,14.833,0,0,0,0,1
15,qa5,16k,30,26,True,29,True,20,0.6897,15.172,0,0,0,0,0
17,qa5,16k,31,27,True,30,True,17,0.5667,14.767,0,0,0,0,0
19,qa5,16k,27,23,True,26,True,2,0.0769,14.808,0,1,1,1,1
21,qa5,16k,31,0;24,True,30,True,10,0.3333,15.067,0,0,0,0,1
23,qa5,16k,30,26,True,29,True,4,0.1379,15.034,0,0,1,1,1
25,qa5,16k,31,25,True,30,True,7,0.2333,15.333,0,0,0,1,1
27,qa5,16k,28,0;17,True,27,True,5,0.1852,14.815,0,0,0,1,1
29,qa5,16k,28,0;25,True,27,True,6,0.2222,15.222,0,0,0,1,1
31,qa5,16k,30,0;28,True,29,True,1,0.0345,14.759,1,1,1,1,1
33,qa5,16k,31,27,True,30,True,30,1.0,15.167,0,0,0,0,0
35,qa5,16k,30,15,True,29,True,19,0.6552,14.483,0,0,0,0,0
37,qa5,16k,31,26,True,30,True,28,0.9333,15.333,0,0,0,0,0
39,qa5,16k,31,30,True,30,False,,,14.667,0,0,0,0,0
41,qa5,16k,28,0;25,True,27,True,4,0.1481,14.667,0,0,1,1,1
43,qa5,16k,31,0;27,True,30,True,18,0.6,14.433,0,0,0,0,0
45,qa5,16k,30,28,True,29,True,12,0.4138,15.207,0,0,0,0,1
47,qa5,16k,30,25;26,True,29,True,5,0.1724,15.103,0,0,0,1,1
49,qa5,16k,31,30,True,30,False,,,14.167,0,0,0,0,0
51,qa5,16k,31,27,True,30,True,16,0.5333,15.067,0,0,0,0,1
53,qa5,16k,31,30,True,30,False,,,14.867,0,0,0,0,0
55,qa5,16k,30,0;26,True,29,True,24,0.8276,14.552,0,0,0,0,0
57,qa5,16k,29,0;21,True,28,True,13,0.4643,14.821,0,0,0,0,1
59,qa5,16k,31,0;30,True,30,True,3,0.1,14.967,0,0,1,1,1
61,qa5,16k,31,0;29,True,30,True,3,0.1,15.333,0,0,1,1,1
63,qa5,16k,31,0;28,True,30,True,2,0.0667,15.133,0,1,1,1,1
65,qa5,16k,31,0;28,True,30,True,13,0.4333,15.3,0,0,0,0,1
67,qa5,16k,30,29,True,29,False,,,15.276,0,0,0,0,0
69,qa5,16k,31,0;27,True,30,True,15,0.5,14.433,0,0,0,0,1
71,qa5,16k,30,27,True,29,True,26,0.8966,15.034,0,0,0,0,0
73,qa5,16k,31,15,True,30,True,17,0.5667,14.967,0,0,0,0,0
75,qa5,16k,31,28,True,30,True,29,0.9667,14.767,0,0,0,0,0
77,qa5,16k,30,0;28,True,29,True,3,0.1034,15.0,0,0,1,1,1
79,qa5,16k,31,28,True,30,True,28,0.9333,15.033,0,0,0,0,0
81,qa5,16k,30,21,True,29,True,15,0.5172,14.345,0,0,0,0,1
83,qa5,16k,31,29,True,30,True,6,0.2,15.267,0,0,0,1,1
85,qa5,16k,31,28,True,30,True,16,0.5333,14.567,0,0,0,0,1
87,qa5,16k,31,0;23,True,30,True,5,0.1667,14.967,0,0,0,1,1
89,qa5,16k,29,0;27,True,28,True,18,0.6429,14.75,0,0,0,0,0
91,qa5,16k,31,0;29,True,30,True,1,0.0333,14.6,1,1,1,1,1
93,qa5,16k,31,25,True,30,True,20,0.6667,15.6,0,0,0,0,0
95,qa5,16k,27,0;23,True,26,True,4,0.1538,15.538,0,0,1,1,1
97,qa5,16k,29,0;27,True,28,True,23,0.8214,15.393,0,0,0,0,0
99,qa5,16k,29,0;24,True,28,True,8,0.2857,15.107,0,0,0,1,1
