"target","output","question"
"bathroom","What is she doing?  Answer: She is in the hospital, and she is working.  Context:","Where is Mary? "
"bedroom","--I know not what to say.  Answer: I am with thee,--but, alas!","Where is Sandra? "
"kitchen","What is she doing?  Answer: She is in her room, and she is thinking about Burt","Where is Mary? "
"bathroom","I have been looking for her everywhere, but she is nowhere to be found. I have searched the","Where is Mary? "
"kitchen","I have been looking for her. I have been looking for her for a long time. I","Where is Sandra? "
"hallway","What is her profession? What is her character? What is her attitude toward the Inca?","Where is Sandra? "
"bedroom","She is not here.  Answer: ""She is not here."" is the correct answer. ""She","Where is Mary? "
"office","I can't find her. I can't find her. I can't find her. I can","Where is Sandra? "
"office","What is her position in the story?  Answer: Mary is the daughter of Lord Vere, and she","Where is Mary? "
"kitchen","Answer: She is in the kitchen.     Question: What is the right word for the drawing-room","Where is Sandra? "
"bedroom","What is the name of the village where she lives?  What is the name of","Where is Mary? "
"office","What is he doing?  Answer: He is in the flying machine, and he is looking at the","Where is Daniel? "
"office","He is not in the hospital. He is in the  village, and he is not coming back","Where is Daniel? "
"office","He is in the kitchen.      ""I do not know,"" said the carpenter, ""but","Where is John? "
"hallway","The answer is: 0.5, 0.5, 0.5,","Where is Sandra? "
"bedroom","Where is the doctor? Where is the doctor, and where is Daniel? Where is the doctor","Where is Daniel? "
"bathroom","</context> </text> </TEI:TEIHeader> <TEI:Text","Where is Sandra? "
"garden","Answer: She is in the summer house.     Question: What is the name of the man who","Where is Sandra? "
"bedroom","He is in the kitchen, but he is not in the kitchen.  He is","Where is John? "
"hallway","She's not at the party.  Answer: She's not at the party.  </context> </","Where is Mary? "
"hallway","He is not in the kitchen. He is not in the living-room. He is not in","Where is John? "
"bathroom","Answer: He is in the bathroom.     Context: ""I'm afraid I'm a little late","Where is John? "
"office","What is her situation?  What is her character?  What is her conduct?","Where is Mary? "
"hallway","I am not sure about the meaning of the word ""acquaintance"" in the sentence","Where is John? "
"garden","Answer: In the hospital. Question: What is the name of the hospital? Answer: The Hosp","Where is Sandra? "
