"target","output","question"
"Jeff","(1 point)  Question: Who did Mary go to? (1 point)  Question: Who did","Who did Fred give the milk to? "
"apple","(1) An apple (2) A pear (3) A plum (4) A peach","What did Mary give to Jeff? "
"Jeff","(1 point)  Question: What is the name of the man who was the first to be saved","Who received the football? "
"milk","What did Fred give to Mary? What did Bill give to Fred? What did Fred give to Bill","What did Mary give to Bill? "
"Jeff","Mary or Jeff?  Answer: Mary received the apple.  Question: What was the name of the man","Who received the apple? "
"Mary","Answer: Mary.","Who gave the milk? "
"Mary","Answer: Mary. Question: Who was the sailor? Answer: Converse. Question: Who was","Who gave the football? "
"milk","A. Milk B. Bread C. Water D. None of the above  Answer: A.","What did Mary give to Jeff? "
"apple","What did Mary do with it?","What did Fred give to Mary? "
"Fred","(0 votes)  Question: Who went to the kitchen? (0 votes)  Question: Who went","Who gave the football to Mary? "
"Fred","Answer: Fred.","Who received the apple? "
"Fred","(1 point)  Question: Who gave the apple? (1 point)  Question: Who was the","Who received the apple? "
"apple","(answer)  Question: What did Fred give to Mary? (answer)  Question: What did Mary","What did Mary give to Fred? "
"Mary","(1) Jeff (2) Fred (3) Bill (4) Mary  Question: Who","Who received the milk? "
"Mary","Mary  Question: Who gave the football to Jeff? Mary  Question: Who gave the football to","Who gave the football to Fred? "
"Bill","Answer: Jeff  Question: What did the Supervisor say about the bed? Answer: It's too","Who received the milk? "
"Jeff","Answer: Jeff.","Who gave the apple to Bill? "
"Bill","Answer: Bill. Question: Who was the man who blew such a blast through the street? Answer","Who gave the milk to Fred? "
"Jeff","Answer: The patient. Question: How much? Answer: Nine quarts. Question: How much","Who received the milk? "
"Fred","Answer: Fred. Question: Who gave the football to Fred? Answer: Mary. Question: Who","Who received the football? "
"Mary","(A) Mary (B) Heywood (C) Rudolph (D) Wu  Answer","Who received the milk? "
"Mary","(1 point)  Question: What is the name of the first person to receive the football? (","Who received the football? "
"Jeff","Answer: Fred.","Who gave the apple? "
"milk","(1 point)  A. A glass of milk B. A glass of wine C.","What did Mary give to Bill? "
"Bill","Mary or Bill?  Answer: Mary received the milk.  Question: Who got the apple? Bill or","Who received the milk? "
