"target","output","question"
"garden","The milk is in the kitchen.","Where is the milk? "
"bedroom","The apple is in the kitchen.","Where is the apple? "
"hallway","The apple is in the kitchen.","Where is the apple? "
"garden","The milk is in the kitchen.","Where is the milk? "
"bathroom","The milk is in the kitchen.","Where is the milk? "
"bedroom","The milk is in the kitchen.","Where is the milk? "
"kitchen","The football is in the kitchen.","Where is the football? "
"garden","The apple is in the kitchen.","Where is the apple? "
"bedroom","The apple is in the kitchen.","Where is the apple? "
"garden","The milk is in the kitchen.","Where is the milk? "
"bedroom","The milk is in the kitchen.","Where is the milk? "
"bathroom","The milk is in the kitchen.","Where is the milk? "
"garden","The football is in the kitchen.","Where is the football? "
"bedroom","The apple is in the kitchen.","Where is the apple? "
"hallway","The apple is in the kitchen.","Where is the apple? "
"garden","The football is in the kitchen.","Where is the football? "
"kitchen","The football is in the garage.","Where is the football? "
"kitchen","The apple is in the kitchen.","Where is the apple? "
"hallway","The milk is in the kitchen.","Where is the milk? "
"bathroom","The milk is in the kitchen.","Where is the milk? "
"hallway","The football is in the kitchen.","Where is the football? "
"bedroom","The apple is in the kitchen.","Where is the apple? "
"bedroom","The milk is in the kitchen.","Where is the milk? "
"garden","The milk is in the kitchen.","Where is the milk? "
"bathroom","The football is in the kitchen.","Where is the football? "
"bedroom","The apple is in the kitchen.","Where is the apple? "
"hallway","The milk is in the kitchen.","Where is the milk? "
"kitchen","The apple is in the kitchen.","Where is the apple? "
"bathroom","The milk is in the kitchen.","Where is the milk? "
"garden","The football is in the kitchen.","Where is the football? "
"bathroom","The apple is in the kitchen.","Where is the apple? "
"bathroom","The milk is in the kitchen.","Where is the milk? "
"hallway","The milk is in the kitchen.","Where is the milk? "
"garden","The football is in the kitchen.","Where is the football? "
"bathroom","The apple is in the kitchen.","Where is the apple? "
"office","The milk is in the kitchen.","Where is the milk? "
"hallway","The football is in the kitchen.","Where is the football? "
"office","The milk is in the kitchen.","Where is the milk? "
"office","The milk is in the kitchen.","Where is the milk? "
"kitchen","The football is in the kitchen.","Where is the football? "
"kitchen","The apple is in the kitchen.","Where is the apple? "
"bathroom","The football is in the kitchen.","Where is the football? "
"office","The milk is in the kitchen.","Where is the milk? "
"bedroom","The milk is in the kitchen.","Where is the milk? "
"bedroom","The milk is in the kitchen.","Where is the milk? "
"bathroom","The football is in the kitchen.","Where is the football? "
"bedroom","The football is in the football field.","Where is the football? "
"kitchen","The football is in the kitchen.","Where is the football? "
"office","The milk is in the kitchen.","Where is the milk? "
"kitchen","The apple is in the kitchen.","Where is the apple? "
