"target","output","question"
"Bill","Answer:  Answer:  Mary gave the milk to Dan. Answer: Dan Answer: Dan","Who did Mary give the milk to? "
"milk","Answer: Answer: milk Okay, let's try to figure out what Mary gave to Fred","What did Mary give to Fred? "
"apple","Answer: a calf Okay, let's try to figure out what the answer is here.","What did Mary give to Jeff? "
"apple","What is the answer? The answer should be one word. Answer: Based on the provided context,","What did Fred give to Bill? "
"Fred","Answer: Answer:  Answer: Tom Answer: Tom Answer: Tom Answer: Tom","Who gave the apple to Mary? "
"Jeff","Answer:  Answer: Mary Answer: Mary gave the football to Charles. Answer: Charles","Who did Mary give the football to? "
"Bill","Answer: Answer: Mary gave the milk to the baby. Okay, let's try to figure","Who did Mary give the milk to? "
"apple","Answer: Answer:  Assistant: The provided context does not mention Fred giving anything to Mary. The","What did Fred give to Mary? "
"apple","Answer: Answer: An apple Answer: An apple Answer: An apple Answer:","What did Fred give to Bill? "
"Bill","Answer:  Answer:  Answer: Mary gave the football to the person who is described as ""the","Who did Mary give the football to? "
"Mary","Answer: The milk was received by Burt.  Okay, let's try to figure out who","Who received the milk? "
"milk","Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer","What did Bill give to Mary? "
"football","Answer: Fred Answer: Fred Answer: Fred Answer: Fred Answer: Fred","What did Jeff give to Fred? "
"Mary","Answer: Bill Okay, let's try to figure out who gave the apple to Bill based","Who gave the apple to Bill? "
"Mary","Answer: Answer: Bill Answer: Bill Answer: Bill Answer: Bill Answer","Who gave the milk to Bill? "
"Mary","Answer: The milk was given by the person who contributed largely to the victories of the Ven.","Who gave the milk? "
"football","Answer:  Answer:  Answer: Mary gave the apple to Bill. Answer: apple Answer:","What did Bill give to Mary? "
"apple","Question: What did Fred give to Bill? Answer: Answer: Answer: Answer: Answer: Answer","What did Fred give to Bill? "
"Bill","Answer: Answer:  Mary gave the apple to Calton. Answer: Calton Answer:","Who did Mary give the apple to? "
"milk","Answer: Answer:  Mary gave the milk to Fred.   Answer: milk Answer: milk","What did Mary give to Fred? "
"Mary","Answer: Answer: John Fairchild Answer: John Fairchild Answer: John Fairchild","Who gave the football? "
"Mary","Question: Who gave the apple? Answer: Answer: Schwitter Okay, let's try to","Who gave the apple? "
"apple","Answer: Answer:  Assistant: The provided text does not mention Fred giving anything to Bill. The","What did Fred give to Bill? "
"Fred","To answer the question, you must find the relevant information in the context above.  Answer: Answer:","Who received the milk? "
"apple","Answer: Answer: apple Okay, let's try to figure out what Bill gave to Mary","What did Bill give to Mary? "
"apple","Answer: Answer:  Assistant: Answer: milk  The answer is derived from the sentence: ""","What did Fred give to Bill? "
"milk","Answer: Answer:  Assistant: milk  The answer is ""milk"".   The context states","What did Jeff give to Fred? "
"Jeff","To whom was the football given? Answer: The football was given to the boy. Answer: The","Who gave the football? "
"Mary","To answer the question, what is the correct answer based on the text provided? Answer: Based on","Who received the football? "
"Jeff","Answer: Answer:  Bill Bill Okay, let's see. The user is asking ""","Who did Bill give the milk to? "
"Jeff","Answer: Answer: Fred  Okay, let's try to figure out who gave the apple to","Who gave the apple to Fred? "
"Jeff","Answer: Bill gave the apple to Ellen. The apple was given to Ellen, and the apple was","Who did Bill give the apple to? "
"Jeff","Answer: Answer:  The answer is: Brown The answer is: Brown The answer is","Who received the apple? "
"apple","Answer: Answer:  Assistant: The answer is not explicitly stated in the provided text. The text","What did Mary give to Fred? "
"Jeff","Answer:  Answer:  To determine who gave the apple, let's analyze the context provided.","Who gave the apple? "
"Bill","The answer should be within the text. The answer should be a name. Answer:  Assistant: Jeff","Who did Jeff give the football to? "
"apple","Answer: Answer:  Answer: an apple Answer: apple Answer: apple Answer:","What did Mary give to Bill? "
"Bill","Answer: Answer: Jennie Okay, let's try to figure out who Fred gave the","Who did Fred give the milk to? "
"Jeff","Answer:  Answer: Bill Answer: Bill Answer: Bill Answer: Bill Answer","Who gave the apple? "
"football","Answer:  Answer:  Assistant: The provided context does not mention Mary giving anything to Fred. The","What did Mary give to Fred? "
"football","Answer: Based on the provided context, there is no information about Jeff giving anything to Mary.","What did Jeff give to Mary? "
"milk","Answer: Answer: Answer: Fred Answer: the milk Answer: the milk Answer","What did Mary give to Fred? "
"Bill","Answer:  Answer:  Based on the provided context, the answer is: Mary gave the milk to","Who gave the milk to Mary? "
"Fred","Answer:  Answer:  Assistant: Mrs. O'Shaughnessy  The answer is Mrs","Who gave the apple? "
"Fred","Answer:  Answer: Bill Okay, let's try to figure out who Bill gave the milk","Who did Bill give the milk to? "
"Fred","Answer: Answer:  Assistant: Alfred  The question asks ""Who did Bill give the apple to","Who did Bill give the apple to? "
"Bill","Based on the provided context, who is the answer? Answer:  Jeff  Based on the provided context","Who did Jeff give the apple to? "
"Mary","Based on the provided context, who did Bill give the milk to? Answer:  Assistant: Based on","Who did Bill give the milk to? "
"Fred","To whom was the milk given? Answer: The milk was given by **Fred** to **Mary","Who gave the milk? "
"Fred","Answer: Jack Answer: Jack Answer: Jack Answer: Jack Answer: Jack","Who gave the football? "
