"target","output","question"
"kitchen","""I'm not sure where the football is."" ""If I'm not sure where the football is","Where is the football? "
"garden","Milk is the milk. Milk is the milk. Milk is the milk. Milk is the milk.","Where is the milk? "
"bedroom","Answer: Where is the apple? Answer: Where is the apple? Answer: Where is the apple","Where is the apple? "
"bedroom","Answer: In the garden. The answer to the question, ""Where is the apple?"" is","Where is the apple? "
"kitchen","A tree. A fruit. A nut. A tree. A fruit. A nut. A tree","Where is the apple? "
"hallway","Answer: In the garden. Question: Where is the apple? Answer: In the garden. Question","Where is the apple? "
"kitchen","Answer: In the fridge. Question: Where is the milk? Answer: In the fridge. Question","Where is the milk? "
"garden","Where is the milk? Where is the milk? Where is the milk? Where is the milk?","Where is the milk? "
"bedroom","[Answer: “Wo ist die Milch?”]      [Footnote 15: “Wo","Where is the milk? "
"bathroom","In the bathroom. Question: Where is the milk? In the bathroom. Question: Where is the","Where is the milk? "
"bathroom","Answer: In the hall. Question: Where is the basketball? Answer: In the hoop. Question","Where is the football? "
"bedroom","'Well, if they won't 'have' it, I'm sure I don't know what","Where is the milk? "
"bathroom","""In the garden, in the garden, in the garden, in the garden, in the garden","Where is the apple? "
"kitchen","Answer: Where is the football? Answer: Where is the football? Answer: Where is the football","Where is the football? "
"bedroom","Answer: A tree. Question: Where is the banana? Answer: A tree. Question: Where","Where is the apple? "
"garden","A tree is a fruit. A branch is a leaf. A branch is a fork. A branch","Where is the apple? "
"bedroom","""I thought I should take you home to-night, Margaret,"" David said; ""you never gave","Where is the football? "
"bedroom","In the garden Question: Where is the apple? In the garden Question: Where is the","Where is the apple? "
"garden","""I don't know where the milk is."" ""I don't know where the milk is.""","Where is the milk? "
"garden","Milk is the milk of the milk of milk. Milk is the milk of the milk of milk.","Where is the milk? "
"office","Answer: In the fruit. The fruit of the apple is the fruit of the tree. The","Where is the apple? "
"bedroom","Answer: In the fridge. Question: Where is the milk? Answer: In the fridge. Question","Where is the milk? "
"garden","In the case of the milk, the milk was in the milk. In the case of the milk","Where is the milk? "
"bathroom","The milk is in the fridge. The milk is in the fridge. The milk is in the fridge","Where is the milk? "
"office","""I'm not sure where the apple is,"" she said. ""I'm not sure where the","Where is the apple? "
"garden","In the hallway. Answer: In the hallway.  Question: Where is the football? In the hallway","Where is the football? "
"garden","Where is the football? Where is the football? Where is the football? Where is the football?","Where is the football? "
"bedroom","Answer: In the garden. Question: Where is the banana? Answer: In the fruit bowl.","Where is the apple? "
"hallway","Answer: In the eye of the beholder. Question: Where is the eye? Answer: In","Where is the apple? "
"hallway","Answer: In the apple. Question: Where is the apple? Answer: In the apple. Question","Where is the apple? "
"hallway","Answer: In the garden. Question: Where is the garden? Answer: In the garden. Question","Where is the apple? "
"garden","Answer: In the end zone. ""Where is the end zone?"" ""In the end zone.""","Where is the football? "
"hallway","""A rose by any other name is a rose by any other name is a rose by any other","Where is the apple? "
"kitchen","Answer: Where is the football? Answer: Where is the football? Answer: Where is the football","Where is the football? "
"hallway","Answer: Where is the milk? Answer: Where is the milk? Answer: Where is the milk","Where is the milk? "
"kitchen","--The answer is, ""Where is the apple?"" --The answer is, ""Where is the","Where is the apple? "
"office","Where is the milk? Where is the milk? Where is the milk? Where is the milk?","Where is the milk? "
"hallway","“I don’t know,” he said with a </context>  Question: Where is the milk","Where is the milk? "
"bathroom","Answer: In the case of the milk. We must now inquire into the quantities of milk necessary;","Where is the milk? "
"bathroom","""In the land of milk and honey,"" he said. ""In the land of milk and honey","Where is the milk? "
"bathroom","In the end zone </context>  Question: Where is the football? In the end zone","Where is the football? "
"hallway","In the hallway. Answer: Where is the football? In the hallway. Question: Where is the","Where is the football? "
"garden","In the garden, the apple is found. ""And the apple of his eye, the apple of","Where is the apple? "
"bedroom","Answer: On the tree. Question: Where is the apple? Answer: On the tree. Question","Where is the apple? "
"kitchen","Milk is where the milk is.  Question: Where is the milk? Milk is where the milk is","Where is the milk? "
"bedroom","""Where is the milk?"" ""Where is the milk?"" ""Where is the milk?"" ""Where","Where is the milk? "
"hallway","Answer: In the garden. Question: Where is the apple? Answer: In the garden. Question","Where is the apple? "
"garden","Where is the milk? Answer: Where is the milk? Where is the milk? Answer: Where","Where is the milk? "
"kitchen","Where is the ball? Where is the ball? Where is the ball? Where is the ball?","Where is the football? "
"bathroom","""Well, I suppose that is one of the penalties of having brothers. They had now left the","Where is the football? "
"garden","The milk is in the fridge. The milk is in the fridge. The milk is in the fridge","Where is the milk? "
"bedroom","In the garden. Answer: Where is the apple? In the garden. Question: Where is the","Where is the apple? "
"hallway","(From where is the milk?) (From where is the milk?) (From where is the milk","Where is the milk? "
"hallway","In the refrigerator Answer: Where is the milk? In the refrigerator Answer: Where is the","Where is the milk? "
"office","Where is the milk? Where is the milk? Where is the milk? Where is the milk?","Where is the milk? "
"kitchen","Answer: In the garden. Question: Where is the apple? Answer: In the garden. Question","Where is the apple? "
"bathroom","Answer: In the butter. Question: Where is the butter? Answer: In the milk. Question","Where is the milk? "
"bathroom","Answer: In the refrigerator. [42]  Question: Where is the milk? Answer: In the","Where is the milk? "
"office","In the end zone.  Answer: Where is the football? In the end zone.  Question: Where","Where is the football? "
"garden","Answer: In the end zone. Question: Where is the football? Answer: In the end zone","Where is the football? "
"kitchen","2, 3, 4, 5, 6, 7, 8","Where is the apple? "
"bathroom","Answer: In the garden. Question: Where is the garden? Answer: In the fruit. Question","Where is the apple? "
"garden","""I see--yes, you told me that long ago--I understand, _chiquita","Where is the football? "
"bathroom","In the fridge. Where is the milk? In the fridge. Where is the milk? In the","Where is the milk? "
"bathroom","""I don't know where to put the milk."" ""I don't know where to put the","Where is the milk? "
"hallway","""I cannot tell you where it is."" ""I cannot tell you where it is."" ""I","Where is the milk? "
"bedroom","In the goal.  Question: Where is the football? In the goal.  Question: Where is the","Where is the football? "
"garden","Answer: In the end zone. Question: Where is the baseball? Answer: In the end zone","Where is the football? "
"bedroom","In the end, the Inquisition was a thing of the past, and the Inquisition was","Where is the football? "
"bathroom","""I'm not thinking of something else, I'm thinking--well, I won't tell you","Where is the apple? "
"garden","Answer: Where is the milk? Answer: Where is the milk? Answer: Where is the milk","Where is the milk? "
"office","The milk is in the fridge. The milk is in the fridge. The milk is in the fridge","Where is the milk? "
"office","""You are a shrewd little girl,"" declared Frank; ""and you are dead </","Where is the football? "
"hallway","In the air. Answer: Where is the football? In the air. Question: Where is the","Where is the football? "
"garden","In the end zone. Answer: In the end zone. Question: Where is the football? In","Where is the football? "
"office","""I do not know where the milk is,"" I muttered, feeling a new and yet more fearful","Where is the milk? "
"kitchen","In the office. Answer: Where is the football? In the office. Question: Where is the","Where is the football? "
"office","Where is the milk? Where is the milk? Where is the milk? Where is the milk?","Where is the milk? "
"kitchen","[294] the apple of thy eye,     And the eye of thy apple,     And the","Where is the apple? "
"kitchen","""If we are bound for the head of the lake,"" said Simon to his friend, ""we","Where is the football? "
"office","Answer: Under the goalposts. There is another question, where is the football? Answer: Under","Where is the football? "
"kitchen","In the garden of Eden. To the fruit of thy loins. [609] Hence, the","Where is the apple? "
"office","Answer: Where is the apple? Answer: Where is the apple? Answer: Where is the apple","Where is the apple? "
"bathroom","Where is the football? Where is the football? Where is the football? Where is the football?","Where is the football? "
"bathroom","Answer: In the goal. Question: Where is the football? Answer: In the goal. Question","Where is the football? "
"office","Answer: In the cheese. Question: Where is the milk? Answer: In the cheese. Question","Where is the milk? "
"bathroom","Answer: Under the tree. Question: Where is the apple? Answer: Under the tree. Question","Where is the apple? "
"bedroom","""I am going ahead two years. Two years during which a nation struggled in agony with sickness,","Where is the milk? "
"hallway","Answer: In the garden. Question: Where is the apple? Answer: In the garden. Question","Where is the apple? "
"bedroom","Answer: In the refrigerator. Question: Where is the milk? Answer: In the refrigerator. Question","Where is the milk? "
