"target","output","question"
"apple","Answer: Apple </context>  Okay, let's tackle this question. The user is asking","What did Mary give to Jeff? "
"Bill","Answer: Mary gave the milk to Bill.   </context> Answer: Bill Answer:","Who did Mary give the milk to? "
"Mary","Answer: Answer: Fred Answer: Mary Answer: Jeff Answer: Sam Answer","Who received the milk? "
"Mary","Answer: Mary Answer: Mary Answer: Mary Answer: Mary Answer: Mary","Who gave the milk to Bill? "
"Bill","Answer: Jeff <context> Mary moved to the bathroom. Jeff journeyed to the kitchen. Jeff","Who did Mary give the apple to? "
"apple","Answer: apple Okay, let's tackle this question. The user is asking what Fred gave","What did Fred give to Bill? "
"milk","Answer: Answer: milk Answer: milk Answer: milk Answer: milk Answer","What did Jeff give to Fred? "
"Jeff","Answer: Jeff Okay, let's try to figure out who gave the apple to Fred based","Who gave the apple to Fred? "
"Jeff","Answer: Bill Bill Bill Bill Bill Bill Bill Bill Bill","Who gave the apple? "
"Jeff","Answer: Bill </context> Okay, let's see. The question is asking who gave","Who gave the apple? "
"Bill","Answer: Mary Answer: Mary Answer: Mary Answer: Mary Answer: Mary","Who gave the milk to Mary? "
"Bill","Answer: Jeff </context> Okay, let's tackle this question. The user is asking","Who did Jeff give the apple to? "
