"target","output","question"
"Jeff","(and why?)  Shirley said, ""I'm going to have a look at the v","Who did Fred give the milk to? "
"apple","(1 point) The correct answer is: A kiss. The correct answer is: A kiss.","What did Mary give to Jeff? "
"Jeff","The","Who received the football? "
"milk","What did Bill give to Mary?  The first thing that came to my mind was that he gave her","What did Mary give to Bill? "
"Jeff","""I'm going to tell you a story."" ""I'm going to tell you a story.""","Who received the apple? "
"Mary","The answer is: The cow. The question is: Who gave the milk? The answer is:","Who gave the milk? "
"Mary","""I did,"" said Mr. Smith, ""and I'm going to give it to you","Who gave the football? "
"milk","(1) Answer: A towel (1) Question: What did Mary give to Jeff","What did Mary give to Jeff? "
"apple","""I would 'a ben down and out, but you give me this little ban', Miss Amy","What did Fred give to Mary? "
"Fred","What was the name of the girl who was with her? What was the name of the girl","Who gave the football to Mary? "
"Fred","The answer is: Adam. The question is: Who received the apple? The answer is:","Who received the apple? "
"Fred","[example] </example>  The example is repeated in the text, but the answer is not given","Who received the apple? "
"apple","What did she promise? Answer: She gave him a ring and promised to marry him.  Question:","What did Mary give to Fred? "
"Mary","Answer: The milk was received by the Pope. Question: Who received the wine? Answer:","Who received the milk? "
"Mary","Mary gave the football to Fred.","Who gave the football to Fred? "
"Bill","The answer is that the Uitlanders, who are the only people in the country who are","Who received the milk? "
"Jeff","Answer: Jeff. The apple was given to Bill by Jeff. The apple was given to Bill by","Who gave the apple to Bill? "
"Bill","(Blore, Mrs. I'm, or Bill) Question: Who","Who gave the milk to Fred? "
"Jeff","The boy, the servant, or the servant’s son?  Question: What did the servant’s son","Who received the milk? "
"Fred","What did he do with it? ""Frank! I am glad to see you!"" cried the boy","Who received the football? "
"Mary","The child, of course. But the milk was not for the child. It was for","Who received the milk? "
"Mary","Answer: The ball was received by the French Canadian, who was standing on the Canadian side of","Who received the football? "
"Jeff","<answer> The prince. <example> ""The prince,"" said the prince","Who gave the apple? "
"milk","""A little man I shot at, who had just peeped out from behind his target,","What did Mary give to Bill? "
"Bill","(and why?)  </question>  The answer is: ""The wet--the wet--the wet","Who received the milk? "
