"target","output","question"
"kitchen","Answer: The most recent location of Sandra is kitchen. Do not write anything else after that.  <","Where is Sandra? "
"office","Answer: The most recent location of John is office. Do not write anything else after that.  <","Where is John? "
"bedroom","Answer: The most recent location of John is bedroom. Do not write anything else after that.  <","Where is John? "
"bathroom","Answer: The most recent location of Sandra is bathroom.  <question> Sandra moved to the kitchen","Where is Sandra? "
"office","Answer: The most recent location of Daniel is office. Do not write anything else after that.  <","Where is Daniel? "
"bedroom","Answer: The most recent location of Mary is bedroom.  <question> Mary travelled to the bedroom.","Where is Mary? "
"garden","Answer: The most recent location of Mary is garden. Do not write anything else after that.  <","Where is Mary? "
"garden","Answer: The most recent location of Sandra is garden.  <question> Sandra went to the garden","Where is Sandra? "
"kitchen","Answer: The most recent location of Sandra is kitchen.  <question> Sandra moved to the garden","Where is Sandra? "
"garden","Answer: The most recent location of John is garden. Do not write anything else after that.  <","Where is John? "
"kitchen","Answer: The most recent location of Sandra is kitchen. Do not write anything else after that.  <","Where is Sandra? "
"office","Answer: The most recent location of Sandra is bedroom. Do not write anything else after that.  <","Where is Sandra? "
"bedroom","Answer: The most recent location of Sandra is bedroom. Do not write anything else after that.  <","Where is Sandra? "
"garden","Answer: The most recent location of John is garden. Do not write anything else after that.  <","Where is John? "
"hallway","Answer: The most recent location of John is bedroom. Do not write anything else after that.  <","Where is John? "
"kitchen","Answer: The most recent location of Sandra is kitchen. Do not write anything else after that.  <","Where is Sandra? "
"garden","Answer: The most recent location of Sandra is garden. Do not write anything else after that.  <","Where is Sandra? "
"bathroom","Answer: The most recent location of Sandra is garden. Do not write anything else after that.  <","Where is Sandra? "
"office","Answer: The most recent location of Daniel is office. Do not write anything else after that.  <","Where is Daniel? "
"office","Answer: The most recent location of John is office.  <question> Sandra went to the garden","Where is John? "
"hallway","Answer: The most recent location of Daniel is hallway. Do not write anything else after that.  <","Where is Daniel? "
"bathroom","Answer: The most recent location of Daniel is garden. Do not write anything else after that.  <","Where is Daniel? "
"garden","Answer: The most recent location of Sandra is garden. Do not write anything else after that.  <","Where is Sandra? "
"kitchen","Answer: The most recent location of Daniel is kitchen. Do not write anything else after that.  <","Where is Daniel? "
"bedroom","Answer: The most recent location of John is bedroom. Do not write anything else after that.  <","Where is John? "
