"target","output","question"
"Jeff","Jeff, the  parents, Jeff, the  parents, Jeff, the  parents","Who did Fred give the football to? "
"Bill","are a great one to the","Who did Mary give the milk to? "
"Jeff","Bill, Fred went to the hallway, Fred went to the hallway, Fred went to the hallway,","Who did Fred give the milk to? "
"milk","the milk, Jeff, Jeff, the","What did Mary give to Fred? "
"Fred","are the","Who received the milk? "
"apple","the apple, Jeff, the apple, Jeff, the apple, Jeff, the apple, Jeff,","What did Mary give to Jeff? "
"apple","is the apple that day, the   the      the","What did Mary give to Jeff? "
"apple","the apple, Jeff the  the  the  the  the","What did Fred give to Bill? "
"Jeff","are the same,","Who gave the milk to Fred? "
"Fred","is a","Who gave the apple to Mary? "
"Jeff","is the air  the","Who received the football? "
"Jeff","the apple, and the first, and the morning, and the first, and the morning, and","Who did Mary give the football to? "
"milk","the e, the","What did Mary give to Bill? "
"Bill","","Who did Mary give the milk to? "
"milk","the","What did Mary give to Bill? "
"apple","the   the","What did Fred give to Mary? "
"Mary","Mary to the kitchen, and the to the to the to the","Who received the football? "
"apple","(R)","What did Fred give to Bill? "
"Jeff","","Who received the apple? "
"Bill","are the  the","Who did Mary give the football to? "
"Fred","He had the","Who gave the milk to Jeff? "
"Mary","are the the day, the  the  the  the","Who received the milk? "
"Mary","He is about the hand, her the hand the hand the hand the hand","Who gave the milk? "
"milk","the apple, Jeff the  the  the  the  the","What did Bill give to Mary? "
"milk","are","What did Jeff give to Bill? "
"football","the , the","What did Jeff give to Fred? "
"Mary","is a","Who gave the football? "
"Mary","are the the e that the apple the the the the","Who gave the apple to Bill? "
"Fred","At the","Who received the apple? "
"Mary","the apple, the day, the apple, the day,","Who gave the milk to Bill? "
"milk","the one, the house, the","What did Mary give to Jeff? "
"Mary","are the same,","Who gave the milk? "
"Fred","is the  the","Who gave the apple to Mary? "
"football","the apple","What did Bill give to Mary? "
"apple","the","What did Fred give to Mary? "
"apple","the   the","What did Fred give to Bill? "
"Jeff","is a","Who gave the milk? "
"Bill","I the","Who did Mary give the apple to? "
"Fred","the apple the  the  the  the  the  the","Who gave the football to Mary? "
"milk","the  the yellow the  the  the  the  the","What did Mary give to Fred? "
"milk","the","What did Fred give to Mary? "
"Mary","He a","Who gave the football? "
"Fred","is the most likely, Jeff, and the apple, Jeff, the day, and the apple,","Who received the apple? "
"Mary","to the","Who gave the apple? "
"Fred","are the ones, the  the  the   the   the","Who gave the apple to Bill? "
"apple","the apple, Fred went to the","What did Fred give to Bill? "
"Fred","Fred went to the","Who received the apple? "
"Fred","Jeff the","Who received the milk? "
"Mary","are, that the","Who received the football? "
"apple","the apple  the","What did Bill give to Mary? "
"apple","the King, the King, the","What did Mary give to Fred? "
"apple","the apple, that morning, she was not to","What did Fred give to Bill? "
"apple","the airplane, the that he is not the the the the the the","What did Fred give to Bill? "
"milk","(the apple, when the","What did Jeff give to Fred? "
"Mary","are the","Who received the milk? "
"Jeff","the New, the The only one, the day, the New, the other, the New","Who gave the football? "
"Bill","are the","Who gave the football to Fred? "
"Mary","are the","Who received the football? "
"Mary","the  (the   at the","Who gave the football to Fred? "
"Jeff","are,","Who did Bill give the milk to? "
"Fred","the a is the  the  the  the  the","Who gave the football to Jeff? "
"Jeff","Jeff the","Who gave the apple to Fred? "
"Bill","A great the apple,","Who received the milk? "
"Jeff","The kitchen, and the apple, and the apple, the apple, and the apple, the apple","Who did Bill give the apple to? "
"milk","the apple  the","What did Mary give to Fred? "
"Jeff","(t","Who received the apple? "
"Jeff","(A)  Jeff is the","Who gave the apple to Bill? "
"apple","the day, the mother was able to the mother, the day, the mother was able to","What did Mary give to Fred? "
"Bill","the A, A, A, A, A, A, A, A, A, A","Who did Fred give the apple to? "
"Jeff","the day, the    the","Who gave the apple? "
"Bill","is the  X X  X X X X X X","Who gave the milk to Fred? "
"Bill","(A)           apple","Who did Jeff give the football to? "
"Fred","","Who gave the milk? "
"apple","the e the aim to the aim the aim the","What did Mary give to Bill? "
"Jeff","","Who received the milk? "
"Bill","are the ones, the  the  the  the  the  the","Who did Fred give the milk to? "
"Bill","the","Who gave the apple? "
"Jeff","are the    the","Who gave the apple? "
"Fred","is the one, the","Who received the football? "
"football","the","What did Mary give to Fred? "
"Mary","the    the","Who did Jeff give the apple to? "
"football","the one  the","What did Jeff give to Mary? "
"Mary","are the that day, the  the   the   the","Who received the milk? "
"milk","the feline,","What did Mary give to Fred? "
"Mary","the","Who gave the milk? "
"Bill","The Apple,","Who gave the milk to Mary? "
"Mary","that she was the   the  that","Who received the football? "
"Fred","is the same,","Who gave the apple? "
"Bill","the","Who gave the milk to Fred? "
"Fred","are the the the the are the the the the the","Who gave the milk? "
"Bill","the  the","Who gave the apple? "
"apple","the apple, and the","What did Fred give to Bill? "
"Fred","At the Jeff the apple Jeff the apple Jeff the","Who did Mary give the apple to? "
"Bill","(the)","Who gave the apple? "
"Bill","is the age, the apple, who are able to the  the day, the","Who gave the milk to Mary? "
"Mary","is the most  (the) is a","Who gave the football? "
"football","the mor the","What did Jeff give to Bill? "
"Fred","The","Who gave the milk? "
"Fred","Bill,","Who did Bill give the apple to? "
"football","the apple","What did Mary give to Bill? "
