"target","output","question"
"kitchen","Answer: She is in the kitchen. Question: Where is Sandra? Answer: She is in","Where is Sandra? "
"office","Answer: He is in the village, and, if you want him, you can find him","Where is John? "
"bedroom","Answer: Where is John? Question: Where is John? Answer: Where is John? Question:","Where is John? "
"bathroom","Answer: She is in the kitchen. Question: What is Sandra doing? Answer: She is","Where is Sandra? "
"office","Answer: He is in the garden. Question: What is he doing? Answer: He is","Where is Daniel? "
"bedroom","Answer: She is in the circus tent, and she is going to jump over the fence forty","Where is Mary? "
"garden","Answer: She's gone to the theatre. Question: What theatre? Answer: The one where Max","Where is Mary? "
"garden","Answer: She's gone to church. Question: What church? Answer: The one where the","Where is Sandra? "
"kitchen","Answer: She is still in the fire, and Smuttie is still holding her head.","Where is Sandra? "
"garden","Answer: He is in the library. Question: Where is Mrs. Vance? Answer: She","Where is John? "
"kitchen","Answer: She is in the kitchen, sir,. She is in the kitchen, sir,","Where is Sandra? "
"office","Answer: She’s gone up to the house. Question: What’s she doing up there? Answer","Where is Sandra? "
"bedroom","_Ham._                   At home, I think. _Reg._                   At home, I think.","Where is Sandra? "
"garden","Answer: In the kitchen. Question: What is he doing? Answer: Nothing. Question: How","Where is John? "
"hallway","Answer: In the kitchen. Question: Where is John? Answer: In the kitchen. Question","Where is John? "
"kitchen","Answer: She is in the kitchen. Question: Where    is Sandra? Answer: She is","Where is Sandra? "
"garden","Answer: She is in the kitchen. Question: Where is Sandra? Answer: She is in the","Where is Sandra? "
"bathroom","Answer: She is in the bathroom. Question: What is the matter with her? Answer: She","Where is Sandra? "
"office","Where is Daniel? Where is Daniel? Where is Daniel? Where is Daniel? Where is Daniel?","Where is Daniel? "
"office","Answer: In the kitchen. Question: Where is John? Answer: In the kitchen. Question","Where is John? "
"hallway","Answer: In the garden. Question: Where is Sandra? Answer: In the kitchen. Question:","Where is Daniel? "
"bathroom","Answer: In bed. Question: Why is Daniel in bed? Answer: Because he is ill.","Where is Daniel? "
"garden","Answer: She's gone to bed. Question: Where is Sandra? Answer: She's gone to","Where is Sandra? "
"kitchen","Answer: In the Castle. Question: Where is Daniel? Answer: In the Castle. Question","Where is Daniel? "
"bedroom","Answer: In the garden. Question: Where is John? Answer: In the garden. Question","Where is John? "
