"target","output","question"
"Jeff","Answer:  Answer:  Jeff Answer:  Jeff Answer:  Jeff Answer:  Jeff Answer","Who did Fred give the football to? "
"Fred","Choices:  A) Mary B) Fred C) Jeff D) Maggie","Who received the milk? "
"Jeff","Answer:  Jeff Okay, let's try to figure out who gave the milk to Fred based","Who gave the milk to Fred? "
"milk","Answer:  Answer:  Answer:  Answer:  Answer:  Answer:  Answer:  Answer:  Answer:  Answer","What did Mary give to Bill? "
"Mary","Answer: Mary <context> One shrapnel shell burst right in the centre of Captain","Who received the football? "
"Fred","Answer:  Jeff Okay, let's try to figure out who gave the milk to Jeff based","Who gave the milk to Jeff? "
"milk","Answer:  Jeff gave the milk to Bill. So the answer is milk. But wait, the","What did Jeff give to Bill? "
"Fred","Answer:  Mary Okay, let's try to figure out who received the apple based on the","Who received the apple? "
"Fred","Answer:  Fred  Okay, let's try to figure out who gave the apple to Mary based","Who gave the apple to Mary? "
"Jeff","Answer:  Mary Mary grabbed the milk there. Mary passed the milk to Jeff. Jeff handed","Who gave the milk? "
"milk","Answer:  To determine what Fred gave to Mary, I need to analyze the context provided and identify","What did Fred give to Mary? "
"Fred","The answer is: Mary <context> Mary gave the apple to Bill. Fred moved to the kitchen","Who gave the apple to Bill? "
"Mary","Answer:  Assistant's answer: Bill Okay, let's tackle this question. The user is","Who received the football? "
"apple","The answer is apple. Okay, let's tackle this question. The user is asking, ""What","What did Fred give to Bill? "
"Bill","Answer:  Bill Okay, let's tackle this question. The user is asking, ""Who","Who gave the football to Fred? "
"Fred","Answer:  Jeff <context> Jeff got the football there. Jeff passed the football to Fred.","Who gave the football to Jeff? "
"milk","Answer:  Assistant: apple  Okay, let's tackle this question. The user is asking,","What did Mary give to Fred? "
"Bill","Answer:  Answer:  Bill Answer:  Bill Answer:  Bill Answer:  Bill Answer","Who did Fred give the apple to? "
"Fred","Answer:  Jeff Okay, let's try to figure out who gave the milk based on the","Who gave the milk? "
"Bill","Answer:  Mary Answer: Mary Answer: Mary Answer: Mary Answer: Mary","Who gave the apple? "
"Mary","Answer:  Answer: Mary Answer: Mary Answer: Mary Answer: Mary Answer","Who did Jeff give the apple to? "
"Mary","Answer:  Answer:  Fred Answer:  Fred Answer:  Fred Answer:  Fred Answer","Who gave the milk? "
"milk","Answer:  To determine what Fred gave to Bill, I need to analyze the context provided and identify","What did Fred give to Bill? "
"Bill","Answer:  Bill Okay, let's try to figure out who gave the football to Jeff based","Who gave the football to Jeff? "
"Mary","Mary or Fred? Answer:  Mary Mary gave the milk to Bill. Mary gave the milk to","Who gave the milk to Jeff? "
