"target","output","question"
"bedroom","Where is the apple?  Answer: Where is the apple? Where is the apple?  Question: Where","Where is the apple? "
"garden","Milk is in the milk.  Answer: Milk is in the milk.  Question: Where is the milk","Where is the milk? "
"bedroom","Milk is in the fridge. Milk is in the fridge. Milk is in the fridge. Milk is","Where is the milk? "
"garden","Answer: In the kitchen. And he killed more than half the men single-handed. By this","Where is the apple? "
"garden","Answer: In the milkmaid’s lap.  Question: Where is the milk? Answer: In the","Where is the milk? "
"bathroom","Milk is in the fridge.  Question: Where is the milk? Milk is in the fridge.  Question","Where is the milk? "
"bedroom","Where is the apple? Where is the apple?  Answer: It is in the garden. It is","Where is the apple? "
"garden","I can't find it.  <answer> It's in the middle of the page, just above","Where is the football? "
"kitchen","Where is the apple?  Answer: The apple is in the illustration.  Question: Where is the apple","Where is the apple? "
"bathroom","Milk was in the bedroom. Milk was in the bedroom. Milk was in the bedroom. Milk was","Where is the milk? "
"bedroom","(Context)  Answer: In her bosom. (Context)  Question: Where is the apple?","Where is the apple? "
"garden","Milk is in the fridge. </question>  Question: Where is the milk? Milk is in the","Where is the milk? "
"bedroom","Answer: In the garden. Question: Where is the apple? Answer: In the garden. Question","Where is the apple? "
"kitchen","Answer: In the garden. Question: Where is the apple? Answer: In the garden. Question","Where is the apple? "
"garden","Answer: In the garden.  Question: Where is the garden? Answer: In the middle of the","Where is the football? "
"bathroom","Milk is in the milk.  Question: Where is the milk? Milk is in the milk.  Question","Where is the milk? "
"garden","Answer: In the middle of the page. Question: Where is the football? Answer: In","Where is the football? "
"office","Answer: In the fridge. Question: Where is the milk? Answer: In the fridge. Question","Where is the milk? "
"office","Milk is in the fridge. Milk is in the fridge. Milk is in the fridge.","Where is the milk? "
"kitchen","Where is the football?  Answer: The football is in the stadium. The football is in the stadium","Where is the football? "
"bathroom","Answer: On the pitch.  <Context>  Context: I can’t believe my eyes. I can","Where is the football? "
"bedroom","Milk is in the refrigerator.  Answer: Where is the milk? Milk is in the refrigerator.  Question","Where is the milk? "
"bathroom","Where is the football? Where is the football? Where is the football? Where is the football?","Where is the football? "
"kitchen","Answer: In the wood.  Question: Where is the football? Answer: In the wood.  Question","Where is the football? "
"kitchen","Answer: In the garden.  Question: Where is the apple? Answer: In the garden.  Question","Where is the apple? "
