"target","output","question"
"Jeff","Answer: Jeff.  Question: Who went back to the hallway? Answer: Mary.  Question: Who","Who did Fred give the milk to? "
"apple","Answer: The apple. Question: What did Jeff give to Mary? Answer: The apple. Question","What did Mary give to Jeff? "
"Jeff","Answer: Mary. Question: Who received the apple? Answer: Jeff. Question: Who received","Who received the football? "
"milk","Answer: Milk. Question: What did Bill give to Mary? Answer: The apple. Question:","What did Mary give to Bill? "
"Jeff","Answer: Mary. Question: Who passed the apple to Mary? Answer: Jeff. Question: Who","Who received the apple? "
"Mary","Answer: Mary. Question: Who gave the milk? Answer: Mary. Question: Who gave the","Who gave the milk? "
"Mary","Answer: Jeff. Question: Who took the milk? Answer: Mary. Question: Who handed the","Who gave the football? "
"milk","Answer: Milk. Question: What did Jeff do with the milk? Answer: He dropped it.","What did Mary give to Jeff? "
"apple","Answer: The apple. Mary passed the apple to Fred. Mary went back to the bathroom. It","What did Fred give to Mary? "
"Fred","Answer: Fred. Question: Who gave the football to Mary? Answer: Fred. Question: Who","Who gave the football to Mary? "
"Fred","Jeff, Fred, or the milk?  Answer: Jeff.  </answer>  </question>  <question","Who received the apple? "
"Fred","Answer: Fred. Question: Who gave the apple? Answer: Bill. Question: Who travelled to","Who received the apple? "
"apple","Answer: An apple. Question: What did Fred give to Mary? Answer: A kiss. Question","What did Mary give to Fred? "
"Mary","Answer: Mary. Question: Who gave the milk? Answer: Bill. Question: Who picked up","Who received the milk? "
"Mary","Answer: Mary. Question: Who went to the garden? Answer: Fred. Question: Who went","Who gave the football to Fred? "
"Bill","Answer: Bill. Question: Who received the apple? Answer: Mary. Question: Who received the","Who received the milk? "
"Jeff","Answer: Jeff. 148: ""I'll go and see if I can find him.""--","Who gave the apple to Bill? "
"Bill","Answer: Bill. Question: Who gave the milk to Bill? Answer: Fred. Question: Who","Who gave the milk to Fred? "
"Jeff","Answer: The poor.  Question: What did the Rev. Jeff put down? Answer: The milk","Who received the milk? "
"Fred","Answer: Mary gave the football to Fred.  </question>  </context>  </s1>  </","Who received the football? "
"Mary","Answer: Mary. Question: What did Mary do with the milk? Answer: She put it down","Who received the milk? "
"Mary","Answer: Mary.  Question: What did the doctor do? Answer: He grumbled and swore.","Who received the football? "
"Bill","Answer: Bill. Question: Who gave the apple? Answer: Bill. Question: Who gave the","Who gave the apple? "
"Bill","Answer: The cow. Question: Who gave the milk to the cow? Answer: The","Who gave the milk to Mary? "
"Fred","Answer: Fred.  Question: What did Fred do with the apple? Answer: He left it there","Who did Bill give the apple to? "
