"target","output","question"
"Jeff","(A) Fred gave the football to Mr. Talbot. (B) Fred gave the football","Who did Fred give the football to? "
"Bill","Mary gave the milk to the </context>  Answer: Mary gave the milk to the","Who did Mary give the milk to? "
"Jeff","A: Mary","Who did Fred give the milk to? "
"milk","(Anon.)","What did Mary give to Fred? "
"Fred","(2011)  The milk is a problem. The milk is a problem. The milk is a","Who received the milk? "
"apple","(ANS) (Or ""What did Mary give to Jeff?"" (ANS) (Or ""","What did Mary give to Jeff? "
"apple","(Q 1.1.1)  Answer: Mary gave to Jeff (Q 1.","What did Mary give to Jeff? "
"apple","(ID: 103)","What did Fred give to Bill? "
"Jeff","(We are not sure.)  Answer: The milk was given by the milkman.","Who gave the milk to Fred? "
"Fred","(The Apple, 2006)  Answer: The Apple is a 2006 Japanese anime series","Who gave the apple to Mary? "
"Jeff","(M. Rodin)","Who received the football? "
"Jeff","(We don't know the answer to this question.) (A: Who did Mary give the","Who did Mary give the football to? "
"milk","(A: I'm not sure. I'm just a little bit behind.) ""I'm","What did Mary give to Bill? "
"Bill","Mary gave the milk to Aunt Gertrude.","Who did Mary give the milk to? "
"milk","(A) A single word. (A) A single word.","What did Mary give to Bill? "
"apple","(We don't know the answer to that.) </context>  Answer: What did Fred give to","What did Fred give to Mary? "
"Mary","Answer: The </context>  Question: What is the age of the </context>  Question","Who received the football? "
"apple","(A: The Mysterious Stranger)","What did Fred give to Bill? "
"Jeff","(Wikipedia)  Answer: The apple was received by the French consul at Cairo, M. de","Who received the apple? "
"Bill","Mary gave the football to Mary.","Who did Mary give the football to? "
"Fred","(WWI, 1915)  Answer: Jeff (WWI, 1915)  </","Who gave the milk to Jeff? "
"Mary","The answer to the previous question was: K.","Who received the milk? "
"Mary","(2005)  Answer: The milk was given by the 2005.","Who gave the milk? "
"milk","(We are unsure of the exact date of the sale of February 14, 1900,","What did Bill give to Mary? "
"milk","(A: What did Jeff give to Bill?)","What did Jeff give to Bill? "
"football","(2008-05-31)  Answer: The 4th of May, 2008","What did Jeff give to Fred? "
"Mary","(A) The Osteopath. In the meanwhile     watch the patient's general health,","Who gave the football? "
"Mary","(A: The Boer War)","Who gave the apple to Bill? "
"Fred","(2008)  Answer: The horse was the only interest of those around him, from Lord","Who received the apple? "
"Mary","The answer is unknown.","Who gave the milk to Bill? "
"milk","A+","What did Mary give to Jeff? "
"Mary","(Unknown)","Who gave the milk? "
"Fred","(WW1E 1)","Who gave the apple to Mary? "
"football","A: The only paper of any prominence that opposed the passage of the amendment was the Minnesot","What did Bill give to Mary? "
"apple","(AWE)  Answer: The answer to the question is that the residents of the Capital City","What did Fred give to Mary? "
"apple","(1945)","What did Fred give to Bill? "
"Jeff","(2015)  Answer: The milk was given by a German company.","Who gave the milk? "
"Bill","Mary gave the apple to Mary.","Who did Mary give the apple to? "
"Fred","The answer is Mary. Mary is the person who gave the football to Mary. Mary is the person","Who gave the football to Mary? "
"milk","(A: 2012-10-01)","What did Mary give to Fred? "
"milk","(To Go On)","What did Fred give to Mary? "
"Mary","The lady had been a member of the Society of the Forestry of the Northwest, and","Who gave the football? "
"Fred","(Japanese, 1990)","Who received the apple? "
"Mary","(Unknown)","Who gave the apple? "
"Fred","The GITS","Who gave the apple to Bill? "
"apple","(Ent. 1)","What did Fred give to Bill? "
"Fred","Mary travelled to the kitchen. Well, we need that much more to go on.","Who received the apple? "
"Fred","(1) (1) (1) (1) (1) (1) (1","Who received the milk? "
"Mary","(2005)","Who received the football? "
"apple","(Selected) A. Mary gave the apple to Bill. B. Mary gave the apple to Bill","What did Bill give to Mary? "
"apple","(My Tags)","What did Mary give to Fred? "
"apple","A: He gave him a very good and pungent sermon","What did Fred give to Bill? "
"apple","(2015-10-12)  Answer: A gift of a thousand dollars.","What did Fred give to Bill? "
"milk","(2005-2006)  Answer: The Indian war was on in earnest. Sibley","What did Jeff give to Fred? "
"Mary","197, mention is made of a print of St. John the Baptist, half length, by","Who received the milk? "
"Jeff","(53) The original text of the Song of Maldon will be found in Thorpe’s","Who gave the football? "
"Bill","(AWE 1939-45, p. 1)  Answer: The football was given","Who gave the football to Fred? "
"Mary","(JN 1:1)","Who received the football? "
"Mary","Mary gave the football to Fred.","Who gave the football to Fred? "
"Jeff","(2006)","Who did Bill give the milk to? "
"Fred","(AGPL: 2008)","Who gave the football to Jeff? "
"Jeff","(A: The Great War)","Who gave the apple to Fred? "
"Bill","(OT: The Great War)","Who received the milk? "
"Jeff","(We are currently unsure of the identity of the person, so we are using the generic ""they","Who did Bill give the apple to? "
"milk","(ID: 1)","What did Mary give to Fred? "
"Jeff","[1]  Answer: The apple was received by the 13th Earl of Strathmore and","Who received the apple? "
"Jeff","A: Who is Essex Dane?","Who gave the apple to Bill? "
"apple","(A: What did Mary give to Fred?)","What did Mary give to Fred? "
"Bill","(Table of the United States Senate, 1940-1941)  Answer: The apple was","Who did Fred give the apple to? "
"Jeff","(See 1915)  Answer: The Royal Society of New Zealand (See 1915)","Who gave the apple? "
"Bill","(WW1)","Who gave the milk to Fred? "
"Bill","(1940-1941)  Answer: Jeff gave the football to the Irish Party.","Who did Jeff give the football to? "
"Fred","A: The milk was given by the milk.","Who gave the milk? "
"apple","(Selected, 2011)","What did Mary give to Bill? "
"Jeff","(WW1, 1:1)  Answer: The 1st Earl of Carnarvon","Who received the milk? "
"Bill","(2005)","Who did Fred give the milk to? "
"Bill","Bill","Who gave the apple? "
"Jeff","(Archive)  Answer: The same work further says, ""his excellent book, so","Who gave the apple? "
"Fred","(WDWQ)","Who received the football? "
"football","The answer to the question was: Mary gave to Fred. The sudden rise of a moneyed arist","What did Mary give to Fred? "
"Mary","(2005)","Who did Jeff give the apple to? "
"football","(2006)  Answer: Mary gave to Jeff a ""I'm sorry, I can't do","What did Jeff give to Mary? "
"Mary","(The Book of the Office of Orphans and Children of the World)","Who received the milk? "
"milk","(We are uncertain of the answer to this question)","What did Mary give to Fred? "
"Mary","The building is carefully examined by some thoroughly competent person, this must remain doubtful Answer: The building","Who gave the milk? "
"Bill","(We are not sure.)","Who gave the milk to Mary? "
"Mary","The 1st Baron de Mole of Polaris, is generally selected. This star","Who received the football? "
"Fred","(Wikipedia)  Answer: The apple was given by the apple.","Who gave the apple? "
"milk","(A) A prayer","What did Fred give to Bill? "
"Fred","(1999)","Who did Bill give the milk to? "
"Jeff","(We are not sure of the answer to this question, but we are sure that it is","Who gave the apple? "
"Fred","(Bill's Story)  Answer: The raccoon.","Who did Bill give the apple to? "
"Bill","The King","Who gave the football to Jeff? "
"Bill","(TOS)","Who did Jeff give the apple to? "
"milk","(WW1E)  A: What did Mary give to Bill? (WW1E)  Reference","What did Mary give to Bill? "
"Mary","(2011)  Answer: Bill gave the milk to the 1st Earl of Bathurst.","Who did Bill give the milk to? "
"Mary","(See below)","Who gave the milk to Jeff? "
"Fred","The milk was given by a man who had a pompous white moustache which p","Who gave the milk? "
"Bill","(A) Unknown (A) Unknown","Who received the milk? "
"Fred","(A: The 14th of July, the anniversary of the fall of the Bastille.--","Who gave the football? "
