"target","output","question"
"garden","Answer: In the pot. Question: Where is the pot? Answer: On the fire. Question","Where is the milk? "
"garden","[A] In the kitchen. [B] In the garden. [C] In the garden","Where is the apple? "
"bathroom","The milk is in the refrigerator. The milk is in the refrigerator. The milk is in the refrigerator","Where is the milk? "
"garden","Answer: In the field. Question: Where is the football? Answer: In the field. Question","Where is the football? "
"bathroom","Where is the milk? Where is the milk? Where is the milk? Where is the milk?","Where is the milk? "
"garden","The milk is in the refrigerator. The milk is in the refrigerator. The milk is in the refrigerator","Where is the milk? "
"kitchen","What is the fruit of the apple? What is the fruit of the apple? What is the fruit","Where is the apple? "
"bathroom","""And what is the price of butter? ""And what is the price of butter? ""And","Where is the milk? "
"office","The milk is in the refrigerator. The milk is in the refrigerator. The milk is in the refrigerator","Where is the milk? "
"kitchen","*       *       *       *       *       *       *       *       *       *","Where is the football? "
"bedroom","""The milk is--"" ""The milk is--"" ""The milk is--"" ""The","Where is the milk? "
"kitchen","The ball is on the field. The ball is on the field. The ball is on the","Where is the football? "
