"target","output","question"
"kitchen","Answer: The most recent location of John is kitchen. </context>  <context> John moved to","Where is John? "
"bathroom","Answer: The most recent location of Sandra is bathroom. </example>  <example> Sandra went","Where is Sandra? "
"office","Answer: The most recent location of Daniel is office. </context>  <context> Mary went to","Where is Daniel? "
"hallway","Answer: The most recent location of Mary is hallway. </example>  <example> Judith journey","Where is Mary? "
"bedroom","Answer: The most recent location of John is bedroom. </context>  <context> John went to","Where is John? "
"bedroom","Answer: The most recent location of Mary is bedroom. </example>  <example> Daniel went to","Where is Mary? "
"office","Answer: The most recent location of Sandra is office. Question: Where is Daniel? Answer: The","Where is Sandra? "
"bathroom","Answer: The most recent location of Mary is bathroom. </example>  <example> Sandra went","Where is Mary? "
"kitchen","Answer: The most recent location of Sandra is kitchen. </example>  <example> Daniel journeyed","Where is Sandra? "
"bathroom","Answer: The most recent location of Sandra is kitchen. </context>  <context> Mary journeyed","Where is Sandra? "
"bedroom","Answer: The most recent location of Mary is bedroom. </context>  <context> Daniel travelled to","Where is Mary? "
"bedroom","Answer: The most recent location of Sandra is bedroom. </context>  <context> John travelled to","Where is Sandra? "
"bedroom","Answer: The most recent location of Sandra is bedroom. </example>  <example> Daniel travelled to","Where is Sandra? "
"hallway","Answer: The most recent location of Mary is hallway. </context>  <context> Sandra went","Where is Mary? "
"bedroom","Answer: The most recent location of Sandra is bedroom. </context>","Where is Sandra? "
"garden","Answer: The most recent location of John is garden. </context>","Where is John? "
"bedroom","Answer: The most recent location of Mary is bedroom. </context>  <context> Judith went","Where is Mary? "
"kitchen","Answer: The most recent location of Daniel is kitchen. </context>  <context> Rouse went","Where is Daniel? "
"office","Answer: The most recent location of John is office. Question: Where is Sandra? Answer: The","Where is John? "
"bathroom","Answer: The most recent location of John is bathroom. </example>  <example> Daniel journeyed","Where is John? "
"bathroom","Answer: The most recent location of Daniel is bathroom. </example>  <example> Sandra travelled","Where is Daniel? "
"bedroom","Answer: The most recent location of John is bedroom. </example>  <example> Mary journeyed","Where is John? "
"bedroom","Answer: The most recent location of Daniel is bedroom. </context>  <context> Rouse travelled","Where is Daniel? "
"hallway","Answer: The most recent location of Sandra is hallway. </context>  <context> Rouse went","Where is Sandra? "
"garden","Answer: The most recent location of Sandra is garden. </example>  <example> Sandra travelled","Where is Sandra? "
