"target","output","question"
"milk","Answer: Milk <context> After a short visit, Captain Carrington arose to go.","What did Mary give to Fred? "
"apple","Answer: apple Okay, let's try to figure out what the answer is here. The","What did Fred give to Bill? "
"Jeff","Answer: Mary </context> <context> How truly Brett's picture gives the long roll of","Who did Mary give the football to? "
"apple","Answer: apple Okay, let's tackle this question. The user provided a context with a","What did Fred give to Mary? "
"Bill","Answer: Mary </context>  Okay, let's tackle this question. The user is asking","Who did Mary give the football to? "
"milk","Answer: </context> Answer: milk Answer: milk Answer: milk","What did Bill give to Mary? "
"Mary","Answer: Mary Mary Mary Mary Mary Mary Mary Mary Mary","Who gave the apple to Bill? "
"Mary","Answer: Answer: Bill Okay, let's try to figure out who gave the milk based","Who gave the milk? "
"apple","Answer: Answer: apple Okay, let's tackle this question. The user provided a context","What did Fred give to Bill? "
"milk","Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer: Answer","What did Mary give to Fred? "
"Mary","Answer: Answer:  Mary Okay, let's try to figure out who gave the apple based","Who gave the apple? "
"Fred","Answer: Jeff Okay, let's try to figure out who received the milk based on the","Who received the milk? "
"apple","Answer: Answer:  apple Okay, let's see. I need to figure out what Fred","What did Fred give to Bill? "
"Jeff","Answer: Jeff Okay, let's see. The user provided a context and a question.","Who gave the football? "
"Jeff","Answer: Bill </context> Okay, let's tackle this question. The user is asking","Who did Bill give the milk to? "
"Jeff","Answer: Jeff Answer: Jeff Answer: Jeff Answer: Jeff Answer: Jeff","Who did Bill give the apple to? "
"apple","Answer: Answer:  apple Okay, let's tackle this question. The user provided a context","What did Mary give to Fred? "
"Bill","Answer: Answer: Bill The answer is Bill.  <context> A gift which through all life","Who did Jeff give the football to? "
"Bill","Answer: Bill Okay, let's try to figure out the answer to the question: ""","Who did Fred give the milk to? "
"football","Answer: Answer: football Answer: football Answer: football Answer: football Answer","What did Mary give to Fred? "
"milk","Answer: Answer:  milk The answer is milk.  <context> Fred picked up the milk","What did Mary give to Fred? "
"Fred","Answer: Mary <context> By-and-bye the culprit was led aft by a file","Who gave the apple? "
"Fred","Answer: </context> Answer: Aggie Answer: Aggie Answer: Aggie","Who did Bill give the apple to? "
"Mary","Answer: Mary Okay, let's see. The user provided a context from a play,","Who did Bill give the milk to? "
"Fred","Answer: Answer: Fred <context> of those included in the British returns of the single","Who gave the football? "
