"target","output","question"
"bedroom","""I don't want to be a little more, ""I was a little more, ""I","Where is the apple? "
"kitchen","""I will not bring you any more to be hurtful."" ""I will not bring you any","Where is the milk? "
"bathroom","""The ""THE KING. (the dead). ""THE KING. (the dead). ""","Where is the football? "
"bedroom","The answer: ""I will not be angry with the ""Where is the door?"" ""Where","Where is the apple? "
"garden","""The first, "" the second, "" the third, "" the fourth, "" the fifth,","Where is the milk? "
"garden","Where is the water? Where is the the water, the water, the water, the water","Where is the milk? "
"garden","What is the football? What is the football? What is the football? What is the football?","Where is the football? "
"hallway","(See No. 1.)--Where is the fig? (See No. 2.)","Where is the apple? "
"hallway","2. 3. 4. 5. 6. 7. 8","Where is the milk? "
"bathroom","Where is the water? Where is the wind? Where is the messenger? Where is the messenger?","Where is the milk? "
"garden","(Where is the apple?) ""Where is the apple?"" (Where is the apple?) ""Where","Where is the apple? "
"hallway","""The little ""the little ""the little ""the little ""the little","Where is the apple? "
"garden","Where is the water? Where is the the water? Where is the bread? Where is the","Where is the milk? "
"office","(from the ""Treat of the 12. from the "" 12. from the ""","Where is the milk? "
"office","""The ""Where is the footballer? ""The ""Where is the footballer?","Where is the football? "
"garden","The "" the "" the "" the "" the "" the "" the","Where is the football? "
"bedroom","2. What is the worst thing that could happen? 3. What are the main reasons","Where is the football? "
"garden","--the dead, the living, the ""the dead, the living, the dead, the","Where is the milk? "
"garden","(From the ""Examination"".) ""Where is it?"" (From ""The Dead"".)","Where is the football? "
"kitchen","2. What is the meaning of the ""apple""? 3. What is the meaning of","Where is the apple? "
"office","(a) (b) (c) (d) (e) (f) (g","Where is the apple? "
"bathroom","(The Bible) (The dead) (The book of life) (The book of life)","Where is the apple? "
"bedroom","""I will not be so very far. ""The ""Where is it"" ""I will","Where is the apple? "
"bedroom","What is the meaning of the word ""the dead""? What is the meaning of the word ""the","Where is the apple? "
"bedroom","2. What is the milk? 3. What is the milk? 4. What","Where is the milk? "
